language,iso_code,#types,#tokens,family,script
Abkhazian,abk,151,257,Northwest Caucasian,Cyrillic
Arabic,ara,7498,75885,Afro-Asiatic,Arabic
Assamese,asm,1117,5039,Indo-European,Assamese
Breton,bre,4324,56318,Indo-European,Latin
Catalan,cat,79215,4339527,Indo-European,Latin
Hakha Chin,cnh,2516,24117,Sino-Tibetan,Latin
Czech,ces,16034,208330,Indo-European,Latin
Chuvash,chv,5567,22450,Turkic,Cyrillic
Welsh,cym,11490,726539,Indo-European,Latin
German,deu,150364,5569590,Indo-European,Latin
Dhivehi,div,157,65725,Indo-European,Thaana
Modern Greek (1453-),ell,5836,52685,Indo-European,Greek
English,eng,173524,13165106,Indo-European,Latin
Esperanto,epo,27934,580778,Conlang,Latin
Spanish,spa,75619,2484983,Indo-European,Latin
Estonian,est,30136,157136,Uralic,Latin
Basque,eus,24999,647545,Language isolate,Latin
Persian,fas,13242,2278604,Indo-European,Arabic
French,fra,162742,5014779,Indo-European,Latin
Western Frisian,fry,8420,83230,Indo-European,Latin
Irish,gle,2313,30904,Indo-European,Latin
Interlingua (International Auxiliary Language Association),ina,5554,44097,Conlang,Latin
Indonesian,ind,3819,62555,Austronesian,Latin
Italian,ita,55482,1052514,Indo-European,Latin
Georgian,kat,7947,20253,Kartvelian,Georgian
Kirghiz,kir,10499,87004,Turkic,Cyrillic
Latvian,lav,7794,45502,Indo-European,Latin
Mongolian,mon,14846,92335,Mongolic,Mongolian
Maltese,mlt,8150,57768,Afro-Asiatic,Latin
Dutch,nld,10668,414208,Indo-European,Latin
Oriya (macrolanguage),ori,923,6868,Indo-European,Odia
Panjabi,pan,97,483,Indo-European,Devanagari
Polish,pol,25367,826468,Indo-European,Latin
Portuguese,por,13051,397445,Indo-European,Latin
Romansh,roh,9803,57875,Indo-European,Latin
Romanian,ron,6451,43680,Indo-European,Latin
Russian,rus,31923,830059,Indo-European,Cyrillic
Kinyarwanda,kin,135330,2673259,Niger-Congo,Latin
Yakut,sah,8043,31765,Turkic,Cyrillic
Slovenian,slv,5995,37368,Indo-European,Latin
Swedish,swe,4455,88684,Indo-European,Latin
Tamil,tam,1527,90285,Dravidian,Tamil
Turkish,tur,8959,152798,Turkic,Latin
Tatar,tat,22315,208723,Turkic,Cyrillic
Ukrainian,ukr,14401,166884,Indo-European,Cyrillic
Vietnamese,vie,575,1744,Austroasiatic,Latin
