,word,frequency,length
인,인,150,1
년,년,140,1
그,그,131,1
수,수,123,1
는,는,94,1
이다,이다,93,2
있다,있다,89,2
것,것,80,1
있는,있는,73,2
이,이,73,1
및,및,57,1
그는,그는,55,2
한,한,50,1
중,중,49,1
대한,대한,49,2
일,일,47,1
월,월,45,1
의,의,44,1
후,후,42,1
이었다,이었다,41,3
말했다,말했다,39,3
고,고,39,1
두,두,38,1
더,더,38,1
되었다,되었다,35,3
같은,같은,34,2
또한,또한,34,2
그러나,그러나,32,3
대해,대해,29,2
에,에,28,1
때문에,때문에,28,3
도,도,27,1
한다,한다,27,2
가,가,27,1
인해,인해,27,2
다른,다른,26,2
자신의,자신의,25,3
이후,이후,25,2
가장,가장,25,2
것으로,것으로,24,3
큰,큰,24,1
이라,이라,24,2
새로운,새로운,24,3
세,세,23,1
그의,그의,23,2
였다,였다,22,2
때,때,22,1
있었다,있었다,22,3
라고,라고,21,2
것은,것은,21,2
위해,위해,21,2
통해,통해,21,2
동안,동안,21,2
많은,많은,21,2
그녀는,그녀는,20,3
와,와,20,1
전,전,20,1
이러한,이러한,20,3
나는,나는,19,2
것을,것을,19,2
당시,당시,19,2
그리고,그리고,19,3
여러,여러,18,2
위한,위한,18,2
만,만,18,1
라는,라는,18,2
것이,것이,18,2
세계,세계,18,2
미국,미국,18,2
에서,에서,17,2
된,된,17,1
했다,했다,17,2
지역,지역,16,2
따르면,따르면,15,3
모든,모든,15,2
은,은,15,1
내,내,14,1
될,될,14,1
거의,거의,14,2
영국,영국,14,2
를,를,13,1
있으며,있으며,13,3
다양한,다양한,13,3
해,해,13,1
결과,결과,13,2
않았다,않았다,13,3
지역의,지역의,13,3
없는,없는,12,2
명의,명의,12,2
영향을,영향을,12,3
또는,또는,12,2
정도,정도,12,2
있다고,있다고,12,3
명,명,12,1
이며,이며,12,2
경우,경우,11,2
몇,몇,11,1
기원전,기원전,11,3
약,약,11,1
그것은,그것은,11,3
정부는,정부는,11,3
그들은,그들은,11,3
세기,세기,11,2
이는,이는,11,2
전쟁,전쟁,10,2
대통령,대통령,10,3
라,라,10,1
시작했다,시작했다,10,4
년간,년간,10,2
함께,함께,10,2
그녀가,그녀가,10,3
않은,않은,10,2
특히,특히,10,2
월에,월에,10,2
개의,개의,10,2
국가,국가,10,2
자신이,자신이,10,3
명이,명이,10,2
그녀의,그녀의,10,3
년대,년대,10,2
중국,중국,10,2
마지막,마지막,10,3
다시,다시,10,2
못했다,못했다,10,3
영화,영화,10,2
물론,물론,10,2
과,과,10,1
을,을,10,1
기후,기후,9,2
현재,현재,9,2
데,데,9,1
주,주,9,1
볼,볼,9,1
때문,때문,9,2
이고,이고,9,2
필요한,필요한,9,3
이미,이미,9,2
주요,주요,9,2
년에,년에,9,2
사람이,사람이,9,3
반면,반면,9,2
이것은,이것은,9,3
유럽,유럽,9,2
중국의,중국의,9,3
사람들이,사람들이,9,4
받았다,받았다,9,3
따라,따라,9,2
정부,정부,9,2
그가,그가,9,2
경제,경제,9,2
차,차,9,1
이번,이번,8,2
완전히,완전히,8,3
높은,높은,8,2
사이에,사이에,8,3
제대로,제대로,8,3
지난,지난,8,2
할,할,8,1
바로,바로,8,2
여전히,여전히,8,3
아니다,아니다,8,3
있고,있고,8,2
이런,이런,8,2
모습을,모습을,8,3
결국,결국,8,2
있던,있던,8,2
지중해,지중해,8,3
모두,모두,8,2
도시,도시,8,2
다수의,다수의,8,3
발표했다,발표했다,8,4
수준,수준,8,2
해당,해당,8,2
상당히,상당히,8,3
가지,가지,8,2
작은,작은,8,2
이라는,이라는,8,3
되면,되면,8,2
트럼프,트럼프,8,3
방식으로,방식으로,7,4
주장했다,주장했다,7,4
프랑스,프랑스,7,3
정도로,정도로,7,3
년까지,년까지,7,3
없다,없다,7,2
그런,그런,7,2
일을,일을,7,2
지역에서,지역에서,7,4
주는,주는,7,2
경찰은,경찰은,7,3
중요한,중요한,7,3
살,살,7,1
최근,최근,7,2
된다,된다,7,2
우리는,우리는,7,3
대부분,대부분,7,3
억,억,7,1
로,로,7,1
밝혔다,밝혔다,7,3
이유는,이유는,7,3
번,번,7,1
계속,계속,7,2
작품,작품,7,2
없었다,없었다,7,3
불구하고,불구하고,7,4
항상,항상,7,2
내가,내가,7,2
시,시,7,1
어느,어느,7,2
그것이,그것이,7,3
아니라,아니라,7,3
하지,하지,7,2
갖고,갖고,7,2
대통령이,대통령이,7,4
있을,있을,7,2
등,등,7,1
시대,시대,6,2
학교,학교,6,2
가진,가진,6,2
최초의,최초의,6,3
안,안,6,1
정말,정말,6,2
역할을,역할을,6,3
최고,최고,6,2
달,달,6,1
그리스,그리스,6,3
받은,받은,6,2
시대의,시대의,6,3
개,개,6,1
정치적,정치적,6,3
만들어,만들어,6,3
있게,있게,6,2
처음으로,처음으로,6,4
자치,자치,6,2
가능성이,가능성이,6,4
국제,국제,6,2
각,각,6,1
번째,번째,6,2
최고의,최고의,6,3
몇몇,몇몇,6,2
사람들에게,사람들에게,6,5
조사,조사,6,2
하고,하고,6,2
그들의,그들의,6,3
좋은,좋은,6,2
매우,매우,6,2
종종,종종,6,2
이를,이를,6,2
첫,첫,6,1
아직,아직,6,2
독일,독일,6,2
환경,환경,6,2
영국의,영국의,6,3
지역은,지역은,6,3
이지만,이지만,6,3
하는,하는,6,2
노스,노스,6,2
출연했다,출연했다,6,4
사이의,사이의,6,3
기술,기술,6,2
거,거,6,1
경찰,경찰,6,2
주로,주로,5,2
우리가,우리가,5,3
너무,너무,5,2
지역에,지역에,5,3
이름을,이름을,5,3
전쟁에서,전쟁에서,5,4
이상,이상,5,2
조셉,조셉,5,2
최대,최대,5,2
지방,지방,5,2
자유,자유,5,2
지금,지금,5,2
지역과,지역과,5,3
친구,친구,5,2
네,네,5,1
보면,보면,5,2
이탈리아,이탈리아,5,4
공화당,공화당,5,3
호주,호주,5,2
전에,전에,5,2
역사적,역사적,5,3
시간을,시간을,5,3
되어,되어,5,2
차례,차례,5,2
오스만,오스만,5,3
이란,이란,5,2
왕조,왕조,5,2
연방,연방,5,2
도움이,도움이,5,3
승리를,승리를,5,3
중앙,중앙,5,2
문제에,문제에,5,3
일부,일부,5,2
영화는,영화는,5,3
로마,로마,5,2
만들,만들,5,2
강을,강을,5,2
게,게,5,1
아주,아주,5,2
년대에,년대에,5,3
있다는,있다는,5,3
인지,인지,5,2
최근의,최근의,5,3
일어난,일어난,5,3
어떤,어떤,5,2
유로를,유로를,5,3
되는,되는,5,2
없이,없이,5,2
낮은,낮은,5,2
더욱,더욱,5,2
카리브,카리브,5,3
관한,관한,5,2
국가의,국가의,5,3
사람,사람,5,2
초기,초기,5,2
사람들의,사람들의,5,4
투자자들이,투자자들이,5,5
자리,자리,5,2
그것을,그것을,5,3
있도록,있도록,5,3
인가,인가,5,2
잘,잘,5,1
도널드,도널드,5,3
않고,않고,5,2
마케도니아의,마케도니아의,5,6
측면에서,측면에서,5,4
일어났다,일어났다,5,4
설명했다,설명했다,5,4
훨씬,훨씬,5,2
또,또,5,1
그들이,그들이,5,3
온타리오,온타리오,5,4
있는데,있는데,5,3
결정했다,결정했다,5,4
나중에,나중에,5,3
년에는,년에는,5,3
