,word,frequency,length
的de,的de,1362,2,
在zài,在zài,415,3,
了le,了le,380,2,
一yī,一yī,249,2,
是shì,是shì,215,3,
和hé,和hé,197,2,
年nián,年nián,188,4,
個gè,個gè,177,2,
他tā,他tā,172,2,
這zhè,這zhè,152,3,
為wèi,為wèi,127,3,
於yú,於yú,125,2,
中zhōng,中zhōng,120,5,
有yǒu,有yǒu,117,3,
被bèi,被bèi,102,3,
人rén,人rén,94,3,
他們tāmen,他們tāmen,85,5,
月yuè,月yuè,71,3,
上shàng,上shàng,70,5,
來lái,來lái,68,3,
會huì,會huì,67,3,
並bìng,並bìng,67,4,
她tā,她tā,66,2,
對duì,對duì,65,3,
也yě,也yě,61,2,
我wǒ,我wǒ,59,2,
但dàn,但dàn,58,3,
說shuō,說shuō,54,4,
不bù,不bù,53,2,
就jiù,就jiù,52,3,
與yǔ,與yǔ,50,2,
兩liǎng,兩liǎng,50,5,
而ér,而ér,49,2,
從cóng,從cóng,47,4,
次cì,次cì,46,2,
但是dànshì,但是dànshì,44,6,
還hái,還hái,43,3,
其qí,其qí,43,2,
它tā,它tā,42,2,
我們wǒmen,我們wǒmen,42,5,
時shí,時shí,42,3,
後hòu,後hòu,41,3,
都dōu dū,都dōu dū,41,6,
著zhe,著zhe,40,3,
能néng,能néng,39,4,
將jiāng,將jiāng,39,5,
該gāi,該gāi,39,3,
位wèi,位wèi,36,3,
已經yǐjīng,已經yǐjīng,35,6,
到dào,到dào,34,3,
以及yǐjí,以及yǐjí,34,4,
可能kěnéng,可能kěnéng,33,6,
公司gōngsī,公司gōngsī,33,6,
這些zhèxiē,這些zhèxiē,32,6,
可以kěyǐ,可以kěyǐ,31,4,
地區de dìqū,地區de dìqū,31,7,
工作gōngzuò,工作gōngzuò,31,7,
世紀shìjì,世紀shìjì,31,5,
美國měiguó,美國měiguó,30,6,
所suǒ,所suǒ,29,3,
此cǐ,此cǐ,29,2,
那nà,那nà,29,2,
沒有méiyǒu,沒有méiyǒu,29,6,
因為yīnwèi,因為yīnwèi,28,6,
把bǎ,把bǎ,28,2,
開始kāishǐ,開始kāishǐ,28,6,
自zì,自zì,27,2,
政府zhèngfǔ,政府zhèngfǔ,27,7,
之zhī,之zhī,27,3,
自己zìjǐ,自己zìjǐ,27,4,
下xià,下xià,27,3,
之後zhīhòu,之後zhīhòu,26,6,
前qián,前qián,26,4,
很多hěnduō,很多hěnduō,25,6,
英國yīngguó,英國yīngguó,25,7,
電影diànyǐng,電影diànyǐng,25,8,
讓ràng,讓ràng,25,4,
日rì,日rì,25,2,
多duō,多duō,25,3,
認為rènwèi,認為rènwèi,24,6,
地de dì,地de dì,24,5,
種zhǒng,種zhǒng,24,5,
以yǐ,以yǐ,24,2,
最zuì,最zuì,23,3,
用yòng,用yòng,23,4,
其他qítā,其他qítā,23,4,
國家guójiā,國家guójiā,23,6,
向xiàng,向xiàng,23,5,
之間zhījiān,之間zhījiān,23,7,
第一dìyī,第一dìyī,22,4,
名míng,名míng,22,4,
世界shìjiè,世界shìjiè,21,6,
