,word,frequency,length
в,в,753,1
и,и,477,1
на,на,257,2
что,что,159,3
с,с,156,1
не,не,127,2
как,как,112,3
он,он,102,2
по,по,100,2
к,к,100,1
из,из,98,2
его,его,85,3
году,году,84,4
для,для,82,3
был,был,74,3
года,года,63,4
от,от,61,2
до,до,61,2
но,но,60,2
о,о,55,1
а,а,51,1
было,было,49,4
после,после,48,5
были,были,47,4
за,за,46,2
они,они,45,3
время,время,45,5
она,она,44,3
чтобы,чтобы,43,5
которые,которые,42,7
у,у,37,1
является,является,36,8
я,я,36,1
ее,ее,36,2
который,который,34,7
когда,когда,34,5
однако,однако,34,6
во,во,32,2
была,была,32,4
того,того,31,4
то,то,29,2
все,все,29,3
более,более,29,5
или,или,28,3
мы,мы,27,2
будет,будет,26,5
чем,чем,25,3
под,под,23,3
где,где,21,3
только,только,21,6
бы,бы,21,2
так,так,21,3
при,при,20,3
лет,лет,20,3
себя,себя,19,4
том,том,19,3
войны,войны,19,5
города,города,18,6
своей,своей,18,5
которая,которая,18,7
сказал,сказал,18,6
со,со,17,2
там,там,17,3
если,если,17,4
быть,быть,17,4
результате,результате,16,10
несколько,несколько,16,9
компании,компании,16,8
очень,очень,15,5
течение,течение,15,7
века,века,14,4
тем,тем,14,3
часть,часть,14,5
такие,такие,13,5
говорит,говорит,13,7
стало,стало,13,5
есть,есть,13,4
примерно,примерно,13,8
страны,страны,12,6
свои,свои,12,4
другие,другие,12,6
человек,человек,12,7
всего,всего,12,5
многие,многие,12,6
без,без,12,3
много,много,12,5
часто,часто,12,5
могут,могут,12,5
качестве,качестве,12,8
заявил,заявил,11,6
через,через,11,5
один,один,11,4
влияние,влияние,11,7
стал,стал,11,4
ли,ли,11,2
основном,основном,11,8
истории,истории,11,7
против,против,11,6
год,год,10,3
первой,первой,10,6
две,две,10,3
кто,кто,10,3
мере,мере,10,4
которое,которое,10,7
мне,мне,10,3
раз,раз,10,3
вместе,вместе,10,6
острова,острова,10,7
имеет,имеет,10,5
три,три,10,3
части,части,10,5
будут,будут,10,5
море,море,10,4
период,период,9,6
ему,ему,9,3
сейчас,сейчас,9,6
партии,партии,9,6
сделать,сделать,9,7
новые,новые,9,5
долларов,долларов,9,8
день,день,9,4
место,место,9,5
начале,начале,9,6
октября,октября,9,7
некоторые,некоторые,9,9
самым,самым,9,5
сказала,сказала,9,7
внимание,внимание,9,8
впервые,впервые,8,7
евро,евро,8,4
рост,рост,8,4
последние,последние,8,9
места,места,8,5
образом,образом,8,7
мире,мире,8,4
перед,перед,8,5
именно,именно,8,6
затем,затем,8,5
начала,начала,8,6
одной,одной,8,5
имя,имя,8,3
получили,получили,8,8
правительство,правительство,8,13
привести,привести,7,8
него,него,7,4
государства,государства,7,11
около,около,7,5
которой,которой,7,7
населения,населения,7,9
об,об,7,2
ни,ни,7,2
императора,императора,7,10
почему,почему,7,6
тот,тот,7,3
детей,детей,7,5
власти,власти,7,6
великобритании,великобритании,7,14
получить,получить,7,8
над,над,7,3
другой,другой,7,6
принял,принял,7,6
здесь,здесь,7,5
своего,своего,7,6
северной,северной,7,8
времени,времени,7,7
одного,одного,7,6
крайней,крайней,7,7
нет,нет,7,3
вернуться,вернуться,6,9
италии,италии,6,6
начал,начал,6,5
миллиона,миллиона,6,8
нас,нас,6,3
всегда,всегда,6,6
империи,империи,6,7
америки,америки,6,7
среди,среди,6,5
миллионов,миллионов,6,9
стали,стали,6,5
своем,своем,6,5
вы,вы,6,2
собой,собой,6,5
почти,почти,6,5
значительно,значительно,6,11
стороны,стороны,6,7
уровень,уровень,6,7
снова,снова,6,5
сегодня,сегодня,6,7
мира,мира,6,4
клинтон,клинтон,6,7
компаний,компаний,6,8
стерлингов,стерлингов,6,10
составляет,составляет,6,10
наиболее,наиболее,6,8
поскольку,поскольку,6,9
моря,моря,6,4
работает,работает,6,8
среды,среды,6,5
китай,китай,6,5
например,например,6,8
два,два,6,3
войска,войска,6,6
особенно,особенно,6,8
им,им,6,2
несмотря,несмотря,6,8
потому,потому,6,6
торговли,торговли,5,8
благодаря,благодаря,5,9
европы,европы,5,6
труда,труда,5,5
получил,получил,5,7
мог,мог,5,3
президента,президента,5,10
зрения,зрения,5,6
летом,летом,5,5
найти,найти,5,5
действительно,действительно,5,13
работу,работу,5,6
