,word,frequency,length
的,的,1362,8
在,在,415,6
了,了,380,2
一,一,249,1
是,是,215,9
和,和,197,8
年,年,188,6
個,個,177,1
他,他,172,5
這,這,152,1
為,為,127,9
於,於,125,8
中,中,120,4
有,有,117,6
被,被,102,1
人,人,94,2
他們,他們,85,6
月,月,71,4
上,上,70,3
來,來,68,8
並,並,67,8
會,會,67,1
她,她,66,6
對,對,65,1
也,也,61,3
我,我,59,7
但,但,58,7
說,說,54,1
不,不,53,4
就,就,52,1
與,與,50,1
兩,兩,50,8
而,而,49,6
從,從,47,1
次,次,46,6
但是,但是,44,16
還,還,43,1
其,其,43,8
時,時,42,1
我們,我們,42,8
它,它,42,5
後,後,41,9
都,都,41,1
著,著,40,1
將,將,39,1
能,能,39,1
該,該,39,1
位,位,36,7
已經,已經,35,4
到,到,34,8
以及,以及,34,7
可能,可能,33,6
公司,公司,33,9
這些,這些,32,9
地區,地區,31,7
可以,可以,31,9
世紀,世紀,31,14
工作,工作,31,10
美國,美國,30,10
沒有,沒有,29,13
那,那,29,6
此,此,29,6
所,所,29,8
開始,開始,28,9
因為,因為,28,15
把,把,28,7
自己,自己,27,9
下,下,27,3
之,之,27,3
政府,政府,27,17
自,自,27,6
之後,之後,26,12
前,前,26,9
英國,英國,25,9
讓,讓,25,2
電影,電影,25,2
很多,很多,25,15
日,日,25,4
多,多,25,6
種,種,24,1
地,地,24,6
認為,認為,24,10
以,以,24,4
最,最,23,1
用,用,23,5
之間,之間,23,4
向,向,23,6
其他,其他,23,13
國家,國家,23,2
名,名,22,6
第一,第一,22,2
影響,影響,21,3
由,由,21,5
當,當,21,1
世界,世界,21,14
發生,發生,21,6
過,過,20,1
要,要,20,9
獲得,獲得,20,2
系統,系統,20,8
成,成,20,6
很,很,20,9
內,內,20,4
至,至,20,6
作,作,20,7
一直,一直,19,9
因,因,19,6
包括,包括,19,14
元,元,19,4
其中,其中,18,12
如果,如果,18,14
最後,最後,18,10
成功,成功,18,11
同時,同時,18,7
已,已,18,3
進行,進行,18,7
方面,方面,18,13
可,可,17,5
年代,年代,17,11
及,及,17,3
接受,接受,17,9
歷史,歷史,17,6
正,正,17,5
中國,中國,17,5
決定,決定,17,15
建立,建立,17,13
使,使,17,8
通過,通過,17,2
戰爭,戰爭,16,9
需要,需要,16,10
三,三,16,3
更,更,16,7
公元,公元,16,8
令,令,16,5
總統,總統,16,2
主要,主要,16,14
所有,所有,16,14
能夠,能夠,16,2
許多,許多,16,7
提供,提供,15,9
區域,區域,15,2
表示,表示,15,13
導致,導致,15,2
或,或,15,8
軍隊,軍隊,15,10
稱,稱,15,1
現在,現在,15,7
城市,城市,15,14
之前,之前,15,12
使用,使用,14,13
給,給,14,1
如,如,14,6
希望,希望,14,8
不同,不同,14,10
一樣,一樣,14,2
由於,由於,14,13
一些,一些,14,9
研究,研究,14,16
期間,期間,14,2
人們,人們,14,3
非常,非常,14,9
當時,當時,14,2
法國,法國,14,9
德國,德國,14,2
新,新,14,1
發現,發現,14,2
六,六,14,4
不是,不是,14,13
歐,歐,14,1
部分,部分,13,5
比,比,13,4
經濟,經濟,13,2
去,去,13,5
第二,第二,13,3
你,你,13,7
出現,出現,13,6
調查,調查,13,10
特別,特別,13,8
重要,重要,13,18
時間,時間,13,2
歐洲,歐洲,13,10
只,只,13,5
發展,發展,13,2
問題,問題,12,2
根據,根據,12,2
地方,地方,12,10
處,處,12,1
事件,事件,12,14
約,約,12,9
四,四,12,5
只有,只有,12,11
方法,方法,12,12
政治,政治,12,17
希臘,希臘,12,8
它們,它們,12,6
超過,超過,12,2
十,十,12,2
情況,情況,12,9
獨立,獨立,12,6
項,項,12,1
得,得,12,1
技術,技術,12,8
人口,人口,11,5
看到,看到,11,17
則,則,11,9
另,另,11,5
未,未,11,5
數據,數據,11,2
要求,要求,11,16
必須,必須,11,6
關於,關於,11,9
什麼,什麼,11,5
一起,一起,11,2
事,事,11,8
宣布,宣布,11,14
曾,曾,11,1
天,天,11,4
座,座,11,1
裡,裡,11,1
看,看,11,9
做,做,11,1
代表,代表,11,13
家,家,10,1
歲,歲,10,1
想,想,10,1
系列,系列,10,13
計劃,計劃,10,10
而且,而且,10,11
像,像,10,1
提出,提出,10,6
特朗普,特朗普,10,3
投資,投資,10,8
隨後,隨後,10,10
南,南,10,9
市場,市場,10,6
條約,條約,10,10
擁有,擁有,10,7
全球,全球,10,7
形成,形成,10,13
生活,生活,10,14
水平,水平,10,9
進入,進入,10,3
所以,所以,10,12
幫助,幫助,10,8
發布,發布,10,6
存在,存在,10,12
起,起,10,1
活動,活動,10,10
最高,最高,10,2
才,才,10,3
投票,投票,9,8
管理,管理,9,2
週,週,9,1
關係,關係,9,10
故事,故事,9,17
下來,下來,9,11
就是,就是,9,10
美,美,9,9
大,大,9,3
說道,說道,9,2
屬,屬,9,2
選舉,選舉,9,2
信息,信息,9,10
還是,還是,9,10
天皇,天皇,9,13
任何,任何,9,13
保護,保護,9,11
國際,國際,9,2
幾乎,幾乎,9,6
比賽,比賽,9,5
出,出,9,5
行動,行動,9,7
社會,社會,9,8
顯示,顯示,9,7
為了,為了,9,11
都是,都是,9,10
羅馬,羅馬,9,2
北部,北部,9,6
原因,原因,9,7
協議,協議,9,10
帝國,帝國,9,10
地中海,地中海,9,11
明顯,明顯,9,10
目前,目前,9,14
七,七,9,2
例如,例如,9,14
至少,至少,9,10
通常,通常,9,2
合作,合作,9,13
擔任,擔任,8,7
有關,有關,8,7
自由,自由,8,11
澳大利亞,澳大利亞,8,19
寫,寫,8,1
以前,以前,8,13
價格,價格,8,2
幾,幾,8,1
實際,實際,8,2
持續,持續,8,11
大陸,大陸,8,4
美洲,美洲,8,18
行為,行為,8,15
五,五,8,4
是否,是否,8,16
具有,具有,8,14
統治,統治,8,9
時代,時代,8,6
意大利,意大利,8,11
資源,資源,8,2
聯邦,聯邦,8,7
解釋,解釋,8,3
那些,那些,8,14
目標,目標,8,6
最大,最大,8,4
組成,組成,8,7
增長,增長,8,9
再,再,8,6
這樣,這樣,8,2
妻子,妻子,8,11
甚至,甚至,8,15
無法,無法,8,9
自然,自然,8,7
時候,時候,8,2
大量,大量,8,4
繼續,繼續,8,4
最終,最終,8,2
整個,整個,8,2
銀行,銀行,8,7
飛機,飛機,8,10
學習,學習,8,2
直接,直接,8,9
挑戰,挑戰,8,10
應該,應該,8,2
共同,共同,8,12
土地,土地,8,9
平均,平均,8,12
這裡,這裡,8,2
隨,隨,8,1
數,數,8,1
又,又,8,2
越來越,越來越,8,10
離開,離開,8,2
告訴,告訴,8,8
控制,控制,8,9
大部分,大部分,8,8
改變,改變,8,9
人員,人員,7,3
歌曲,歌曲,7,7
第三,第三,7,4
出演,出演,7,6
不會,不會,7,5
出生,出生,7,10
創作,創作,7,8
現代,現代,7,6
手機,手機,7,5
附近,附近,7,14
產生,產生,7,6
香港,香港,7,10
同樣,同樣,7,7
山脈,山脈,7,4
法律,法律,7,17
孩子,孩子,7,12
航空,航空,7,9
跟,跟,7,1
宗教,宗教,7,9
西班牙,西班牙,7,11
馬其頓,馬其頓,7,10
場,場,7,1
以來,以來,7,12
增加,增加,7,6
共和黨,共和黨,7,16
死,死,7,6
起來,起來,7,9
時期,時期,7,2
應用,應用,7,6
回到,回到,7,14
不斷,不斷,7,5
張,張,7,1
音樂,音樂,7,10
責任,責任,7,7
衝突,衝突,7,10
進,進,7,1
本,本,7,5
建議,建議,7,10
似乎,似乎,7,11
