character,frequency,frequencyRel
e,15161,0.1516873605538825
s,7753,0.07756956047584268
n,7685,0.07688921349888443
a,7676,0.07679916757546348
i,7243,0.07246695814865581
t,7157,0.07160651932485568
r,6723,0.06726430479544568
l,5933,0.0593602737396072
o,5249,0.05251678355961541
u,4921,0.04923510990605209
d,3949,0.03951015017659006
c,3223,0.03224644568730052
p,2962,0.029635113908093126
é,2795,0.027964261773504487
m,2780,0.02781418523446958
v,1365,0.01365696505217661
g,1081,0.010815515913115688
f,974,0.00974496993466668
q,917,0.00917467908633403
b,898,0.008984582136889813
h,813,0.008134148415692002
à,564,0.005642877867712533
è,416,0.0041621226825681095
x,370,0.003701887962861059
y,337,0.003371719576984262
j,294,0.002941500165084193
k,141,0.0014107194669281333
ê,102,0.0010205204654373731
z,99,0.0009905051576303914
w,85,0.0008504337211978108
ô,67,0.0006703418743559215
ç,47,0.00047023982230937777
î,34,0.0003401734884791244
â,33,0.0003301683858767972
ù,27,0.00027013777026283403
û,18,0.00018009184684188937
ï,17,0.0001700867442395622
œ,9,9.004592342094469e-05
á,9,9.004592342094469e-05
ü,5,5.0025513011635935e-05
í,4,4.002041040930875e-05
ó,3,3.001530780698156e-05
ö,3,3.001530780698156e-05
ä,2,2.0010205204654375e-05
ë,2,2.0010205204654375e-05
ō,1,1.0005102602327188e-05
ñ,1,1.0005102602327188e-05
ț,1,1.0005102602327188e-05
