character,frequencyTot,frequencyRet
ا,10889,0.14386882820035143
ل,8410,0.11111551521397334
ي,6124,0.08091217778482435
م,4618,0.06101444105328524
ن,4409,0.058253068558669255
و,3787,0.0500350126177547
ر,3645,0.048158864798446235
ت,3610,0.04769643399791246
ب,2693,0.03558074702392749
ع,2255,0.029793755862961936
ة,2246,0.02967484508568182
د,2244,0.029648420468508463
س,1872,0.024733441674263744
ك,1851,0.024455983193943476
ف,1791,0.023663244678742718
أ,1709,0.02257983537463501
ه,1619,0.02139072760183387
ق,1581,0.020888659875540054
ح,1276,0.01685890575660285
ج,1034,0.013661527078626449
ش,746,0.009856382205662796
ط,686,0.009063643690462034
ص,653,0.008627637507101616
ى,648,0.00856157596416822
خ,646,0.008535151346994861
إ,606,0.008006659003527686
ث,513,0.006777914304966506
ً,495,0.006540092750406279
ز,479,0.006328695813019409
ذ,451,0.005958751172592387
غ,447,0.005905901938245669
ض,445,0.005879477321072311
ئ,273,0.0036069602441634627
ٍ,237,0.003131317135043006
ء,235,0.0031048925178696475
ظ,158,0.0020875447566953372
ٌ,114,0.001506203178881446
آ,103,0.001360867784427973
ؤ,66,0.0008720123667208371
ـ,10,0.00013212308586679352
i,3,3.963692576003805e-05
k,2,2.64246171733587e-05
e,2,2.64246171733587e-05
r,2,2.64246171733587e-05
a,2,2.64246171733587e-05
g,1,1.321230858667935e-05
f,1,1.321230858667935e-05
