repetitions,orthographic_form,meanDuration,medianDuration,stDevDuration
242338,sil,0.6299238254008865,0.59,0.2901989612166796
394184,ه,0.08245301686522027,0.06000000000000005,0.061875161473830834
668766,ی,0.08828422796613464,0.07999999999999918,0.0541368434961137
187889,س,0.14487032237118722,0.14000000000000012,0.0462587306879005
834942,ا,0.07880002443283485,0.07000000000000006,0.04291850051715589
132037,ل,0.09555185288972032,0.08999999999999986,0.047736444991517135
435427,د,0.09646983306042113,0.08000000000000007,0.07147390548359184
384882,و,0.08167448724544148,0.07000000000000006,0.04919056905931521
467795,ن,0.0977717803738817,0.08999999999999986,0.0545256465518859
173217,ش,0.1433713780979927,0.14000000000000012,0.04436408023278697
296591,ب,0.08004501148045623,0.07000000000000006,0.03797371403036737
503224,م,0.11012696135319458,0.09000000000000008,0.08485450211589908
102000,خ,0.11624362745098041,0.1100000000000001,0.04738985639145136
467636,ر,0.08868029835170943,0.08000000000000007,0.049638984408154625
306665,ت,0.09737798574992255,0.08999999999999997,0.049105825489622494
11154,غ,0.11758561950869643,0.11000000000000032,0.05825004741142085
10047,ذ,0.1128486115258286,0.10999999999999988,0.037854357708784585
353299,sp,0.5266532880081743,0.5,0.4119835387563225
243837,,0.020272739781083272,0.020000000000000018,0.002262585312136594
39300,آ,0.11996412213740458,0.11000000000000032,0.05217777631595374
58499,چ,0.1327523547411067,0.13,0.038463396473891104
81986,ف,0.1175687312467982,0.11999999999999988,0.05424743156481074
54502,ع,0.08802759531760303,0.07999999999999996,0.056336899245441205
207604,ک,0.11406268665343633,0.1100000000000001,0.04214453543229048
45747,پ,0.11130718954248367,0.10999999999999988,0.043437510046783395
112885,ز,0.1118567568764672,0.10999999999999999,0.038817351315545354
31558,ط,0.10935864123201725,0.10999999999999988,0.04149268957902923
43545,ح,0.10295831898036516,0.09999999999999998,0.05642878127988633
7374,ظ,0.10670599403308922,0.10000000000000009,0.03983708448314375
61178,ج,0.11269557684134819,0.10999999999999988,0.03820992333903973
80597,گ,0.10068588160849659,0.09999999999999964,0.04552594525173491
67506,ق,0.11465454922525406,0.10999999999999943,0.06383264536307522
24878,ص,0.14699895489991158,0.14000000000000012,0.043517990515946396
5551,ث,0.14575932264456856,0.14999999999999947,0.04210027074500762
4457,،,0.21112183082791117,0.11000000000000032,0.22280857165276005
