"","language","dialect","tau","pvalue","hb_pvalue"
"1","ca","",-0.154449489601913,0,0
"2","de","",-0.112184845381634,0,0
"3","en","",-0.0737981912938189,0,0
"4","eo","",-0.172639619849971,0,0
"5","et","",-0.229342588618663,0,0
"6","nl","",-0.272891011257965,0,0
"7","rw","",-0.189282703007321,0,0
"8","tt","",-0.23522134649978,0,0
"9","cs","",-0.220869235441685,9.78713151252567e-297,3.81698128988501e-295
"10","pl","",-0.168855335773883,5.43893739740869e-293,2.0667962110153e-291
"11","mn","",-0.224985784177914,8.7635698478687e-266,3.24252084371142e-264
"12","eu","",-0.161901739615847,2.66229589183747e-263,9.58426521061489e-262
"13","fy","NL",-0.284895613442441,5.32793682576573e-244,1.864777889018e-242
"14","ru","",-0.132015286004833,3.31519957323092e-228,1.12716785489851e-226
"15","fa","",-0.203193688501363,2.95879687769328e-227,9.76402969638781e-226
"16","sah","",-0.262676500689154,2.22228379632665e-187,7.11130814824527e-186
"17","cy","",-0.199517281044341,1.25133843436999e-181,3.87914914654697e-180
"18","pt","",-0.182858038797802,2.19155687323744e-170,6.57467061971231e-169
"19","lv","",-0.252765954576378,1.08463591763934e-165,3.14544416115409e-164
"20","tr","",-0.215636782963108,5.02660705006135e-159,1.40744997401718e-157
"21","ky","",-0.192508661860449,2.74864490628692e-146,7.42134124697468e-145
"22","uk","",-0.160760588023765,1.54021172116821e-137,4.00455047503734e-136
"23","rm","sursilv",-0.229898912737856,9.91727134959761e-133,2.4793178373994e-131
"24","sv","SE",-0.278222051600228,1.84134586041695e-132,4.41923006500068e-131
"25","el","",-0.24343159669587,4.85584379007649e-125,1.11684407171759e-123
"26","mt","",-0.192812815156736,2.74397157753701e-107,6.03673747058142e-106
"27","ia","",-0.231090304715307,1.53878110936972e-103,3.23144032967642e-102
"28","ro","",-0.208463063601511,8.50745117966343e-98,1.70149023593269e-96
"29","br","",-0.236463234962865,7.88396126074883e-90,1.49795263954228e-88
"30","sl","",-0.205575901340645,1.81368907930326e-89,3.26464034274587e-88
"31","cv","",-0.203283397296347,5.65232663584042e-82,9.60895528092871e-81
"32","fr","",-0.0352557683754398,3.50444136171043e-76,5.60710617873669e-75
"33","cnh","",-0.286277172944597,2.21709020911855e-73,3.32563531367782e-72
"34","rm","vallader",-0.247620075860373,8.60923806290054e-72,1.20529332880608e-70
"35","it","",-0.0527608934641964,5.35900354138656e-61,6.96670460380253e-60
"36","id","",-0.197938962708615,3.86889872698642e-59,4.64267847238371e-58
"37","ar","",-0.145375104965556,3.63428330601726e-57,3.99771163661898e-56
"38","ga","IE",-0.211526340953468,3.46597561812073e-42,3.46597561812073e-41
"39","ta","",-0.261401190406118,1.51424435731722e-39,1.3628199215855e-38
"40","ka","",-0.112930934820882,1.19950023708955e-34,9.59600189671642e-34
"41","as","",-0.302774723586446,5.2151357540888e-34,3.65059502786216e-33
"42","or","",-0.318509603399617,3.76323087178244e-32,2.25793852306946e-31
"43","es","",-0.0295150607420699,1.62170549263313e-27,8.10852746316567e-27
"44","ab","",-0.33002527183732,8.32566567959589e-07,3.33026627183835e-06
"45","vi","",-0.155173764469104,7.3769415611601e-06,2.21308246834803e-05
"46","pa","IN",-0.341508683307579,9.05456947232167e-05,0.000181091389446433
"47","dv","",-0.232490968181309,0.000157048299617946,0.000157048299617946
