"","language","family","script","corr","pvalue","hb_pvalue"
"1","Icelandic","Indo-European","Latin",-0.309446785578241,1.94117590958839e-137,4.65882218301214e-136
"2","Korean","Koreanic","Hangul",-0.269060832671214,5.79181498691172e-130,1.3321174469897e-128
"3","Turkish","Turkic","Latin",-0.280190393531806,4.6773491626325e-123,1.02901681577915e-121
"4","Finnish","Uralic","Latin",-0.273630568180367,4.91130544882866e-122,1.03137414425402e-120
"5","Czech","Indo-European","Latin",-0.26251864861154,1.43721257640496e-116,2.87442515280992e-115
"6","German","Indo-European","Latin",-0.275992775961703,2.35125696100498e-109,4.46738822590947e-108
"7","Swedish","Indo-European","Latin",-0.272972740927803,1.20353510260613e-100,2.16636318469103e-99
"8","Russian","Indo-European","Cyrillic",-0.233613845764596,1.32265052817238e-89,2.24850589789304e-88
"9","Chinese","Sino-Tibetan","Chinese",-0.26737402113456,1.95701894597054e-82,3.13123031355287e-81
"10","Polish","Indo-European","Latin",-0.220362976018205,1.33255801338288e-81,1.99883702007432e-80
"11","Thai","Tai-Kadai","Thai",-0.291268665961996,3.62234290879579e-75,5.07128007231411e-74
"12","Japanese","Japonic","Kanji-Kana",-0.246557710006273,2.05827387894374e-68,2.67575604262686e-67
"13","English","Indo-European","Latin",-0.237558383782781,1.96058463530503e-66,2.35270156236604e-65
"14","Portuguese","Indo-European","Latin",-0.221542752112155,2.22853287221468e-64,2.45138615943615e-63
"15","Hindi","Indo-European","Devanagari",-0.221766511047543,6.69246649590655e-56,6.69246649590655e-55
"16","Italian","Indo-European","Latin",-0.198226585397914,4.91673022628418e-54,4.42505720365576e-53
"17","Spanish","Indo-European","Latin",-0.197080981903716,7.05773638806015e-52,5.64618911044812e-51
"18","Chinese-pinyin","Sino-Tibetan","Latin",-0.208748349871764,2.27749845148553e-50,1.59424891603987e-49
"19","French","Indo-European","Latin",-0.196406513911755,4.69301633003179e-50,2.81580979801908e-49
"20","Japanese-romaji","Japonic","Latin",-0.191105490849558,1.95677197228402e-41,9.78385986142012e-41
"21","Arabic","Indo-European","Arabic",-0.153680530410643,1.83293575071098e-36,7.33174300284391e-36
"22","Indonesian","Indo-European","Latin",-0.129650172649544,5.50465574184404e-19,1.65139672255321e-18
"23","Japanese-strokes","Japonic","Kanji-Kana",-0.117835692985455,9.00902886587557e-17,1.80180577317511e-16
"24","Chinese-strokes","Sino-Tibetan","Chinese",-0.063339210314837,3.927179420497e-06,3.927179420497e-06
