"","language","family","script","corr","pvalue","hb_pvalue"
"1","Kinyarwanda","Niger-Congo","Latin",-0.280181513016671,0,0
"2","Mongolian","Mongolic","Mongolian",-0.328369076899459,0,0
"3","Estonian","Uralic","Latin",-0.288561217523373,0,0
"4","Basque","Language isolate","Latin",-0.288173165974662,0,0
"5","Catalan","Indo-European","Latin",-0.298635421976568,0,0
"6","Spanish","Indo-European","Latin",-0.184163055647617,0,0
"7","Dutch","Indo-European","Latin",-0.380132616615065,0,0
"8","Polish","Indo-European","Latin",-0.245903516937421,0,0
"9","Italian","Indo-European","Latin",-0.257983682948196,0,0
"10","German","Indo-European","Latin",-0.286259393069855,0,0
"11","Tatar","Turkic","Cyrillic",-0.339141118205505,0,0
"12","French","Indo-European","Latin",-0.280517108539531,0,0
"13","Persian","Indo-European","Arabic",-0.351867462947163,0,0
"14","English","Indo-European","Latin",-0.229323052440809,0,0
"15","Esperanto","","Latin",-0.241309695736454,0,0
"16","Western Frisian","Indo-European","Latin",-0.397692032074392,2.34080002696732e-317,7.25648008359871e-316
"17","Russian","Indo-European","Cyrillic",-0.205384460771868,2.07173307030385e-301,6.21519921091154e-300
"18","Czech","Indo-European","Latin",-0.286739887892251,2.46228673765818e-301,7.14063153920873e-300
"19","Portuguese","Indo-European","Latin",-0.290820795030129,5.24715778428194e-253,1.46920417959894e-251
"20","Romansh","Indo-European","Latin",-0.332568387540581,4.78951356659679e-252,1.29316866298113e-250
"21","Yakut","Turkic","Cyrillic",-0.323188651169025,3.64518637136206e-195,9.47748456554135e-194
"22","Welsh","Indo-European","Latin",-0.270978903425246,8.32290717936528e-193,2.08072679484132e-191
"23","Ukrainian","Indo-European","Cyrillic",-0.233765925247356,2.93460919920808e-178,7.0430620780994e-177
"24","Kirghiz","Turkic","Cyrillic",-0.263201194856699,3.631421087004e-166,8.3522685001092e-165
"25","Swedish","Indo-European","Latin",-0.392515734651557,2.69308185865324e-164,5.92478008903712e-163
"26","Turkish","Turkic","Latin",-0.2796082981828,7.56986131901487e-161,1.58967087699312e-159
"27","Latvian","Indo-European","Latin",-0.291882851078369,3.65458594746044e-153,7.30917189492088e-152
"28","Slovenian","Indo-European","Latin",-0.325905530675899,1.24025692518537e-148,2.35648815785221e-147
"29","Maltese","Afro-Asiatic","Latin",-0.274380464424494,5.71868173985936e-141,1.02936271317469e-139
"30","Chuvash","Turkic","Cyrillic",-0.323510105902257,4.71959064422934e-136,8.02330409518987e-135
"31","Romanian","Indo-European","Latin",-0.295676809950918,1.41503360652837e-130,2.2640537704454e-129
"32","Interlingua","","Latin",-0.299610116085026,7.95844914600113e-116,1.19376737190017e-114
"33","Breton","Indo-European","Latin",-0.325054836376659,3.27640241401397e-107,4.58696337961955e-106
"34","Modern Greek","Indo-European","Greek",-0.279622498913328,1.46768303772996e-105,1.90798794904895e-104
"35","Indonesian","Austronesian","Latin",-0.294582163926957,1.37582977473389e-77,1.65099572968066e-76
"36","Hakha Chin","Sino-Tibetan","Latin",-0.332273325728207,3.44918215890108e-66,3.79410037479118e-65
"37","Tamil","Dravidian","Tamil",-0.395937839315253,1.04598519919785e-58,1.04598519919785e-57
"38","Georgian","Kartvelian","Georgian",-0.178219945109819,5.3171393938173e-58,4.78542545443557e-57
"39","Irish","Indo-European","Latin",-0.320977227152574,7.85570913003282e-57,6.28456730402626e-56
"40","Arabic","Afro-Asiatic","Arabic",-0.153989700278764,2.60409743128051e-41,1.82286820189636e-40
"41","Oriya","Indo-European","Odia",-0.404368219897054,7.58265172307818e-38,4.54959103384691e-37
"42","Assamese","Indo-European","Assamese",-0.262541516269716,2.46848908292778e-19,1.23424454146389e-18
"43","Abkhazian","Northwest Caucasian","Cyrillic",-0.272924149672585,0.000363688208635719,0.00145475283454288
"44","Dhivehi","Indo-European","Thaana",-0.219948906422889,0.00298035498247561,0.00894106494742684
"45","Panjabi","Indo-European","Arabic",-0.251581814276277,0.00695946829063573,0.0139189365812715
"46","Vietnamese","Austroasiatic","Latin",-0.0778554857550187,0.0311574190909392,0.0311574190909392
