"","language","corr","pvalue","hb_pvalue"
"1","Tatar",-0.166750632520568,3.87457962261675e-136,1.78230662640371e-134
"2","Kinyarwanda",-0.0570777969653513,2.8919646994109e-97,1.3013841147349e-95
"3","German",-0.0533697789971403,2.22974901690974e-94,9.81089567440287e-93
"4","Ukrainian",-0.162980519261038,3.2143797198935e-86,1.38218327955421e-84
"5","Italian",-0.0836111981664632,3.39707745689642e-86,1.4267725318965e-84
"6","Polish",-0.118851815973064,1.11604855228828e-80,4.57579906438194e-79
"7","Basque",-0.118459740170644,2.45561169660692e-78,9.82244678642767e-77
"8","Russian",-0.101274263981438,1.25077686294326e-73,4.8780297654787e-72
"9","Mongolian",-0.144882997288482,1.17796008934275e-69,4.47624833950245e-68
"10","Catalan",-0.0624799317556945,1.45521379319063e-69,5.38429103480533e-68
"11","French",-0.0439006870897182,1.69381120502117e-69,6.09772033807622e-68
"12","Czech",-0.140267267363475,2.55012196548157e-69,8.9254268791855e-68
"13","Romansh",-0.170640674857698,4.98145330077908e-64,1.69369412226489e-62
"14","English",-0.0392716729983857,2.49447501839829e-60,8.23176756071435e-59
"15","Portuguese",-0.15127494566239,3.49788713679703e-60,1.11932388377505e-58
"16","Persian",-0.139122102139234,5.55070166980131e-58,1.72071751763841e-56
"17","Latvian",-0.18621812364509,6.99531794090859e-58,2.09859538227258e-56
"18","Welsh",-0.149774779143955,3.25726248943697e-57,9.44606121936721e-56
"19","Estonian",-0.0906935381887185,9.10322596123683e-54,2.54890326914631e-52
"20","Kirghiz",-0.151942661887876,1.11133746848367e-53,3.00061116490592e-52
"21","Yakut",-0.171481127878131,1.59212390894162e-53,4.13952216324822e-52
"22","Turkish",-0.154829263088315,2.5958829424674e-49,6.4897073561685e-48
"23","Esperanto",-0.0869541145297026,4.91802155495952e-48,1.18032517319029e-46
"24","Chuvash",-0.214677012876214,2.00564929027827e-46,4.61299336764002e-45
"25","Western Frisian",-0.148140628184848,1.20895286151176e-42,2.65969629532587e-41
"26","Romanian",-0.168870221362434,1.34206620928743e-42,2.81833903950361e-41
"27","Maltese",-0.148272284697639,3.86134144912963e-41,7.72268289825925e-40
"28","Slovenian",-0.172033527560233,5.73581832675284e-41,1.08980548208304e-39
"29","Spanish",-0.0485984584132055,9.12380187409202e-41,1.64228433733656e-39
"30","Breton",-0.197058583500841,1.39850729373755e-38,2.37746239935384e-37
"31","Modern Greek",-0.165719483193575,2.28099190299233e-37,3.64958704478773e-36
"32","Interlingua",-0.169331956713847,1.39468269347707e-34,2.09202404021561e-33
"33","Dutch",-0.119700708653598,3.00481593537272e-34,4.2067423095218e-33
"34","Swedish",-0.173064261857748,4.89632223131086e-31,6.36521890070412e-30
"35","Arabic",-0.13648032368219,2.81267754396143e-28,3.37521305275372e-27
"36","Indonesian",-0.162740206056922,4.43648255575943e-24,4.88013081133537e-23
"37","Georgian",-0.113467501463171,2.16629878213101e-20,2.16629878213101e-19
"38","Irish",-0.188431782873254,9.75374452706503e-20,8.77837007435853e-19
"39","Oriya",-0.297356876294162,2.30382414536131e-17,1.84305931628904e-16
"40","Tamil",-0.193692686275832,5.41202852068004e-12,3.78841996447603e-11
"41","Hakha Chin",-0.134846267129483,6.50501103738365e-12,3.90300662243019e-11
"42","Assamese",-0.167923046528933,7.07440807997453e-08,3.53720403998726e-07
"43","Dhivehi",-0.223352938938161,0.00922698439504549,0.036907937580182
"44","Abkhazian",-0.204518017733471,0.0128366763424394,0.0385100290273181
"45","Vietnamese",-0.0874204189221525,0.0465671094651872,0.0931342189303744
"46","Panjabi",-0.0955513355497673,0.193628905155881,0.193628905155881
