"","language","eta","psi","omega","t"
"1","Arabic",0.991403519260622,0.734838539109164,0.645483193277311,8
"2","Arabic",0.986890999665706,0.778885058934598,0.739869351775756,16
"3","Arabic",0.977233631814373,0.805855795458723,0.786749479703222,32
"4","Arabic",0.969689570292867,0.846845116011239,0.826733095876582,64
"5","Arabic",0.95976152630064,0.85615369198207,0.803899769217263,128
"6","Arabic",0.946308228495609,0.84944968392712,0.729422666440447,256
"7","Arabic",0.928540977265845,0.833058648607714,0.642917411166103,512
"8","Arabic",0.907653764605765,0.814335827981622,0.516419719890338,1024
"9","Arabic",0.884069129701596,0.792718179976185,0.393708786283559,2048
"10","Arabic",0.858537067776217,0.770750824195473,0.294269839283779,4096
"11","Arabic",0.827361435391352,0.74540209770805,0.218364457281848,8192
"12","Arabic",NA,NA,NA,16384
"13","Arabic",NA,NA,NA,32768
"14","Arabic",NA,NA,NA,65536
"15","Arabic",NA,NA,NA,131072
"16","Arabic",NA,NA,NA,262144
"17","Arabic",NA,NA,NA,524288
"18","Arabic",NA,NA,NA,1048576
"19","Arabic",NA,NA,NA,2097152
"20","Arabic",NA,NA,NA,4194304
"21","Arabic",NA,NA,NA,8388608
"22","Czech",0.999375,0.833333333333333,0.8,8
"23","Czech",0.998152544298571,0.866950682884492,0.863205759757484,16
"24","Czech",0.994789499753918,0.84031063676533,0.844199917120657,32
"25","Czech",0.990983158868739,0.85323996012442,0.852820487156704,64
"26","Czech",0.985360082517165,0.857529281643781,0.847162835412261,128
"27","Czech",0.976445251767469,0.839584784368999,0.784088479677455,256
"28","Czech",0.966548396245904,0.830906164067938,0.733573287574488,512
"29","Czech",0.954669934748052,0.816862036892459,0.658233010392464,1024
"30","Czech",0.939228867199578,0.796724968970228,0.576954172231439,2048
"31","Czech",0.917362772310099,0.767866461641837,0.481645179250028,4096
"32","Czech",0.893608003300966,0.743064731601807,0.4098832487913,8192
"33","Czech",NA,NA,NA,16384
"34","Czech",NA,NA,NA,32768
"35","Czech",NA,NA,NA,65536
"36","Czech",NA,NA,NA,131072
"37","Czech",NA,NA,NA,262144
"38","Czech",NA,NA,NA,524288
"39","Czech",NA,NA,NA,1048576
"40","Czech",NA,NA,NA,2097152
"41","Czech",NA,NA,NA,4194304
"42","Czech",NA,NA,NA,8388608
"43","German",0.995556368236034,0.688994244871438,0.473148148148148,8
"44","German",0.993781890556748,0.785667760760347,0.683267927041512,16
"45","German",0.988260411372201,0.804084759819288,0.731274582694015,32
"46","German",0.981312919335233,0.808119492406072,0.755261912229651,64
"47","German",0.973870459277268,0.826579913566157,0.79179141276651,128
"48","German",0.96302202457058,0.826559452868592,0.775320023723624,256
"49","German",0.949387995280303,0.823311946966961,0.736711563054175,512
"50","German",0.93248153315904,0.811652323878952,0.674527742707448,1024
"51","German",0.906276026628329,0.784816737269909,0.572883562938699,2048
"52","German",0.872863434387308,0.754926565477764,0.487163685548355,4096
"53","German",0.83325750973251,0.723845298387239,0.391332629670286,8192
"54","German",0.794070335689786,0.701498935376198,0.342954696704567,16384
"55","German",NA,NA,NA,32768
"56","German",NA,NA,NA,65536
"57","German",NA,NA,NA,131072
"58","German",NA,NA,NA,262144
"59","German",NA,NA,NA,524288
"60","German",NA,NA,NA,1048576
"61","German",NA,NA,NA,2097152
"62","German",NA,NA,NA,4194304
"63","German",NA,NA,NA,8388608
"64","English",0.992859384428143,0.765225409781882,0.678611111111111,8
"65","English",0.98720095189435,0.745870410255773,0.698704335394566,16
"66","English",0.977418462332005,0.734911303997222,0.728945694965355,32
"67","English",0.964386012640776,0.723896879535596,0.753269955991489,64
"68","English",0.953407932765211,0.743156403937888,0.75049341569603,128
"69","English",0.942462319759531,0.758045080671191,0.722894069879477,256
"70","English",0.926865723714675,0.757894242510248,0.658345723801596,512
"71","English",0.910686113441889,0.75512726243179,0.593219747055592,1024
"72","English",0.887458194222132,0.739887861862992,0.482654048296984,2048
"73","English",0.858977908495741,0.7191602155283,0.391933908244562,4096
"74","English",0.824685712220996,0.694455268222892,0.312442728956126,8192
"75","English",0.782677585173754,0.666150055679419,0.268496198374626,16384
"76","English",NA,NA,NA,32768
"77","English",NA,NA,NA,65536
"78","English",NA,NA,NA,131072
"79","English",NA,NA,NA,262144
"80","English",NA,NA,NA,524288
"81","English",NA,NA,NA,1048576
"82","English",NA,NA,NA,2097152
"83","English",NA,NA,NA,4194304
"84","English",NA,NA,NA,8388608
"85","Finnish",0.998793956043956,0.771963139610198,0.755555555555556,8
"86","Finnish",0.999111643746812,0.884755388781171,0.897220426632191,16
"87","Finnish",0.99638319486665,0.816835441434703,0.839523832040279,32
"88","Finnish",0.993240802562006,0.812225441452541,0.814851765064164,64
"89","Finnish",0.989017250641227,0.817776690896732,0.777242988852851,128
"90","Finnish",0.981836637735649,0.804975744001863,0.729544732677849,256
"91","Finnish",0.973073887217162,0.792031211887151,0.691347321091478,512
"92","Finnish",0.959652651281168,0.764510546938629,0.617921762907131,1024
"93","Finnish",0.942347451337305,0.73331347749414,0.552836386482945,2048
"94","Finnish",0.918113709782955,0.695961184605391,0.472108597970472,4096
"95","Finnish",0.891890285787867,0.668888789487649,0.42196478772684,8192
"96","Finnish",NA,NA,NA,16384
"97","Finnish",NA,NA,NA,32768
"98","Finnish",NA,NA,NA,65536
"99","Finnish",NA,NA,NA,131072
"100","Finnish",NA,NA,NA,262144
"101","Finnish",NA,NA,NA,524288
"102","Finnish",NA,NA,NA,1048576
"103","Finnish",NA,NA,NA,2097152
"104","Finnish",NA,NA,NA,4194304
"105","Finnish",NA,NA,NA,8388608
"106","French",0.992405723651094,0.763213753796307,0.639814814814815,8
"107","French",0.986764164199597,0.771002336483759,0.700024440401252,16
"108","French",0.978905916193608,0.81205538960547,0.77450989782407,32
"109","French",0.96966058204271,0.830020188804619,0.794799321091155,64
"110","French",0.957942938523876,0.836500239447285,0.802017397276926,128
"111","French",0.947405557216446,0.842098382708042,0.778052760693663,256
"112","French",0.933419399504287,0.839762373638438,0.719608671402252,512
"113","French",0.91554881154815,0.82838557412694,0.616181830067227,1024
"114","French",0.889704164100045,0.8056927704887,0.478759228294653,2048
"115","French",0.860339706122921,0.781440956368034,0.370723286389631,4096
"116","French",0.822667013415283,0.751287886915809,0.280751802077471,8192
"117","French",0.780532083094183,0.721790523612544,0.232615939776169,16384
"118","French",NA,NA,NA,32768
"119","French",NA,NA,NA,65536
"120","French",NA,NA,NA,131072
"121","French",NA,NA,NA,262144
"122","French",NA,NA,NA,524288
"123","French",NA,NA,NA,1048576
"124","French",NA,NA,NA,2097152
"125","French",NA,NA,NA,4194304
"126","French",NA,NA,NA,8388608
"127","Hindi",0.99735654367255,0.863879536101758,0.827160493827161,8
"128","Hindi",0.994582914271704,0.774984535023096,0.756942141348921,16
"129","Hindi",0.990278516517377,0.804816285744794,0.772050541946577,32
"130","Hindi",0.98239383449118,0.815124262422925,0.762427416982755,64
"131","Hindi",0.971544135496715,0.811335778418038,0.735301919184691,128
"132","Hindi",0.95712813956563,0.794714874178374,0.660571728282749,256
"133","Hindi",0.941810034349117,0.789538825296521,0.600802289496536,512
"134","Hindi",0.915632739134919,0.758960367182885,0.492277825944922,1024
"135","Hindi",0.883545555492145,0.726585080157724,0.42161009284588,2048
"136","Hindi",0.845140029918562,0.695109063566581,0.34212777138737,4096
"137","Hindi",0.804538506813227,0.667463130511282,0.278656812701181,8192
"138","Hindi",0.767209363183072,0.648084065914638,0.246879458624923,16384
"139","Hindi",NA,NA,NA,32768
"140","Hindi",NA,NA,NA,65536
"141","Hindi",NA,NA,NA,131072
"142","Hindi",NA,NA,NA,262144
"143","Hindi",NA,NA,NA,524288
"144","Hindi",NA,NA,NA,1048576
"145","Hindi",NA,NA,NA,2097152
"146","Hindi",NA,NA,NA,4194304
"147","Hindi",NA,NA,NA,8388608
"148","Indonesian",0.995288697697159,0.654737011347741,0.577777777777778,8
"149","Indonesian",0.992478232089148,0.614086681799422,0.593817370328505,16
"150","Indonesian",0.985381322107475,0.585213368702208,0.584216969342577,32
"151","Indonesian",0.976358555473337,0.636429326817998,0.622647906391578,64
"152","Indonesian",0.962430572225932,0.635451046581019,0.577295608824435,128
"153","Indonesian",0.945119445265528,0.624940710583373,0.516608577202134,256
"154","Indonesian",0.918795715458817,0.59261652894738,0.421931193896603,512
"155","Indonesian",0.885616745019767,0.556522474315651,0.354341195822212,1024
"156","Indonesian",0.845534777988824,0.522344717855231,0.291414667542473,2048
"157","Indonesian",0.79692178934581,0.485677988142159,0.218780906381336,4096
"158","Indonesian",0.748180365058703,0.45689024996648,0.172558662043596,8192
"159","Indonesian",0.694141036054938,0.429112810191456,0.139031489816876,16384
"160","Indonesian",NA,NA,NA,32768
"161","Indonesian",NA,NA,NA,65536
"162","Indonesian",NA,NA,NA,131072
"163","Indonesian",NA,NA,NA,262144
"164","Indonesian",NA,NA,NA,524288
"165","Indonesian",NA,NA,NA,1048576
"166","Indonesian",NA,NA,NA,2097152
"167","Indonesian",NA,NA,NA,4194304
"168","Indonesian",NA,NA,NA,8388608
"169","Icelandic",0.997533626977004,0.828652685463831,0.747058823529412,8
"170","Icelandic",0.994359923814429,0.811768373083815,0.76317187658451,16
"171","Icelandic",0.989820737806052,0.802598118447288,0.783664217724269,32
"172","Icelandic",0.982858003761361,0.842388574656116,0.817418331074088,64
"173","Icelandic",0.976513443940171,0.858057261234319,0.795824502556982,128
"174","Icelandic",0.967877017039451,0.855405483640324,0.749073575628628,256
"175","Icelandic",0.956470343071783,0.84733110165956,0.695570656566357,512
"176","Icelandic",0.940494502553909,0.829334891775721,0.644347837434705,1024
"177","Icelandic",0.920812588293255,0.809295346909012,0.5798428975261,2048
"178","Icelandic",0.894743751807491,0.784962811282964,0.502398610853767,4096
"179","Icelandic",0.868560424890243,0.768148339877335,0.456542537996192,8192
"180","Icelandic",NA,NA,NA,16384
"181","Icelandic",NA,NA,NA,32768
"182","Icelandic",NA,NA,NA,65536
"183","Icelandic",NA,NA,NA,131072
"184","Icelandic",NA,NA,NA,262144
"185","Icelandic",NA,NA,NA,524288
"186","Icelandic",NA,NA,NA,1048576
"187","Icelandic",NA,NA,NA,2097152
"188","Icelandic",NA,NA,NA,4194304
"189","Icelandic",NA,NA,NA,8388608
"190","Italian",0.995049679855242,0.828310002085532,0.748604269293924,8
"191","Italian",0.989090526135784,0.808234326060581,0.742026718967713,16
"192","Italian",0.979466700723298,0.787889746546859,0.752045340946088,32
"193","Italian",0.970046635046847,0.825006769170089,0.801597143812772,64
"194","Italian",0.959215762180741,0.837397297289998,0.819835441519177,128
"195","Italian",0.949641663462805,0.847492475079041,0.796737178168066,256
"196","Italian",0.937730770542791,0.847601357719271,0.728699571862956,512
"197","Italian",0.921771012732443,0.838573974988124,0.635098713551232,1024
"198","Italian",0.900878204668305,0.822383919615007,0.527419538846807,2048
"199","Italian",0.874966340378098,0.802242002473045,0.428391269129654,4096
"200","Italian",0.842572442440142,0.777116422159949,0.334512014006689,8192
"201","Italian",0.806992315415894,0.752633934894063,0.260846888936078,16384
"202","Italian",NA,NA,NA,32768
"203","Italian",NA,NA,NA,65536
"204","Italian",NA,NA,NA,131072
"205","Italian",NA,NA,NA,262144
"206","Italian",NA,NA,NA,524288
"207","Italian",NA,NA,NA,1048576
"208","Italian",NA,NA,NA,2097152
"209","Italian",NA,NA,NA,4194304
"210","Italian",NA,NA,NA,8388608
"211","Japanese",0.999230769230769,0.98125,0.98125,8
"212","Japanese",0.997600675737654,0.933694475700158,0.913734910076374,16
"213","Japanese",0.995393426199741,0.936187868896069,0.907756201940284,32
"214","Japanese",0.990334845401942,0.926035685674669,0.850635595446513,64
"215","Japanese",0.983159658489353,0.91673769536463,0.785626442725939,128
"216","Japanese",0.971074138936635,0.891328556988561,0.658993087255872,256
"217","Japanese",0.954927658611039,0.865303657632989,0.531992241609878,512
"218","Japanese",0.935328666911846,0.838934080587113,0.430671916410807,1024
"219","Japanese",0.920391540569968,0.827986176605302,0.416675649174562,2048
"220","Japanese",0.899031943589965,0.809739092782776,0.403131886101657,4096
"221","Japanese",0.87710698440782,0.796228712406431,0.391657138412479,8192
"222","Japanese",0.851587777082059,0.782355145772893,0.370692916016126,16384
"223","Japanese",NA,NA,NA,32768
"224","Japanese",NA,NA,NA,65536
"225","Japanese",NA,NA,NA,131072
"226","Japanese",NA,NA,NA,262144
"227","Japanese",NA,NA,NA,524288
"228","Japanese",NA,NA,NA,1048576
"229","Japanese",NA,NA,NA,2097152
"230","Japanese",NA,NA,NA,4194304
"231","Japanese",NA,NA,NA,8388608
"232","Japanese-romaji",0.994031845161438,0.856172082668793,0.769791666666667,8
"233","Japanese-romaji",0.988603506851136,0.828505240349678,0.772372166121538,16
"234","Japanese-romaji",0.980315972731313,0.815485277722443,0.801286874966176,32
"235","Japanese-romaji",0.968184886749842,0.829886809690037,0.816041341622671,64
"236","Japanese-romaji",0.954429146103856,0.832659579920102,0.799505535903276,128
"237","Japanese-romaji",0.933493135956235,0.812082508762373,0.721310025445695,256
"238","Japanese-romaji",0.909536487861755,0.793834418815413,0.626495968935456,512
"239","Japanese-romaji",0.879237067523606,0.770107778685889,0.529013213403914,1024
"240","Japanese-romaji",0.845401331832704,0.745192429945239,0.438302820108517,2048
"241","Japanese-romaji",0.807270182790946,0.719810666305659,0.334070952526765,4096
"242","Japanese-romaji",0.774012879513511,0.70163871260889,0.270550404561673,8192
"243","Japanese-romaji",0.737215716162084,0.683019346733677,0.215819134518738,16384
"244","Japanese-romaji",NA,NA,NA,32768
"245","Japanese-romaji",NA,NA,NA,65536
"246","Japanese-romaji",NA,NA,NA,131072
"247","Japanese-romaji",NA,NA,NA,262144
"248","Japanese-romaji",NA,NA,NA,524288
"249","Japanese-romaji",NA,NA,NA,1048576
"250","Japanese-romaji",NA,NA,NA,2097152
"251","Japanese-romaji",NA,NA,NA,4194304
"252","Japanese-romaji",NA,NA,NA,8388608
"253","Japanese-strokes",0.99138907772207,0.830170071505242,0.700833333333333,8
"254","Japanese-strokes",0.98348955141702,0.816260344449239,0.705631632650671,16
"255","Japanese-strokes",0.972997827396748,0.810704801890578,0.702166897506446,32
"256","Japanese-strokes",0.960597137061542,0.844133596449048,0.745616696210906,64
"257","Japanese-strokes",0.949818996757492,0.861856810662824,0.774222019140592,128
"258","Japanese-strokes",0.932989707585642,0.858151432968072,0.740950639178823,256
"259","Japanese-strokes",0.907609521613759,0.843182765527347,0.657108527997392,512
"260","Japanese-strokes",0.878142987149522,0.827652337532168,0.552651522855426,1024
"261","Japanese-strokes",0.84205537118087,0.806099754645606,0.415179916118945,2048
"262","Japanese-strokes",0.798519195892999,0.779541292256513,0.289261378154219,4096
"263","Japanese-strokes",0.750712640594779,0.751372308425474,0.197169600035459,8192
"264","Japanese-strokes",0.699669831749177,0.723546336258253,0.139032324160489,16384
"265","Japanese-strokes",NA,NA,NA,32768
"266","Japanese-strokes",NA,NA,NA,65536
"267","Japanese-strokes",NA,NA,NA,131072
"268","Japanese-strokes",NA,NA,NA,262144
"269","Japanese-strokes",NA,NA,NA,524288
