"","language","family","script","corr","pvalue","hb_pvalue"
"1","Kinyarwanda","Niger-Congo","Latin",-0.246020449129958,0,0
"2","Estonian","Uralic","Latin",-0.287508660310937,0,0
"3","Catalan","Indo-European","Latin",-0.207057091691729,0,0
"4","Dutch","Indo-European","Latin",-0.366522242280114,0,0
"5","German","Indo-European","Latin",-0.147090272620581,0,0
"6","Tatar","Turkic","Cyrillic",-0.29927357107753,0,0
"7","English","Indo-European","Latin",-0.0943834176444412,0,0
"8","Esperanto","","Latin",-0.223338028154863,5.07699081556067e-313,1.98002641806866e-311
"9","Czech","Indo-European","Latin",-0.28533268418802,2.78835208777535e-298,1.05957379335463e-296
"10","Polish","Indo-European","Latin",-0.227319595891646,6.74895761841694e-295,2.49711431881427e-293
"11","Mongolian","Mongolic","Mongolian",-0.282701157738657,4.10575985859505e-271,1.47807354909422e-269
"12","Basque","Language isolate","Latin",-0.21651605519294,2.86523776671296e-263,1.00283321834954e-261
"13","Western Frisian","Indo-European","Latin",-0.355619993498997,9.20345177763558e-250,3.1291736043961e-248
"14","Persian","Indo-European","Arabic",-0.274644158268224,4.5515796033425e-228,1.50202126910303e-226
"15","Russian","Indo-European","Cyrillic",-0.178745439680926,1.07767907996212e-227,3.44857305587878e-226
"16","Yakut","Turkic","Cyrillic",-0.320963598227847,2.27134390877352e-192,7.04116611719791e-191
"17","Romansh","Indo-European","Latin",-0.286640957084557,5.21499574518447e-185,1.56449872355534e-183
"18","Welsh","Indo-European","Latin",-0.264221583216608,4.43874875813294e-183,1.28723713985855e-181
"19","Portuguese","Indo-European","Latin",-0.239774102555729,2.58484169713539e-170,7.23755675197909e-169
"20","Latvian","Indo-European","Latin",-0.306570605573644,1.61955645861782e-169,4.37280243826811e-168
"21","Turkish","Turkic","Latin",-0.279177944725834,2.43761885823102e-160,6.33780903140066e-159
"22","Kirghiz","Turkic","Cyrillic",-0.248162968002083,2.17690742006663e-147,5.44226855016658e-146
"23","Ukrainian","Indo-European","Cyrillic",-0.206385190271333,1.3312094514902e-138,3.19490268357649e-137
"24","Swedish","Indo-European","Latin",-0.358190058383505,3.01125947263691e-135,6.9258967870649e-134
"25","Modern Greek","Indo-European","Greek",-0.304428979386975,1.16822098402932e-125,2.57008616486449e-124
"26","Maltese","Afro-Asiatic","Latin",-0.24064639916893,5.49804486928099e-108,1.15458942254901e-106
"27","Interlingua","","Latin",-0.285246918245068,9.84874373350868e-105,1.96974874670174e-103
"28","Romanian","Indo-European","Latin",-0.257539008060315,1.6156788021183e-98,3.06978972402476e-97
"29","Slovenian","Indo-European","Latin",-0.256135890995948,1.02607038927942e-90,1.84692670070296e-89
"30","Breton","Indo-European","Latin",-0.299553603499551,1.29097541336678e-90,2.19465820272353e-89
"31","Chuvash","Turkic","Cyrillic",-0.254107047881667,4.89220050220543e-83,7.82752080352868e-82
"32","Hakha Chin","Sino-Tibetan","Latin",-0.354540825311717,1.11379141085587e-75,1.67068711628381e-74
"33","French","Indo-European","Latin",-0.0454318182589728,2.09661958066324e-75,2.93526741292854e-74
"34","Indonesian","Austronesian","Latin",-0.259406020621831,4.84145812572498e-60,6.29389556344248e-59
"35","Italian","Indo-European","Latin",-0.0688589822494402,1.35625476746869e-59,1.62750572096242e-58
"36","Arabic","Afro-Asiatic","Arabic",-0.181847656735415,4.70353196119601e-57,5.17388515731561e-56
"37","Irish","Indo-European","Latin",-0.277987420453374,1.40532276100456e-42,1.40532276100456e-41
"38","Tamil","Dravidian","Tamil",-0.330996284314383,1.29381633560001e-40,1.16443470204001e-39
"39","Assamese","Indo-European","Assamese",-0.358547243751167,1.83508027820882e-35,1.46806422256706e-34
"40","Georgian","Kartvelian","Georgian",-0.136543688700655,1.126568766835e-34,7.88598136784502e-34
"41","Oriya","Indo-European","Odia",-0.379109822655208,3.74603410489883e-33,2.2476204629393e-32
"42","Spanish","Indo-European","Latin",-0.038716327780993,8.69545044434862e-27,4.34772522217431e-26
"43","Abkhazian","Northwest Caucasian","Cyrillic",-0.391695916976909,3.58572887523396e-07,1.43429155009358e-06
"44","Vietnamese","Austroasiatic","Latin",-0.179327600198891,7.72744926860565e-06,2.3182347805817e-05
"45","Panjabi","Indo-European","Arabic",-0.388737366566015,4.94929983487323e-05,9.89859966974646e-05
"46","Dhivehi","Indo-European","Thaana",-0.290673450903774,0.000121698927736231,0.000121698927736231
