"","language","Lmin","L","Lrand","corr","corr_min","eta","psi","omega","family","script"
"1","Indonesian",2.26685426894983,3.46467488923482,4.35369917796045,-0.126790258017163,-0.769731021112001,0.654276185045017,0.426013588689309,0.164720213346727,"Austronesian","Latin"
"2","Czech",2.68221251059944,3.23794925314722,4.34723596776474,-0.194609982876436,-0.651323215598361,0.828367679941983,0.666228880946867,0.29879171848289,"Indo-European","Latin"
"3","English",2.12774572886621,2.9884069225649,4.33273345330934,-0.192438798000042,-0.754341405634087,0.712,0.609675290180561,0.255108358844867,"Indo-European","Latin"
"4","French",1.75219287499387,2.63012691723428,4.26275412351362,-0.156995727800903,-0.769719843652959,0.666200883125594,0.650303675021652,0.203964766006068,"Indo-European","Latin"
"5","German",2.61676940701544,3.5150291855327,5.37246566383257,-0.221814571969889,-0.676080864228796,0.744451686997548,0.674035272829826,0.328088818521602,"Indo-European","Latin"
"6","Icelandic",2.52588068357086,3.22839163427725,4.93256006628003,-0.251608132621898,-0.656244092271474,0.782395994572799,0.708099485226991,0.383406320277872,"Indo-European","Latin"
"7","Italian",1.84599830715696,2.56940656446911,4.22279700321085,-0.183081963143078,-0.760616537047293,0.71845317618638,0.695637557142222,0.240702054485695,"Indo-European","Latin"
"8","Polish",2.91646369560924,3.56908695938385,4.73734001112966,-0.177416812006207,-0.66296536083333,0.817145597403076,0.641588361487321,0.267610983148801,"Indo-European","Latin"
"9","Portuguese",1.76280027453672,2.43870967741936,4.27468645115704,-0.177091905504676,-0.760259875695834,0.72284138241585,0.730915592763023,0.232936014599733,"Indo-European","Latin"
"10","Spanish",1.91883039825319,2.72497270612807,4.38747826086956,-0.161311553440033,-0.741145039829821,0.704164997299981,0.673447833495178,0.217651801969926,"Indo-European","Latin"
"11","Swedish",2.5503724508487,3.41403101721822,5.10188477951636,-0.230835267850716,-0.683617798300379,0.747026737011535,0.66151111375562,0.337667141529407,"Indo-European","Latin"
"12","Japanese-romaji",0.997210317781192,1.83177003315275,2.95091771499278,-0.144985864402558,-0.779069101240299,0.544397113028892,0.572832801594205,0.186101417925235,"Japonic","Latin"
"13","Chinese-pinyin",1.82123844214066,2.66943121322499,3.57826961770624,-0.12223728216019,-0.742529454636888,0.682257116466538,0.517257984445662,0.164622805730941,"Sino-Tibetan","Latin"
"14","Turkish",3.19189796362055,3.97347633886514,4.99377561864278,-0.224117661073298,-0.681132371028136,0.803301112529637,0.566242262305572,0.329036866556501,"Turkic","Latin"
"15","Finnish",3.2978505629478,3.9279584284702,4.90098010954165,-0.229231442380853,-0.600318602942574,0.839583876205175,0.606951374041368,0.381849639936581,"Uralic","Latin"
