"","language","family","script","corr","pvalue","hb_pvalue"
"1","Icelandic","Indo-European","Latin",-0.256540831850389,1.76600443110494e-134,3.88520974843087e-133
"2","Korean","Koreanic","Hangul",-0.239360717720841,2.72061943634209e-127,5.7133008163184e-126
"3","Turkish","Turkic","Latin",-0.232094234272868,4.23495402597141e-121,8.46990805194282e-120
"4","Finnish","Uralic","Latin",-0.227718273237356,6.7237058669203e-120,1.27750411471486e-118
"5","Czech","Indo-European","Latin",-0.220540062317279,2.39297049943032e-115,4.30734689897457e-114
"6","German","Indo-European","Latin",-0.227355482053752,1.38762731677238e-108,2.35896643851305e-107
"7","Swedish","Indo-European","Latin",-0.225038463403772,1.26030657214269e-99,2.0164905154283e-98
"8","Russian","Indo-European","Cyrillic",-0.19395000205192,8.35019566014277e-89,1.25252934902142e-87
"9","Polish","Indo-European","Latin",-0.183382000913452,5.60966177452985e-81,7.8535264843418e-80
"10","Chinese","Sino-Tibetan","Chinese",-0.238940790547317,1.41775018438721e-80,1.84307523970338e-79
"11","Thai","Tai-Kadai","Thai",-0.231011875658256,1.15667812056932e-73,1.38801374468319e-72
"12","Japanese","Japonic","Kanji-Kana",-0.210225814699516,1.99601186967947e-66,2.19561305664742e-65
"13","English","Indo-European","Latin",-0.19384535134062,4.22225311476527e-66,4.22225311476527e-65
"14","Portuguese","Indo-European","Latin",-0.181375182039136,3.88738488352574e-64,3.49864639517317e-63
"15","Hindi","Indo-European","Devanagari",-0.179984972958847,1.3239730232938e-55,1.05917841863504e-54
"16","Italian","Indo-European","Latin",-0.162174214956446,4.57381496728107e-54,3.20167047709675e-53
"17","Spanish","Indo-European","Latin",-0.160866654589523,1.08573337029247e-51,6.51440022175481e-51
"18","French","Indo-European","Latin",-0.1602136139285,6.42809096449934e-50,3.21404548224967e-49
"19","Arabic","Indo-European","Arabic",-0.128641437899187,2.92261082950668e-36,1.16904433180267e-35
"20","Indonesian","Indo-European","Latin",-0.104399361005254,3.20704533929421e-19,9.62113601788262e-19
"21","Japanese-strokes","Japonic","Kanji-Kana",-0.0912452031024083,1.2041705055328e-16,2.40834101106559e-16
"22","Chinese-strokes","Sino-Tibetan","Chinese",-0.0501263953231611,3.58554960301524e-06,3.58554960301524e-06
