"","language","family","script","Lmin","L","Lrand","eta","psi","omega"
"1","Arabic","Indo-European","Arabic",3.38556463555092,4.15181264739758,5.55569025609941,0.815442536327609,0.646910757335334,0.646910757335334
"2","Chinese-strokes","Indo-European","Chinese",3.24448179271709,6.82851540616246,7.88432910883122,0.475137215007097,0.22755354448883,0.22755354448883
"3","Russian","Indo-European","Cyrillic",5.18662061908416,6.04054745459197,8.07532140860816,0.858634197988354,0.704390694043285,0.704390694043284
"4","Hindi","Indo-European","Devanagari",3.02678652091427,3.96987081037131,5.8320735444331,0.762439551686864,0.663818966989667,0.663818966989668
"5","Japanese-strokes","Indo-European","Kanji-Kana",5.17277762056838,7.72915066499576,13.9350783182193,0.669255632963033,0.708253216519639,0.708253216519637
"6","Chinese-pinyin","Indo-European","Latin",3.87607843137255,4.9340056022409,6.58217662442165,0.785584521754928,0.609058099375054,0.609058099375051
"7","Czech","Indo-European","Latin",4.7212101910828,5.46452229299363,7.25448369565217,0.863974916368468,0.706580398614644,0.706580398614646
"8","English","Indo-European","Latin",3.7854976564654,4.87438654535429,6.99114521841795,0.776610065952464,0.660321707909259,0.660321707909262
"9","French","Indo-European","Latin",3.69232593435781,4.80848036425726,7.47094582513857,0.767877927048194,0.704613202131632,0.704613202131632
"10","German","Indo-European","Latin",4.52905779030684,5.74509378727095,8.54722445695897,0.788334874591881,0.697365465933425,0.697365465933422
"11","Icelandic","Indo-European","Latin",4.43613060726274,5.32615196826366,7.87854251012146,0.832895988266166,0.741454135612939,0.74145413561294
"12","Indonesian","Indo-European","Latin",4.13312325346334,5.98275759557643,7.33681462140992,0.690839163619017,0.422655265541818,0.422655265541819
"13","Italian","Indo-European","Latin",3.80476736190694,4.84959889983956,7.63324360699865,0.784552999224909,0.727089455165841,0.727089455165841
"14","Japanese-romaji","Indo-European","Latin",2.75329505943236,3.84086682299668,6.092390183543,0.716842105263158,0.674291470251541,0.67429147025154
"15","Polish","Indo-European","Latin",5.16099051085402,6.06772390484856,7.97025515077091,0.85056449366953,0.677234611111124,0.677234611111127
"16","Portuguese","Indo-European","Latin",3.56594888675536,4.52576235541535,7.47780908770694,0.787922256343947,0.754640140660826,0.754640140660823
"17","Spanish","Indo-European","Latin",3.73523692074183,4.82768107005644,7.58837814397225,0.773712444243579,0.716479597807546,0.716479597807544
"18","Swedish","Indo-European","Latin",4.31117516363418,5.43139374286915,7.96011639849367,0.793751174695132,0.693001748415905,0.693001748415903
"19","Japanese","Japonic","Kanji-Kana",1.44762905768687,1.73096980232041,2.71104699093157,0.83631098344193,0.775734745266858,0.775734745266858
"20","Korean","Koreanic","Hangul",2.38498840396374,2.71621336706726,3.1931396390631,0.878056353333851,0.590144828445636,0.590144828445635
"21","Chinese","Sino-Tibetan","Chinese",1.46840336134454,1.66655462184874,2.18306175819755,0.881101250504236,0.722732900954135,0.722732900954136
"22","Thai","Tai-Kadai","Thai",3.16893392559689,4.36988709975939,6.36452550885541,0.725175239829737,0.624184398139545,0.624184398139547
"23","Turkish","Turkic","Latin",5.34920522282146,6.4293925631564,7.91550125128809,0.831992318135161,0.579087007752431,0.579087007752433
"24","Finnish","Uralic","Latin",6.54858787831635,7.50820820042014,9.27162238552855,0.872190501849683,0.647591567583096,0.647591567583098
