"","language","corr","pvalue","hb_pvalue"
"2","Czech",-0.135403324073471,9.27509738920019e-32,1.39126460838003e-30
"10","Polish",-0.115358128961303,1.93741683131137e-23,2.71238356383592e-22
"4","Finnish",-0.115233374389522,1.19109814763687e-22,1.54842759192793e-21
"8","Italian",-0.125201273568529,1.68229847738724e-22,2.01875817286469e-21
"21","German",-0.118553440954734,3.38101248847927e-21,3.7191137373272e-20
"13","Swedish",-0.121023986574192,8.2866958701994e-21,8.2866958701994e-20
"14","Turkish",-0.11160010571275,1.41543619115048e-20,1.27389257203543e-19
"11","Portuguese",-0.11710841318507,4.26197092487688e-19,3.4095767399015e-18
"7","Icelandic",-0.107860539334257,9.57021093605901e-18,6.69914765524131e-17
"5","French",-0.112791395705906,1.33251847196409e-17,7.99511083178457e-17
"12","Spanish",-0.110264765183803,2.3110111192646e-17,1.1555055596323e-16
"3","English",-0.113445240358201,2.49974542310858e-16,9.99898169243433e-16
"6","Indonesian",-0.113093734013241,7.37691085662687e-15,2.21307325698806e-14
"9","Japanese-romaji",-0.107243866162934,3.50781251271708e-14,7.01562502543416e-14
"15","Chinese-pinyin",-0.0909003414655901,6.81393248942801e-11,6.81393248942801e-11
