"","language","Lmin","L","Lrand","corr","corr_min","eta","psi","omega","family","script"
"1","Indonesian",2.42287425149701,3.49437125748503,4.35555555555556,-0.121981088356937,-0.766737310040781,0.693364863938584,0.445590432453646,0.159091108205559,"Austronesian","Latin"
"2","Czech",3.35158062164491,3.95128901849029,5.08323133414933,-0.183739253467827,-0.644065762652458,0.848224618842354,0.653678197043531,0.285280268137734,"Indo-European","Latin"
"3","English",2.36774922338323,3.07026263767297,4.3389797124286,-0.187304014876891,-0.752391812891788,0.771187843779319,0.643616807778799,0.248944780721358,"Indo-European","Latin"
"4","French",2.28501708150317,2.92923377257199,4.56774193548387,-0.159573592632327,-0.73509771631043,0.780073308897034,0.717786096758264,0.21707806879506,"Indo-European","Latin"
"5","German",2.86046890263758,3.61185281667209,5.51570301175713,-0.213656362724559,-0.672988011803262,0.791967183555716,0.717017828501884,0.317474247649776,"Indo-European","Latin"
"6","Icelandic",3.04722052535125,3.68784361637141,5.51855452924972,-0.241032135303537,-0.654370789864283,0.826287891336757,0.740778425737034,0.368341831629629,"Indo-European","Latin"
"7","Italian",2.2446568627451,2.80352941176471,4.24347093513058,-0.173139423582899,-0.755160340759132,0.800653937613652,0.72039793158319,0.229275048274978,"Indo-European","Latin"
"8","Polish",3.21109616677875,3.82911903160726,4.85384510312799,-0.161446556686133,-0.668322242593078,0.838599202655473,0.623787390054882,0.241569928990726,"Indo-European","Latin"
"9","Portuguese",2.3153681963714,2.86798292422625,4.31074642668078,-0.169653585177412,-0.756977695998005,0.807315893275779,0.723052642621458,0.224119661747417,"Indo-European","Latin"
"10","Spanish",2.27288723789041,2.81015689916418,4.39697706740792,-0.159218838943155,-0.739550246740615,0.808811507487868,0.747058879616306,0.215291441852494,"Indo-European","Latin"
"11","Swedish",2.96354746874613,3.79273424928828,5.4043172862772,-0.210805458397908,-0.667321604867584,0.781374932689327,0.660276534646392,0.315897847245239,"Indo-European","Latin"
"12","Japanese-romaji",1.53185950236866,1.93363492808672,2.97484407484407,-0.14062233717464,-0.772843654995635,0.792217538128766,0.721566374733428,0.181954443522518,"Japonic","Latin"
"13","Chinese-pinyin",3.26948725133091,4.24152423648081,5.77102615694165,-0.15451249618334,-0.753794547757703,0.770828378913991,0.611424398409434,0.204979588460762,"Sino-Tibetan","Latin"
"14","Turkish",3.41919658727337,4.15471027372911,5.18043894535278,-0.206807910910866,-0.666519021222827,0.822968717913615,0.582389281587684,0.310280583638028,"Turkic","Latin"
"15","Finnish",3.6461369691271,4.31029619181946,5.26534653465347,-0.200900514292105,-0.601567578090534,0.845913321698662,0.589825037578465,0.333961672152933,"Uralic","Latin"
