"","language","corr","pvalue","hb_pvalue"
"7","Icelandic",-0.251608132621898,3.18655654220285e-122,4.77983481330428e-121
"4","Finnish",-0.229231442380853,3.43124158014489e-113,4.80373821220284e-112
"14","Turkish",-0.224117661073298,5.29950937064292e-106,6.88936218183579e-105
"21","German",-0.221814571969889,2.32939822086777e-98,2.79527786504132e-97
"13","Swedish",-0.230835267850716,2.89829531290456e-97,3.18812484419501e-96
"2","Czech",-0.194609982876436,1.29629236073169e-82,1.29629236073169e-81
"10","Polish",-0.177416812006207,3.43140443839805e-71,3.08826399455825e-70
"3","English",-0.192438798000042,3.15553208515183e-61,2.52442566812146e-60
"8","Italian",-0.183081963143078,4.63147422993392e-61,3.24203196095374e-60
"11","Portuguese",-0.177091905504676,6.1522929840421e-58,3.69137579042526e-57
"12","Spanish",-0.161311553440033,3.5762762590357e-49,1.78813812951785e-48
"5","French",-0.156995727800903,8.05322114977037e-43,3.22128845990815e-42
"9","Japanese-romaji",-0.144985864402558,2.10096119761389e-33,6.30288359284167e-33
"15","Chinese-pinyin",-0.12223728216019,8.21486664159528e-26,1.64297332831906e-25
"6","Indonesian",-0.126790258017163,8.85243524015179e-26,1.64297332831906e-25
