"","language","family","script","Lmin","L","Lrand","eta","psi","omega"
"1","Arabic","Indo-European","Arabic",3.39240019768272,4.15540058206578,5.55676822798242,0.816383434204614,0.647471976252849,0.176960038232905
"2","Chinese-strokes","Indo-European","Chinese",3.24448179271709,6.82851540616246,7.88432910883122,0.475137215007097,0.22755354448883,0.0661918984571514
"3","Russian","Indo-European","Cyrillic",5.18662061908416,6.04054745459197,8.07532140860816,0.858634197988354,0.704390694043285,0.30160154471229
"4","Hindi","Indo-European","Devanagari",3.12086405747778,4.10772357723577,5.8330608908868,0.759755129282073,0.636140154873058,0.232184610443773
"5","Japanese-strokes","Indo-European","Kanji-Kana",5.17277762056838,7.72915066499576,13.9350783182193,0.669255632963033,0.708253216519639,0.117998313417283
"6","Chinese-pinyin","Indo-European","Latin",3.87607843137255,4.9340056022409,6.58217662442165,0.785584521754928,0.609058099375054,0.223461606302653
"7","Czech","Indo-European","Latin",4.7212101910828,5.46452229299363,7.25448369565217,0.863974916368468,0.706580398614644,0.334038126800346
"8","English","Indo-European","Latin",3.7854976564654,4.87438654535429,6.99114521841795,0.776610065952464,0.660321707909259,0.255996488765367
"9","French","Indo-European","Latin",3.69232593435781,4.80848036425726,7.47094582513857,0.767877927048194,0.704613202131632,0.214362281001279
"10","German","Indo-European","Latin",4.52905779030684,5.74509378727095,8.54722445695897,0.788334874591881,0.697365465933425,0.334401118810716
"11","Icelandic","Indo-European","Latin",4.43613060726274,5.32615196826366,7.87854251012146,0.832895988266166,0.741454135612939,0.390083670911586
"12","Indonesian","Indo-European","Latin",4.13312325346334,5.98275759557643,7.33681462140992,0.690839163619017,0.422655265541818,0.132416389061165
"13","Italian","Indo-European","Latin",3.80476736190694,4.84959889983956,7.63324360699865,0.784552999224909,0.727089455165841,0.218127325536982
"14","Japanese-romaji","Indo-European","Latin",2.75329505943236,3.84086682299668,6.092390183543,0.716842105263158,0.674291470251541,0.197777675792761
"15","Polish","Indo-European","Latin",5.16099051085402,6.06772390484856,7.97025515077091,0.85056449366953,0.677234611111124,0.285009303493587
"16","Portuguese","Indo-European","Latin",3.56594888675536,4.52576235541535,7.47780908770694,0.787922256343947,0.754640140660826,0.245378253652673
"17","Spanish","Indo-European","Latin",3.73523692074183,4.82768107005644,7.58837814397225,0.773712444243579,0.716479597807546,0.217884881631237
"18","Swedish","Indo-European","Latin",4.31117516363418,5.43139374286915,7.96011639849367,0.793751174695132,0.693001748415905,0.33074565158686
"19","Japanese","Japonic","Kanji-Kana",1.44762905768687,1.73096980232041,2.71104699093157,0.83631098344193,0.775734745266858,0.352639213736973
"20","Korean","Koreanic","Hangul",2.38498840396374,2.71621336706726,3.1931396390631,0.878056353333851,0.590144828445636,0.372186290780256
"21","Chinese","Sino-Tibetan","Chinese",1.4685346035304,1.66674138414122,2.18329979879276,0.881081262818142,0.72269665349603,0.437791568093802
"22","Thai","Tai-Kadai","Thai",3.19355734518189,4.37082291955938,6.36594394500264,0.730653564318692,0.628902235798119,0.282829305726992
"23","Turkish","Turkic","Latin",5.34920522282146,6.4293925631564,7.91550125128809,0.831992318135161,0.579087007752431,0.349815391565373
"24","Finnish","Uralic","Latin",6.54858787831635,7.50820820042014,9.27162238552855,0.872190501849683,0.647591567583096,0.385209297555908
