"","language","corr","pvalue","hb_pvalue"
"7","Icelandic",-0.244577920529328,4.8715671018043e-118,7.30735065270645e-117
"4","Finnish",-0.225098473990874,3.13108311708072e-111,4.38351636391301e-110
"14","Turkish",-0.218357110418231,1.10437836750281e-103,1.43569187775365e-102
"21","German",-0.219583558181165,7.81502634948523e-98,9.37803161938227e-97
"13","Swedish",-0.222854372951162,5.73096680979236e-94,6.30406349077159e-93
"2","Czech",-0.190490327302139,2.72446127492738e-82,2.72446127492738e-81
"10","Polish",-0.172690834885165,7.91460767934668e-69,7.12314691141201e-68
"3","English",-0.187552392743138,4.48007383490042e-59,3.58405906792034e-58
"8","Italian",-0.173985405097171,2.35169864685822e-58,1.64618905280076e-57
"11","Portuguese",-0.176573599208208,9.23912309388527e-58,5.54347385633116e-57
"12","Spanish",-0.160946896611217,4.50360327199866e-49,2.25180163599933e-48
"5","French",-0.151810704418395,8.28193118844946e-43,3.31277247537978e-42
"9","Japanese-romaji",-0.144985864402558,2.10096119761389e-33,6.30288359284167e-33
"15","Chinese-pinyin",-0.12223728216019,8.21486664159528e-26,1.64297332831906e-25
"6","Indonesian",-0.122359874379625,1.50528852681935e-24,1.50528852681935e-24
