"","language","dialect","Lmin","L","Lrand","eta","omega"
"1","ab","",0.6896860670194,0.754338624338624,0.816498888888889,0.914292394379369,0.49017334078598
"2","ar","",0.358869367116662,0.482209998382139,0.589677479628755,0.744218013564015,0.465613968577408
"3","as","",0.373914607765825,0.451715,0.511592381315456,0.827766639951795,0.434909570162907
"4","br","",0.223635287389969,0.319062426934767,0.518819770197791,0.700913891799901,0.676720338965361
"5","ca","",0.246775726569076,0.365090620566483,0.680241020285342,0.675930064119898,0.727048749432631
"6","cnh","",0.225566302150522,0.298824553521285,0.445208617263082,0.754845274568295,0.666465674734761
"7","cs","",0.312463476442837,0.385502554686253,0.573711318513957,0.810535423551579,0.72042227157026
"8","cv","",0.379715313954336,0.461744929317763,0.5560963158155,0.822348638490461,0.534929417012866
"9","cy","",0.231138677957967,0.332866820743772,0.58184677439989,0.694387855904355,0.709935003446232
"10","de","",0.24392193391681,0.38974775530366,0.767668246784926,0.625845641437409,0.721571650617862
"11","dv","",0.187917345130042,0.40157060518732,0.806182872383652,0.467955927805983,0.65443122632707
"12","el","",0.296525129012577,0.39406185730106,0.630493517285192,0.75248371167787,0.707946225710246
"13","en","",0.196869791132622,0.34451338703475,0.673762564525594,0.571443080418713,0.690405046711694
"14","eo","",0.353923407626512,0.502332485094351,0.81629819651867,0.704560063560364,0.679028612646842
"15","es","",0.210492475792454,0.369292391272511,0.625930239517404,0.569988661469946,0.61775281559335
"16","et","",0.324832859352586,0.404168206949433,0.579730803622787,0.803707104535383,0.6887564243643
"17","eu","",0.332388640493172,0.452791315723139,0.630346010832798,0.734087931793313,0.59590637045586
"18","fa","",0.269733854905734,0.368768826992221,0.551210829272929,0.731444295619446,0.648159597035839
"19","fr","",0.191805409307943,0.336298486774885,0.635982695731549,0.570342766473213,0.674695033079335
"20","fy","NL",0.264719607310293,0.331055491311166,0.612507537728445,0.799623067002616,0.809263409684411
"21","ga","IE",0.231913966954381,0.306280603050415,0.470630868745014,0.757194431004195,0.688473520147905
"22","ia","",0.334203704068761,0.42199439989818,0.69257521945681,0.791962415021144,0.755028812113155
"23","id","",0.278986514106147,0.393051921688921,0.530309729058977,0.709795573336364,0.5461405839322
"24","it","",0.268088838914461,0.388046773089968,0.653952223889201,0.690867332254056,0.689118120955272
"25","ka","",0.447816451494241,0.530818422582521,0.60644342578908,0.843633966800811,0.476747435565379
"26","ky","",0.350501161889619,0.45197999585241,0.573990490905435,0.775479368790631,0.545934320848002
"27","lv","",0.335620461812439,0.401167072929705,0.594942852366917,0.836610191762294,0.747238906069329
"28","mn","",0.29538080743347,0.370815283558425,0.484231409696706,0.796571286379921,0.600560044707678
"29","mt","",0.264425881162882,0.360531938923021,0.54595945105002,0.733432610583056,0.658633754409229
"30","nl","",0.231492504941678,0.309953425630545,0.565319334726363,0.746862224447909,0.764965204446049
"31","or","",0.365615048315286,0.413898392949715,0.505509507826412,0.883344933305176,0.654858778516606
"32","pa","IN",0.664954545454545,0.725818181818182,0.749684210526316,0.916144789579158,0.281672643081006
"33","pl","",0.307710317284487,0.389780595789548,0.576912346708658,0.789444935454476,0.695134993296257
"34","pt","",0.27877532463551,0.36716948773395,0.620945756274428,0.759255150410292,0.741666272345474
"35","rm","sursilv",0.339485945318103,0.415064034955552,0.664576011802889,0.817912217700234,0.767516459500967
"36","rm","vallader",0.3508454853696,0.418222040519669,0.62718368912062,0.838897646172953,0.756180816711194
"37","ro","",0.272409086624069,0.369447108181001,0.573315665356062,0.737342587319994,0.677514456593651
"38","ru","",0.305418500678247,0.42793849858011,0.602131403146844,0.713697182402654,0.587075597715773
"39","rw","",0.275704831828194,0.460739882716944,0.72861783100981,0.598395845834716,0.591455641098629
"40","sah","",0.349426689175217,0.439424435183154,0.539047853691433,0.795191758122359,0.525381324191579
"41","sl","",0.367192237825508,0.443214907961518,0.630475788360715,0.828474474187564,0.711251728482582
"42","sv","SE",0.233143200520827,0.288254795992541,0.531095075003838,0.808809441376508,0.815031888732564
"43","ta","",0.473845934573111,0.572663588390501,0.68090780403303,0.827442051807201,0.522762669557957
"44","tr","",0.326356056804265,0.420000926698174,0.550040649654636,0.777036516014154,0.581353061913608
"45","tt","",0.310531783879518,0.391224752162136,0.523948408501362,0.793742681574565,0.621899332230566
"46","uk","",0.372114682892621,0.435559412814918,0.59218830183653,0.85433736924139,0.711711334476365
"47","vi","",0.226503165723166,0.330192307692308,0.348350967702449,0.685973478020071,0.149027390852961
