"","language","family","script","A","n","T"
"1","Arabic","Afro-Asiatic","Arabic",31,7497,49448
"2","Maltese","Afro-Asiatic","Latin",31,8148,44272
"3","Vietnamese","Austroasiatic","Latin",41,574,1300
"4","Indonesian","Austronesian","Latin",22,3817,44336
"5","Esperanto","Conlang","Latin",27,27932,406725
"6","Interlingua","Conlang","Latin",20,5552,31428
"7","Tamil","Dravidian","Tamil",29,1525,7580
"8","Persian","Indo-European","Arabic",38,13240,1665428
"9","Assamese","Indo-European","Assamese",43,1115,2000
"10","Russian","Indo-European","Cyrillic",32,31921,638782
"11","Ukrainian","Indo-European","Cyrillic",34,14399,120984
"12","Panjabi","Indo-European","Devanagari",37,95,110
"13","Modern Greek","Indo-European","Greek",33,5834,37926
"14","Breton","Indo-European","Latin",28,4322,38493
"15","Catalan","Indo-European","Latin",39,79213,3294506
"16","Czech","Indo-European","Latin",33,16032,150312
"17","Dutch","Indo-European","Latin",23,10666,320992
"18","English","Indo-European","Latin",28,173522,9829660
"19","French","Indo-European","Latin",49,162740,3732822
"20","German","Indo-European","Latin",30,150362,4235094
"21","Irish","Indo-European","Latin",23,2311,22751
"22","Italian","Indo-European","Latin",34,55480,812604
"23","Latvian","Indo-European","Latin",27,7792,30358
"24","Polish","Indo-European","Latin",32,25365,595613
"25","Portuguese","Indo-European","Latin",27,13049,295042
"26","Romanian","Indo-European","Latin",29,6449,33370
"27","Romansh","Indo-European","Latin",26,9801,44192
"28","Slovenian","Indo-European","Latin",24,5994,26402
"29","Spanish","Indo-European","Latin",33,75617,1843646
"30","Swedish","Indo-European","Latin",25,4454,63282
"31","Welsh","Indo-European","Latin",22,11488,547345
"32","Western Frisian","Indo-European","Latin",30,8419,63127
"33","Oriya","Indo-European","Odia",41,921,1929
"34","Dhivehi","Indo-European","Thaana",27,155,1388
"35","Georgian","Kartvelian","Georgian",25,7945,15481
"36","Basque","Language isolate","Latin",21,24998,460188
"37","Mongolian","Mongolic","Mongolian",31,14844,70638
"38","Kinyarwanda","Niger-Congo","Latin",26,135328,1945038
"39","Abkhazian","Northwest Caucasian","Cyrillic",28,150,189
"40","Hakha Chin","Sino-Tibetan","Latin",23,2515,17806
"41","Chuvash","Turkic","Cyrillic",22,5565,16270
"42","Kirghiz","Turkic","Cyrillic",30,10497,62687
"43","Tatar","Turkic","Cyrillic",34,22313,145458
"44","Yakut","Turkic","Cyrillic",28,8041,22795
"45","Turkish","Turkic","Latin",31,8957,107910
"46","Estonian","Uralic","Latin",23,30135,123895
