"","language","A"
"1","Abkhazian",28
"2","Arabic",31
"3","Assamese",43
"4","Breton",28
"5","Catalan",39
"6","Czech",33
"7","Chuvash",22
"8","Hakha Chin",23
"9","Welsh",22
"10","German",30
"11","Dhivehi",27
"12","Modern Greek",33
"13","English",28
"14","Esperanto",27
"15","Estonian",23
"16","Basque",21
"17","Persian",38
"18","French",49
"19","Western Frisian",30
"20","Irish",23
"21","Interlingua",20
"22","Indonesian",22
"23","Italian",34
"24","Georgian",25
"25","Kinyarwanda",26
"26","Kirghiz",30
"27","Latvian",27
"28","Maltese",31
"29","Mongolian",31
"30","Dutch",23
"31","Oriya",41
"32","Panjabi",37
"33","Polish",32
"34","Portuguese",27
"35","Romansh",26
"36","Romanian",29
"37","Russian",32
"38","Yakut",28
"39","Slovenian",24
"40","Spanish",33
"41","Swedish",25
"42","Tamil",29
"43","Tatar",34
"44","Turkish",31
"45","Ukrainian",34
"46","Vietnamese",41
