"","language","corr","pvalue","hb_pvalue"
"1","Catalan",-0.214622080917147,0,0
"2","German",-0.215651927864723,0,0
"3","English",-0.173533211575219,0,0
"4","Esperanto",-0.181619785533436,0,0
"5","Estonian",-0.229013149920332,0,0
"6","Basque",-0.208616857818888,0,0
"7","Persian",-0.248344349751549,0,0
"8","French",-0.209721481687401,0,0
"9","Western Frisian",-0.309134097828784,0,0
"10","Italian",-0.191323455580904,0,0
"11","Kinyarwanda",-0.210372369799745,0,0
"12","Mongolian",-0.250466560060059,0,0
"13","Dutch",-0.276798158843521,0,0
"14","Polish",-0.174548921086272,0,0
"15","Spanish",-0.136946644127677,0,0
"16","Tatar",-0.258437006621363,0,0
"17","Russian",-0.146047570397234,7.10218268535496e-301,2.13065480560649e-299
"18","Czech",-0.212480860981687,2.20816831439299e-296,6.40368811173966e-295
"19","Romansh",-0.260999797836596,2.7495221173196e-249,7.69866192849488e-248
"20","Portuguese",-0.222182933760699,2.38045976509735e-245,6.42724136576284e-244
"21","Welsh",-0.201352195533872,2.40534922306509e-198,6.25390797996923e-197
"22","Yakut",-0.25352332110215,9.63742434833193e-188,2.40935608708298e-186
"23","Ukrainian",-0.17509198110554,1.25260187328911e-177,3.00624449589386e-176
"24","Kirghiz",-0.19565377142842,6.02060067075807e-161,1.38473815427436e-159
"25","Turkish",-0.206569930869692,3.23051048501523e-159,7.10712306703351e-158
"26","Swedish",-0.291980256501665,4.91734997329224e-158,1.03264349439137e-156
"27","Slovenian",-0.250992548341816,1.68676571298816e-147,3.37353142597632e-146
"28","Latvian",-0.22975659185094,8.95424237477287e-143,1.70130605120685e-141
"29","Maltese",-0.211728963136528,5.53454581514013e-141,9.96218246725224e-140
"30","Romanian",-0.228922989037936,1.46481365336377e-128,2.49018321071841e-127
"31","Chuvash",-0.264521756178668,7.35241396770293e-118,1.17638623483247e-116
"32","Interlingua",-0.240500463083526,6.51174095778831e-115,9.76761143668247e-114
"33","Breton",-0.248943332901022,1.36923124148232e-108,1.91692373807525e-107
"34","Modern Greek",-0.213838819552113,2.45805063325007e-106,3.19546582322509e-105
"35","Indonesian",-0.218050526864894,8.27640447984972e-78,9.93168537581966e-77
"36","Hakha Chin",-0.253011935455667,8.68857517430938e-65,9.55743269174032e-64
"37","Irish",-0.23783518254915,1.41628505944826e-56,1.41628505944826e-55
"38","Georgian",-0.147298844515787,7.23299428769483e-52,6.50969485892534e-51
"39","Tamil",-0.312879665508138,1.83956055982423e-49,1.47164844785938e-48
"40","Arabic",-0.121738209180733,2.49403928521205e-41,1.74582749964843e-40
"41","Oriya",-0.327810792558468,4.7028857322358e-32,2.82173143934148e-31
"42","Assamese",-0.217322882992885,2.50745468424103e-18,1.25372734212052e-17
"43","Abkhazian",-0.20149326733585,0.00307279303015618,0.0122911721206247
"44","Dhivehi",-0.171722212253647,0.0079868730302319,0.0239606190906957
"45","Panjabi",-0.177547407171744,0.0231525377131114,0.0463050754262228
"46","Vietnamese",-0.0702432722983578,0.0369684033986632,0.0369684033986632
