character,frequencyTot,frequencyRet
a,74914,0.11565782180908138
e,56072,0.08656813658967365
i,56001,0.08645852149305025
r,46745,0.07216841819240075
l,41904,0.06469452125220582
n,41355,0.06384693409662494
k,32374,0.04998139631106603
d,29753,0.045934900983602506
ı,28410,0.04386147739536004
y,24008,0.03706534140470975
u,22416,0.03460749304098524
t,21975,0.033926644342239944
m,21407,0.03304972356925281
o,20998,0.03241827885771806
s,20712,0.03197673072202383
b,18160,0.028036762741983044
ü,13071,0.02017998490090641
ş,10677,0.016483949107717676
z,10056,0.015525202980913078
g,7512,0.011597585997674924
ç,7291,0.011256389711002113
c,7092,0.01094915866553655
v,6389,0.009863814821504937
h,5929,0.009153632505353386
p,5312,0.008201061876950107
ö,4908,0.007577336538417003
ğ,4855,0.007495511184599542
f,3516,0.005428263094758391
',2108,0.0032544876574945075
̇,819,0.0012644332976698301
j,664,0.0010251327346187634
