,word,frequency,length
,,frequency,0
の,の,1753,1
に,に,1162,3
は,は,1157,3
た,た,918,4
を,を,851,3
が,が,681,5
て,て,637,1
と,と,587,2
で,で,585,3
し,し,548,1
こと,こと,214,4
いる,いる,212,3
ある,ある,202,4
さ,さ,201,2
年,年,201,6
れ,れ,198,2
な,な,196,4
する,する,193,3
い,い,161,2
も,も,155,3
彼,彼,144,8
的,的,117,8
ない,ない,110,6
から,から,107,5
その,その,100,2
この,この,95,3
か,か,85,3
人,人,83,2
者,者,79,8
や,や,77,3
だ,だ,74,6
それ,それ,72,3
ます,ます,68,5
ため,ため,67,6
まし,まし,66,4
月,月,66,4
よう,よう,64,4
より,より,62,4
ら,ら,59,2
なっ,なっ,57,5
あり,あり,55,5
これ,これ,54,4
れる,れる,53,3
私,私,53,7
あっ,あっ,51,4
彼女,彼女,51,11
まで,まで,50,6
日,日,49,4
なる,なる,49,5
後,後,47,9
つ,つ,44,1
しかし,しかし,42,5
また,また,40,7
られ,られ,39,4
なかっ,なかっ,39,8
もの,もの,37,4
多く,多く,37,7
へ,へ,36,1
いう,いう,36,4
性,性,35,8
たち,たち,35,6
前,前,34,9
中,中,33,4
間,間,33,12
つい,つい,32,3
できる,できる,31,7
海,海,29,10
必要,必要,28,14
可能,可能,28,15
地域,地域,27,17
なく,なく,27,5
でき,でき,27,6
よる,よる,26,3
家,家,26,10
ず,ず,25,4
一,一,24,1
だろう,だろう,24,9
ば,ば,24,5
など,など,24,8
映画,映画,24,17
州,州,24,6
世界,世界,24,14
さらに,さらに,23,7
時,時,23,10
人々,人々,23,5
都市,都市,22,15
歴史,歴史,22,19
政府,政府,22,17
述べ,述べ,22,11
地,地,21,6
だっ,だっ,21,7
言っ,言っ,21,8
化,化,21,4
新しい,新しい,21,16
英国,英国,20,16
何,何,20,7
大,大,20,3
です,です,20,5
考え,考え,20,8
支配,支配,20,14
戦争,戦争,19,19
せ,せ,19,3
他,他,19,5
第,第,19,11
対する,対する,19,10
おり,おり,19,5
最も,最も,19,15
代,代,19,5
万,万,18,3
影響,影響,18,35
約,約,18,9
対し,対し,18,8
達,達,18,12
なり,なり,18,6
投資,投資,18,20
国,国,18,8
受け,受け,18,11
米国,米国,18,14
よっ,よっ,18,3
使用,使用,17,13
中国,中国,17,12
数,数,17,13
投票,投票,17,18
大統領,大統領,17,29
以上,以上,17,7
発生,発生,17,14
おい,おい,17,5
不,不,17,4
世紀,世紀,17,14
世,世,16,5
なら,なら,16,6
大きな,大きな,16,10
せる,せる,16,4
だけ,だけ,16,9
党,党,16,10
今,今,16,4
川,川,15,3
氏,氏,15,4
成長,成長,15,14
関係,関係,15,23
研究,研究,15,16
語,語,15,14
高い,高い,15,12
企業,企業,15,19
次,次,15,6
知ら,知ら,15,10
ほとんど,ほとんど,15,11
上,上,15,3
フランス,フランス,15,7
アメリカ,アメリカ,15,8
時代,時代,15,15
問題,問題,15,29
および,および,15,8
調査,調査,14,24
選挙,選挙,14,25
見,見,14,7
ヨーロッパ,ヨーロッパ,14,13
国家,国家,14,18
ローマ,ローマ,14,6
最初,最初,14,19
一部,一部,14,11
自分,自分,14,10
場合,場合,14,18
非常,非常,14,19
経済,経済,13,22
紀元,紀元,13,13
警察,警察,13,33
時間,時間,13,22
スペイン,スペイン,13,8
一方,一方,13,5
そこ,そこ,13,3
そして,そして,13,3
共和,共和,13,14
現在,現在,13,17
ポンド,ポンド,12,11
所,所,12,8
語っ,語っ,12,15
おけ,おけ,12,6
る,る,12,1
度,度,12,9
目的,目的,12,13
システム,システム,12,10
すべて,すべて,12,6
オーストラリア,オーストラリア,12,14
労働,労働,12,20
行動,行動,12,17
計画,計画,12,17
軍,軍,12,9
年間,年間,12,18
保護,保護,12,29
始め,始め,12,10
ギリシャ,ギリシャ,11,12
地区,地区,11,10
歳,歳,11,13
増加,増加,11,19
学校,学校,11,18
様々,様々,11,17
トランプ,トランプ,11,8
べき,べき,11,6
際,際,11,13
ロシア,ロシア,11,8
設立,設立,11,16
ところ,ところ,11,5
完全,完全,11,13
戻っ,戻っ,11,8
ん,ん,11,1
力,力,11,2
本,本,11,5
会,会,11,6
最高,最高,11,22
名前,名前,11,15
自身,自身,11,13
持っ,持っ,11,10
結果,結果,11,20
最終,最終,10,23
期間,期間,10,24
ドル,ドル,10,6
誰,誰,10,15
どう,どう,10,6
院,院,10,9
系,系,10,7
重要,重要,10,18
政治,政治,10,17
同じ,同じ,10,9
利用,利用,10,12
南,南,10,9
き,き,10,3
事件,事件,10,14
でし,でし,10,4
気候,気候,10,16
法律,法律,10,17
市,市,10,5
建設,建設,10,19
ませ,ませ,10,6
含ま,含ま,10,10
ほど,ほど,10,8
地中,地中,10,10
女性,女性,10,11
島,島,9,10
提供,提供,9,20
最近,最近,9,19
宣言,宣言,9,16
植民,植民,9,17
体,体,9,7
得,得,9,11
自由,自由,9,11
多数,多数,9,19
ドイツ,ドイツ,9,9
監督,監督,9,27
ながら,ながら,9,11
作品,作品,9,16
レベル,レベル,9,6
億,億,9,15
下,下,9,3
場,場,9,12
部,部,9,10
とっ,とっ,9,3
なけれ,なけれ,9,9
平均,平均,9,12
初めて,初めて,9,10
方法,方法,9,12
独立,独立,9,14
しか,しか,9,4
帝国,帝国,9,17
報告,報告,9,19
全て,全て,9,7
点,点,9,9
ユーロ,ユーロ,9,6
特に,特に,9,13
技術,技術,9,18
成功,成功,9,11
最後,最後,9,21
男性,男性,9,15
しれ,しれ,9,3
同,同,9,6
頃,頃,9,11
開始,開始,8,20
移動,移動,8,22
られる,られる,8,5
かけ,かけ,8,6
データ,データ,8,9
イタリア,イタリア,8,9
インド,インド,8,8
理由,理由,8,16
実際,実際,8,21
意味,意味,8,21
大陸,大陸,8,13
発表,発表,8,17
情報,情報,8,23
水,水,8,4
移行,移行,8,17
開発,開発,8,21
民族,民族,8,16
地方,地方,8,10
決定,決定,8,15
機,機,8,16
小さな,小さな,8,9
人口,人口,8,5
二,二,8,2
教会,教会,8,17
線,線,8,15
新た,新た,8,17
分,分,8,4
持つ,持つ,8,10
関する,関する,8,17
勝利,勝利,8,19
教,教,8,11
与え,与え,8,5
教育,教育,8,19
明らか,明らか,8,13
人間,人間,8,14
貿易,貿易,8,20
理解,理解,8,24
契約,契約,8,18
修道,修道,7,21
エリア,エリア,7,7
たい,たい,7,6
主義,主義,7,18
王国,王国,7,12
いく,いく,7,3
航空,航空,7,18
革命,革命,7,17
北部,北部,7,15
見る,見る,7,8
条約,条約,7,16
音楽,音楽,7,22
天皇,天皇,7,13
先住,先住,7,13
破壊,破壊,7,26
アルバム,アルバム,7,10
とも,とも,7,5
地球,地球,7,17
アフリカ,アフリカ,7,7
裁判,裁判,7,19
写真,写真,7,15
すぐ,すぐ,7,5
境界,境界,7,23
協定,協定,7,16
