"","language","corr","pvalue","hb_pvalue"
"14","Korean",-0.243813436006336,3.85880977309951e-136,9.26114345543881e-135
"9","Icelandic",-0.256540831850389,1.76600443110494e-134,4.06181019154136e-133
"21","Turkish",-0.232094234272868,4.23495402597141e-121,9.3168988571371e-120
"5","Finnish",-0.227718273237356,6.7237058669203e-120,1.41197823205326e-118
"25","Czech",-0.220540062317279,2.39297049943032e-115,4.78594099886063e-114
"3","German",-0.227355482053752,1.38762731677238e-108,2.63649190186753e-107
"19","Swedish",-0.225038463403772,1.26030657214269e-99,2.26855182985684e-98
"15","Polish",-0.183382000913452,5.60966177452985e-81,9.53642501670075e-80
"22","Chinese",-0.239638558813247,5.90628796243604e-81,9.53642501670075e-80
"17","Russian",-0.182418385809991,6.11245177722565e-81,9.53642501670075e-80
"20","Thai",-0.225157092665683,1.36821046383427e-70,1.91549464936798e-69
"11","Japanese",-0.211728124824806,3.42658189463375e-67,4.45455646302388e-66
"4","English",-0.19384535134062,4.22225311476527e-66,5.06670373771833e-65
"16","Portuguese",-0.181375182039136,3.88738488352574e-64,4.27612337187832e-63
"24","Chinese-strokes",-0.18454455861895,4.04033736684287e-64,4.27612337187832e-63
"7","Hindi",-0.178522695409981,5.66662511961647e-55,5.09996260765482e-54
"10","Italian",-0.162174214956446,4.57381496728107e-54,3.65905197382486e-53
"18","Spanish",-0.160866654589523,1.08573337029247e-51,7.60013359204728e-51
"23","Chinese-pinyin",-0.170691268241833,2.44380133770108e-50,1.46628080262065e-49
"6","French",-0.1602136139285,6.42809096449934e-50,3.21404548224967e-49
"12","Japanese-romaji",-0.157251419760808,1.1458987342444e-41,4.58359493697759e-41
"2","Arabic",-0.128040760290389,6.31402071530057e-36,1.89420621459017e-35
"8","Indonesian",-0.104399361005254,3.20704533929421e-19,6.41409067858841e-19
"13","Japanese-strokes",-0.091057006010317,1.38495293528439e-16,1.38495293528439e-16
