"","language","corr","pvalue","hb_pvalue"
"1","Catalan",-0.214479285548362,0,0
"2","German",-0.213158422779263,0,0
"3","English",-0.172815646835336,0,0
"4","Esperanto",-0.178573061572703,0,0
"5","Estonian",-0.222376940269359,0,0
"6","Basque",-0.207564655264298,0,0
"7","Persian",-0.245812157144751,0,0
"8","French",-0.209806417939329,0,0
"9","Western Frisian",-0.30839402411508,0,0
"10","Italian",-0.189855943134682,0,0
"11","Kinyarwanda",-0.209277790713254,0,0
"12","Mongolian",-0.249589497104641,0,0
"13","Dutch",-0.273993421930411,0,0
"14","Polish",-0.174595266503987,0,0
"15","Spanish",-0.134862275404676,0,0
"16","Tatar",-0.254093322986959,0,0
"17","Russian",-0.14617366016095,2.7085141425422e-302,8.1255424276266e-301
"18","Czech",-0.21105657954137,6.16544447571088e-302,1.78797889795615e-300
"19","Portuguese",-0.212098532468038,2.34018746305788e-252,6.55252489656208e-251
"20","Romansh",-0.258192761147121,1.88909138277369e-248,5.10054673348895e-247
"21","Welsh",-0.19666999039064,6.285479908609e-195,1.63422477623834e-193
"22","Yakut",-0.253230527909927,2.3659377457848e-190,5.91484436446201e-189
"23","Ukrainian",-0.174589705976371,2.51127764600783e-177,6.0270663504188e-176
"24","Kirghiz",-0.194973726104954,3.47330966595355e-165,7.98861223169317e-164
"25","Swedish",-0.2916890177479,1.33380417681149e-160,2.93436918898528e-159
"26","Turkish",-0.205920976145928,9.34021715271857e-159,1.9614456020709e-157
"27","Latvian",-0.228601899676201,3.81615618413927e-151,7.63231236827855e-150
"28","Slovenian",-0.249909359972743,1.61469321043815e-147,3.06791709983249e-146
"29","Maltese",-0.209535203038875,1.80754079131975e-139,3.25357342437555e-138
"30","Chuvash",-0.248219747156909,6.9911502661842e-133,1.18849554525131e-131
"31","Romanian",-0.228600908080573,1.18548862581409e-128,1.89678180130254e-127
"32","Interlingua",-0.232109559526444,1.91242023603654e-115,2.86863035405481e-114
"33","Breton",-0.24616460283879,2.50133477668883e-108,3.50186868736436e-107
"34","Modern Greek",-0.21418751589741,4.819435265229e-107,6.2652658447977e-106
"35","Indonesian",-0.217731875888107,1.87264718902149e-78,2.24717662682579e-77
"36","Hakha Chin",-0.252894472917804,4.20343641251175e-65,4.62378005376292e-64
"37","Tamil",-0.303688061824052,4.21289722362459e-58,4.21289722362459e-57
"38","Georgian",-0.140769883810254,1.5466277449025e-57,1.39196497041225e-56
"39","Irish",-0.233622862683601,5.65784498328211e-56,4.52627598662569e-55
"40","Arabic",-0.114320066912746,2.66615210145878e-42,1.86630647102114e-41
"41","Oriya",-0.32172231584939,1.55431061553193e-36,9.32586369319159e-36
"42","Assamese",-0.207725510339417,5.01603474011073e-19,2.50801737005537e-18
"43","Abkhazian",-0.217785025156081,0.000456454357139591,0.00182581742855837
"44","Dhivehi",-0.165333219650451,0.00320470036194971,0.00961410108584913
"45","Panjabi",-0.202851284979547,0.00771945649495154,0.0154389129899031
"46","Vietnamese",-0.0609186488852665,0.0278257485791687,0.0278257485791687
