"","language","tau","tau_min","tau_pval","r","r_min","r_pval","Lmin","L","Lrand","eta","psi","omega","length_def"
"1","Arabic",-0.128040760290389,-0.72480451589106,3.78841242918034e-35,-0.122963457654646,-0.189949399028922,1.11565378538063e-22,3.39233556604809,4.1554298890963,5.55621212121212,0.816362122953744,0.64734849535335,0.176655577446256,"characters"
"2","Chinese",-0.260576678288133,-0.547470040800333,1.7283980186091e-100,-0.0851761031870409,-0.112439735529135,2.10079708031797e-09,1.52893154614154,1.72943902035413,2.35585758039816,0.884062131215514,0.75752671229799,0.475965183240352,"characters"
"3","Chinese-pinyin",0.521660168239441,-0.751343377506545,1,0.496540853780198,-0.735303073758953,1,5.72373446006338,7.00528154708702,6.48870597243492,0.817059874266361,-0.675287335930509,-0.694303275781381,"characters"
"4","Chinese-strokes",0.549680121700555,-0.701147328529023,1,0.729881817301247,-0.784937267210024,1,19.1010966731177,23.9030504101005,21.5893360160966,0.799107074009531,-0.929860063716347,-0.78397235407537,"characters"
"5","Czech",-0.220497450249806,-0.660227662237293,6.09286838720891e-114,-0.14768097410329,-0.209108225684203,4.40698722086721e-36,4.72832960715426,5.4706483551581,7.25530179445351,0.864308816832666,0.70624182104782,0.333971844655241,"characters"
"6","English",-0.193521410511808,-0.757063483881182,8.35760158715645e-65,-0.118597193341449,-0.179597925350973,1.10254923443003e-16,3.78546999117387,4.87428287731686,6.99114521841795,0.776620907413904,0.660348348176543,0.255621113198719,"characters"
"7","Finnish",-0.227859929504751,-0.591262397286553,1.27260760347086e-118,-0.119928927014622,-0.185077866136961,4.52766315008148e-23,6.55002725219964,7.50891536245426,9.27407721680102,0.872300050810374,0.647991731900948,0.385378692354622,"characters"
"8","French",-0.159257615859671,-0.747220045671414,2.23884817324035e-48,-0.117001091313268,-0.168197233638844,1.01691161376818e-17,3.74308165357021,4.87817853482356,7.47227191413238,0.767311328777676,0.695618404548166,0.213133489635667,"characters"
"9","German",-0.224836015071526,-0.678902675034169,9.36113089487173e-105,-0.118381918655687,-0.171670829373066,6.11157762458064e-20,4.56987526217022,5.80676675129705,8.55453520219107,0.786991359890502,0.689586688012237,0.331175621100934,"characters"
"10","Hindi",-0.178522695409981,-0.771885753811836,5.66662511961647e-54,-0.127718852873534,-0.201065186556219,1.56199579289489e-18,3.12023225075529,4.10942220543807,5.83191056910569,0.759287338893101,0.63521117236187,0.231281241464005,"characters"
"11","Icelandic",-0.256420009019585,-0.657448575145378,5.47000937280333e-133,-0.109452887794261,-0.147618335859325,3.52146845690514e-17,4.43612281023012,5.32613074528475,7.87854251012146,0.832897843177703,0.741458621363711,0.390022913903014,"characters"
"12","Indonesian",-0.0807993091936509,-0.792747384989052,6.45063506884774e-11,-0.111782839289608,-0.277918062853194,6.29510492182057e-13,4.02241169305725,5.89604141291108,7.15669911914696,0.682222428806049,0.402215092254208,0.101923148185177,"characters"
"13","Italian",-0.148925826037054,-0.742982005576046,2.03515178828602e-44,-0.121643838380259,-0.168052528474877,6.16842786934997e-20,3.86574887717243,4.90123999218903,7.61541084214115,0.788728746874907,0.723844142567866,0.200443382099934,"characters"
"14","Japanese",-0.217921634208725,-0.602034616803121,5.06628126118147e-72,-0.0787829368855707,-0.100901222420943,6.27810971828659e-08,1.46375356440018,1.74810233342705,2.76092184368737,0.837338602214768,0.7807926900717,0.361975255452777,"characters"
"15","Japanese-romaji",0.467618987357995,-0.858132906750007,1,0.665820383441181,-0.842959968018553,1,5.13512727272727,6.72370909090909,6.02267255216693,0.763734302495376,-0.789860027405864,-0.544926064109347,"characters"
"16","Japanese-strokes",-0.0573440433206501,-0.818776160830624,3.95077531234242e-07,-0.0396220156562906,-0.807679725363783,0.0115498120733725,11.310171810856,13.7794587197811,13.9068425391591,0.820799426222725,0.0490565931173329,0.0700362883825004,"characters"
"17","Korean",-0.243813436006336,-0.637149966425433,9.26114345543881e-135,-0.161803496673837,-0.270491596856469,3.67142838438832e-47,2.42189982728843,2.75205526770294,3.24355621964886,0.880033135857014,0.598183080562367,0.382662558038242,"characters"
"18","Polish",-0.18252984089801,-0.644567808615505,1.30397536485711e-78,-0.125274568775702,-0.185047229040822,7.96888125288848e-26,5.15002934080981,6.05894242681098,7.96388850748318,0.849988162624023,0.67698700177816,0.283181751335167,"characters"
"19","Portuguese",-0.173474858204494,-0.736967958230001,2.82452418847682e-57,-0.107352326289927,-0.145474608503746,2.54224167425921e-15,3.67991169977925,4.68084375766495,7.49946789641717,0.786164181137928,0.737945455870829,0.23538995999383,"characters"
