"","language","family","script","A","n","T"
"1","Arabic","Afro-Asiatic","Arabic",47,6600,18214
"2","Indonesian","Austronesian","Latin",39,4596,16819
"3","Russian","Indo-European","Cyrillic",61,7358,15870
"4","Hindi","Indo-European","Devanagari",84,4920,21184
"5","Czech","Indo-European","Latin",49,7360,15700
"6","English","Indo-European","Latin",39,5082,18135
"7","French","Indo-European","Latin",48,5593,21084
"8","German","Indo-European","Latin",39,6215,18446
"9","Icelandic","Indo-European","Latin",43,6175,16385
"10","Italian","Indo-European","Latin",42,5944,21815
"11","Polish","Indo-European","Latin",47,7329,15386
"12","Portuguese","Indo-European","Latin",47,5678,21873
"13","Spanish","Indo-European","Latin",39,5765,21083
"14","Swedish","Indo-European","Latin",39,5842,16653
"15","Japanese","Japonic","Japanese",1549,4990,24899
"16","Japanese-strokes","Japonic","Japanese",1549,4852,24737
"17","Japanese-romaji","Japonic","Latin",23,4984,24892
"18","Korean","Koreanic","Hangul",1002,8031,14475
"19","Thai","Kra-Dai","Thai",89,3818,21642
"20","Chinese","Sino-Tibetan","Han (Traditional variant)",2038,5224,18129
"21","Chinese-strokes","Sino-Tibetan","Han (Traditional variant)",2038,4970,17845
"22","Chinese-pinyin","Sino-Tibetan","Latin",49,5224,18129
"23","Turkish","Turkic","Latin",42,6793,14092
"24","Finnish","Uralic","Latin",39,7076,12853
