"","language","corr","pvalue","hb_pvalue"
"14","Korean",-0.274635664315405,3.05048789639897e-139,7.32117095135753e-138
"9","Icelandic",-0.309446785578241,1.94117590958839e-137,4.4647045920533e-136
"21","Turkish",-0.280190393531806,4.6773491626325e-123,1.02901681577915e-121
"5","Finnish",-0.273630568180367,4.91130544882866e-122,1.03137414425402e-120
"25","Czech",-0.26251864861154,1.43721257640496e-116,2.87442515280992e-115
"3","German",-0.275992775961703,2.35125696100498e-109,4.46738822590947e-108
"19","Swedish",-0.272972740927803,1.20353510260613e-100,2.16636318469103e-99
"22","Chinese",-0.266906428619645,3.9693628291186e-82,6.74791680950162e-81
"15","Polish",-0.220362976018205,1.33255801338288e-81,2.13209282141261e-80
"17","Russian",-0.219771858053454,1.77115484093064e-81,2.65673226139596e-80
"20","Thai",-0.283604109757992,7.49373586413711e-72,1.0491230209792e-70
"11","Japanese",-0.246557710006273,2.05827387894374e-68,2.67575604262686e-67
"4","English",-0.237558383782781,1.96058463530503e-66,2.35270156236604e-65
"24","Chinese-strokes",-0.237032151180985,9.91746166106917e-65,1.09092078271761e-63
"16","Portuguese",-0.221542752112155,2.22853287221468e-64,2.22853287221468e-63
"7","Hindi",-0.219944901424674,2.8682391323107e-55,2.58141521907963e-54
"10","Italian",-0.198226585397914,4.91673022628418e-54,3.93338418102735e-53
"18","Spanish",-0.197080981903716,7.05773638806015e-52,4.9404154716421e-51
"23","Chinese-pinyin",-0.208324822152132,3.69209739483444e-50,2.21525843690066e-49
"6","French",-0.196406513911755,4.69301633003179e-50,2.3465081650159e-49
"12","Japanese-romaji",-0.19173185897278,1.12853578451269e-41,4.51414313805077e-41
"2","Arabic",-0.152702672300042,5.0144689300656e-36,1.50434067901968e-35
"8","Indonesian",-0.129650172649544,5.50465574184404e-19,1.10093114836881e-18
"13","Japanese-strokes",-0.116852952693526,1.60141758153916e-16,1.60141758153916e-16
