repetitions,orthographic_form,length
6429,zvýšit,6
2619,zájem,5
3079,mladých,7
32,farmářů,7
483714,o,1
9632,zemědělství,11
86115,podle,5
19672,zprávy,6
23498,kterou,6
3121,přijal,6
16855,ep,2
679211,na,2
239,dnešním,7
2677,plenárním,9
38317,zasedání,8
629,poměrem,7
14676,hlasů,5
278524,je,2
27776,třeba,5
9719,přijmout,8
75295,opatření,8
64002,která,5
1563,zvýší,5
6662,lidí,4
661,zakládání,9
4085,zemědělských,12
11976,podniků,7
1660050,a,1
491,přispějí,8
38083,tak,3
344045,k,1
13,omlazení,8
492,venkovské,9
2406,populace,8
21916,poslanci,8
485855,se,2
9646,kromě,5
21610,toho,4
1318,domnívají,9
380358,že,2
2903,revize,6
2185,szp,3
836,vhodnou,7
3463,příležitostí,12
428224,pro,3
13444,zlepšení,8
11346,politik,7
2606,zaměřených,10
22177,podporu,7
5126,zahájení,8
27499,činnosti,8
1365,zemědělců,9
11,zvedení,7
679,zabrání,7
69040,jejich,6
276,nadměrnému,10
486,zadlužení,9
7407,umožní,6
3345,účinně,6
3964,řešit,5
7225,problémy,8
86261,při,3
1181,převodu,7
7812,hospodářství,12
764,mladí,5
1008,zemědělci,9
5947,vlastní,7
1255,obvykle,7
6,rentabilnější,13
10,usedlosti,9
100904,jsou,4
777,schopni,7
550,hledat,6
1039,inovativní,10
16643,řešení,6
9583,jim,3
116,napomohou,9
5113,lépe,4
1662,přizpůsobit,11
10360,svou,4
1826,produkci,8
2596,novým,5
1948,potřebám,8
28685,trhu,4
15352,její,4
1132,přidanou,8
2576,hodnotu,7
29751,či,2
4473,zavést,6
22634,nové,4
3726,metody,6
317,šetrné,6
1275,životnímu,9
34010,prostředí,9
850754,v,1
3439,posledních,10
6721,letech,6
22194,však,4
701,čím,3
21550,dále,4
22498,více,4
57,opouští,7
25514,toto,4
20484,odvětví,7
63346,zejména,7
189,jižních,7
13900,zemích,6
3065,dochází,7
22856,tím,3
398,výraznému,9
1058,stárnutí,8
1935,venkovských,11
7650,oblastí,7
30250,než,3
795,polovinu,8
21627,evropských,10
8259,současné,8
10375,době,4
13037,osoby,5
1386,starší,6
14112,let,3
347,mladší,6
4516,představují,11
25633,pouze,5
153778,z,1
2237,celkového,9
