repetitions,orthographic_form,length
20529,-//ep//text,11
56762,ta,2
8404,p,1
5266,ta--,4
24924,doc,3
30857,xml,3
20529,v//sl,5
15462,p_ta,4
2267,imenovanje,10
8,júliusa,7
8,molnárja,8
876263,za,2
2564,člana,5
99542,evropskega,10
6835,računskega,10
14689,sodišča,7
36022,a-/,3
13848,sklep,5
101142,parlamenta,10
447823,o,1
1167,imenovanju,10
31866,c-/,3
3,/icns,5
76770,evropski,8
62510,parlament,9
129777,ob,2
103818,upoštevanju,11
71980,člena,5
43555,pogodbe,7
51186,es,2
1387534,in,2
44651,b,1
239,esae,4
951198,v,1
94269,skladu,6
288454,s,1
415,katerima,8
359779,se,2
535568,je,2
42061,svet,4
1860,posvetoval,10
14370,parlamentom,11
95335,ker,3
492622,na,2
2641,seji,4
75916,dne,3
9664,aprila,6
89907,odbor,5
11152,proračunski,11
18814,nadzor,6
69,poslušal,8
4092,predstavitev,12
877,kandidata,9
101101,sveta,5
3193,mandat,6
14601,maja,4
1491,obravnaval,10
1556,strokovno,9
471,usposobljenost,14
849,luči,4
4276,meril,5
6065,določenih,9
2881,členih,6
493,espj,4
15330,svojega,7
32257,poslovnika,10
27021,poročila,8
45363,odbora,6
2577,daje,4
1482,negativno,9
21682,mnenje,6
760,naroča,6
10896,svojemu,7
13141,predsedniku,11
126749,naj,3
13949,posreduje,9
36117,svetu,5
877,vednost,7
1400,računskemu,10
3484,sodišču,7
13642,drugim,6
1445,institucijam,12
24520,evropskih,9
65791,skupnosti,9
552,uradom,6
65010,držav,5
38827,članic,6
3746,revizijo,8
1146,mediji,6
39943,razvoj,6
13079,resolucija,10
833,medijih,7
18573,razvoju,7
15212,/ini,4
3811,razvojnih,9
13996,ciljev,6
3468,tisočletja,10
4123,sprejetih,9
10197,septembra,9
2125,vrhu,4
6717,zn,2
4438,new,3
304,yorku,5
8350,konvencije,10
3308,odpravi,7
32278,vseh,4
2416,oblik,5
3982,diskriminacije,14
14925,žensk,5
83,cedaw,5
468173,ki,2
29678,jo,2
5007,sprejela,8
556,generalna,9
1262,skupščina,9
17842,decembra,8
2,johanesburške,13
2224,deklaracije,11
