repetitions,orthographic_form,length
367153,eiropas,7
48928,parlaments,10
3871,lūgumrakstu,11
74603,komiteja,8
37,peti_oj,7
68028,darba,5
6613,kārtības,8
12070,projekts,8
4247,sanāksme,8
1594,pirmdien,8
214036,gada,4
4853,maijā,5
17636,plkst,5
2480,otrdien,7
5920,jūnijā,6
4594,briselē,7
1795,telpa,5
346,phs,3
8977,pa,2
10628,projekta,8
6642,pieņemšana,10
6760,pe,2
2520,fdr,3
9579,protokola,9
5248,apstiprināšana,14
1570,sanāksmei,9
280601,kas,3
4984,notika,6
1464999,un,2
4178,aprīlī,6
1829,pv,2
9455,+,1
248,pielikumi,9
567,priekšsēdētājas,15
4324,paziņojumi,10
6234,citi,4
7960,jautājumi,9
100731,saskaņā,7
442751,ar,2
51563,komitejas,9
6800,septembra,9
32228,lēmumu,6
15873,pamatojoties,12
267915,uz,2
8995,dokumentu,9
43903,b,1
10900,daļas,5
690,punktus,7
40455,šīs,3
7321,sanāksmes,9
31145,laikā,5
31,neapspriedīs,12
1197,ikviens,7
6201,deputāts,8
20467,pirms,5
5824,beigām,6
22881,tomēr,5
87358,var,3
1395,lūgt,4
235948,lai,3
4584,kādu,4
173137,no,2
888,punktiem,8
153,pārceļ,6
91450,a,1
11806,daļu,4
11532,tad,3
182411,to,2
1306,automātiski,11
289,iekļaus,7
6052,daļā,4
753,apspriedīs,10
2399,nākamajā,8
6186,sanāksmē,8
793,klātesot,8
114146,komisijas,9
3859,pārstāvjiem,11
8089,komitejā,8
27,apspriežamie,12
911,lūgumraksti,11
464,rakstisko,9
2034,atbildi,7
26590,veselības,9
6453,aizsardzība,11
2006,lūgumraksts,11
132943,nr,2
95605,ko,2
7394,iesniedza,9
1128,grieķijas,9
2287,valstspiederīgais,17
289,theodoros,9
5,dalmaris,8
507555,par,3
535,grieķijā,8
65,izdarītiem,10
146274,es,2
13682,noteikumu,9
5581,pārkāpumiem,11
91668,attiecībā,9
1274,īpašiem,7
6972,nosacījumiem,12
6396,atļauju,7
37,izsniegšanā,11
10284,uzņēmumiem,10
1371,iesaistīti,10
7707,dzīvnieku,9
8226,izcelsmes,9
12784,produktu,8
61,vairumtirdzniecībā,18
199,izplatīšanā,11
2730,cm,2
756,/rev,4
20049,ii,2
2863,vācijas,7
1490,klaus,5
4,landahl,7
24966,pārtikas,8
846,izcelsmi,8
696,valstspiederīgā,15
354,birgit,6
1260,meyer,5
611,saules,6
3,aizsargkrēma,12
150,izņemšanu,9
31584,tirgus,6
15082,iespējams,9
44441,regulas,7
5066,piemērošanas,12
16065,dēļ,3
511,sylvia,6
2,rögele,6
1841,viņas,5
3,iecienītā,9
5,waltraud,8
5,kurz,4
404,ražotājam,9
1,peti_reply,10
1,wala-_en,8
1992,vide,4
398,dzīvnieki,9
1440,nīderlandes,11
5587,j,1
5,koster,6
12,kosmētiku,9
7430,netiek,6
142,pārbaudīta,10
1637,dzīvniekiem,11
6,dorothea,8
2,erndt,5
6915,stāvokli,8
1,covance,7
26,laboratorijā,12
15578,veic,4
236,izmēģinājumus,13
507,izmēģinājumu,12
2323,aizliegumu,10
220,lielajiem,9
1,cilvēkveidīgajiem,17
4,pērtiķiem,9
725,lielbritānijas,14
3,emily,5
2,mcivor,6
9164,kam,3
992,pievienoti,10
631,parakstu,8
3179,apvienotās,10
3595,karalistes,10
590,ec,2
3,chadwick,8
53,eksperimentiem,14
2,bettee,6
3,hemingway,9
635,pieci,5
1236,paraksti,8
153,eksperimentu,12
3,petisir,7
54,-_en,4
11,suzanne,7
2,thorpe,6
20704,izmantot,8
2,bīglu,5
148,šķirnes,7
12,suņus,5
268,suņu,4
1,kucēnus,7
2863,veiktu,6
1421,andreas,7
40,otto,4
258,izmēģinājumiem,14
1151,diskriminācija,14
898,vienlīdzības,12
69160,tiesību,7
3606,apvienības,10
36870,vārdā,5
1631,īrijas,6
9,rachel,6
2,mullen,6
6626,valdības,8
765,īstenoto,8
7857,darbinieku,10
3565,skaita,6
2303,samazināšanu,12
6205,ietekmē,7
36846,iestādes,8
25964,darbību,7
1027,lūgumraksta,11
1823,iesniedzējam,12
3000,bulgārijas,10
926,putnu,5
30774,aizsardzības,12
22968,sabiedrības,11
401,ivailo,6
18,ivanov,6
855,natura,6
4727,tīkla,5
194,neatbilstošu,12
555,transponēšanu,13
441,bulgārijā,9
716,savvaļas,8
38178,direktīvas,10
362,dzīvotņu,8
998,pārkāpuma,9
3809,asociācijas,11
25,irina,5
6,mateeva,7
303504,ka,2
6246,varas,5
111,neīsteno,8
101182,padomes,7
9575,//eek,5
17195,aizsardzību,11
23265,noteikumus,10
17797,nosaka,6
72589,īpaši,5
108,aizsargājamās,13
2362,teritorijas,11
994,white,5
7,horse,5
868,patrick,7
4,kinnersly,9
5653,īstenojot,9
121,iecerēto,8
2,vestberijas,11
2,westbury,8
18,apvedceļa,9
4968,citus,5
15,automaģistrāļu,14
4268,projektus,9
532,nepilda,7
51714,ek,2
6,kampania,8
8,przeciw,7
5,homofobii,9
275,kampaņa,7
44708,pret,4
228,homofobiju,10
2415,polijas,7
2806,robert,6
3,biedron,7
30913,iestāžu,7
160,nevēlēšanos,11
679,izsniegt,8
759,apliecību,9
33,civilstāvokli,13
16379,tiem,4
6032,pilsoņiem,9
28803,kuri,4
6653,vēlas,5
486,reģistrēt,9
120,viendzimuma,11
979,partnerattiecības,17
7336,kādā,4
3895,citā,4
8827,dalībvalstī,11
2,cm_old,6
1898,aiz,3
1181,slēgtām,7
1249,durvīm,6
1601,koordinatoru,12
2664,lēmumiem,8
15536,balsošanas,10
6892,laiks,5
298,ikgadējais,10
32661,ziņojums,8
33548,gadā,4
15047,/ini,4
21188,referents,9
1574,carlos,6
4630,josé,4
869,iturgaiz,8
863,angulo,6
14851,ppe,3
23892,grozījumu,9
9003,izskatīšana,11
7356,ziņojuma,8
5313,pr,2
6852,am,2
10267,atzinums,8
2123,bioloģisko,10
2223,daudzveidību,12
578,victor,6
753,boştinaru,9
6357,s&d,3
7531,atzinuma,8
1417,beigas,6
6390,izmeklēšanas,12
1290,misiju,6
13,velvā,5
40057,saistībā,8
393,lūgumrakstiem,13
4122,februārī,8
2139,spānijas,8
23572,iestādēm,8
773,iesniedzējiem,13
2039,dt,2
148,st,2
3,margarets,9
394,concerned,9
44,residents,9
420,group,5
4,sheelagh,8
110,morris,6
20,nekārtībām,10
9002,pieeju,6
5141,informācijai,12
5051,apspriešanās,12
6651,procesu,7
660,būvniecības,11
11341,darbu,5
5833,apstiprināšanu,14
419,dublinas,8
244,lidostā,7
51,associazione,12
2,assobalneari,12
5,campania,8
2260,itālijas,8
1142,luigi,5
596,di,2
18,marino,6
2647,pārbaudi,8
26125,attiecas,8
11295,piekļuvi,8
6591,dokumentiem,11
28,porto,5
2,turistico,9
2,pinetamare,10
18770,projektu,8
2,kastelvolturno,14
1153,itālija,7
514,norbert,7
13,kaiser,6
2040,vienlīdzīgu,11
2311,attieksmi,9
60777,valsts,6
997,ierēdņiem,9
734,vācijā,6
631,doris,5
7,mueller,7
1308,iespējamiem,11
60355,savienības,10
6500,pamattiesību,12
2108,hartas,6
2788,pārvietošanās,13
2218,brīvība,7
864,dānijas,7
149,lars,4
3,evan,4
19,jorgensen,9
3626,problēmām,9
83,ārvalstnieku,12
7727,aģentūru,8
229,dānijā,6
3984,k,1
3070,francijas,9
12523,pilsoņu,7
1430,brīvas,6
853,kustības,8
10570,principu,8
2499,pamattiesības,13
2,construiamo,11
1332,il,2
3,domani,6
2,celsim,6
8,rītdienai,9
1188,giuseppe,8
3,lipari,6
902,pamattiesībām,13
2714,izglītību,9
367,uzņemšanu,9
1760,medicīnas,9
2,odontoloģijas,13
25,fakultātē,9
861,itālijā,7
12592,kurus,5
1348,ierosināts,10
1328,slēgt,5
118377,ņemot,5
141164,vērā,4
438,horst,5
2,hinspeter,9
725,vieglo,6
169,lidaparātu,10
112,lidlauka,8
1643,radīto,6
435,trokšņa,7
1510,piesārņojumu,12
1007,nelaimes,8
3034,gadījumu,8
6817,risku,5
1,dzīvojamajā,11
155,rajonā,6
180,asociación,10
202,para,4
11017,la,2
45,defensa,7
46705,de,2
2,naturaleza,10
2067,y,1
269,los,3
9,recursos,8
2,extremadura,11
1,adeneksa,8
2,jésus,5
3,valiente,8
15,aizsargājamā,12
6944,teritorijā,10
82,īstenojamo,10
5580,tūrisma,7
206,kompleksu,9
363,marina,6
3,isla,4
1,valdecanes,10
724,maltas,6
2,lucienne,8
51,pace,4
1661,trūkst,6
6712,ietekmes,8
7377,vidi,4
3457,novērtējuma,11
38,apbūves,7
310,paplašināšanai,14
7027,ierosina,8
26305,vides,5
2720,plānošanas,10
15286,iestāde,7
5,eileen,6
2,shanahan,8
40,automaģistrāles,15
946,negatīvo,8
13580,ietekmi,7
1,carrigaphooca,13
19,pils,4
2042,ēku,3
1180,slovākijas,10
597,romana,6
2,sodotovicova,12
478,aizturēšanu,11
89,policijā,8
292,izraidīšanas,12
27,società,7
66,centro,6
4,residenziale,12
4,ingefin,7
53,srl,3
1470,giovanni,8
5795,maria,5
4,turra,5
584,atklātā,7
168,konkursā,8
4,golfo,5
1,aranči,6
2,komūnā,6
3,pastificio,10
5,attilio,7
6,mastromauro,11
6,makaronu,8
1628,izstrādājumu,12
9109,ražošanas,9
129,priekšnosacījumiem,18
19137,noteikumiem,11
18851,d,1
19527,aktu,4
1142,radušies,8
1,grampian,8
572,country,7
1,pork,4
1438,hall,4
2033,'s,2
268,limited,7
2,gcp,3
40009,darbības,8
7718,rezultātā,9
38,west,4
2,lothian,7
7,skotija,7
2822,apvienotā,9
1198,karaliste,9
6,hazelhurst,10
11569,iedzīvotāju,11
7688,h,1
188,iebildumiem,11
164,māju,4
504,celtniecības,12
572,ashton,6
1392,under,5
1,lyne,4
2,lankašīra,9
3,radstock,8
825,action,6
4,deborah,7
19,porter,6
333,plānotās,8
597,kaitīgo,7
2,sikspārņu,9
119,populāciju,10
1,radstokā,8
2,bātā,4
219,ziemeļaustrumu,14
2,somersetā,9
33,anglijā,7
75835,the,3
217,initiative,10
1372,committee,9
41351,of,2
1,residental,10
12,quarters,8
1,chehlevtsi,10
1,velchevtsi,10
1,diado,5
1,dianko,6
25850,and,3
5,hristo,6
1,smirnenski,10
3,gabrovo,7
6,nikolay,7
5,nikolov,7
3215,aptuveni,8
346,plānotā,7
3247,izstrādi,8
13662,īstenošanu,10
108,rietumiem,9
1482,pilsētas,8
1695,ungārijas,9
37,pal,3
2,nemeth,6
52,iebilstot,9
335,baseina,7
1,makó,4
43,pašvaldībā,10
379,ungārijā,8
3,autoskolas,10
369,auto,4
13,escuela,7
411,sousa,5
2,maximino,8
1520,pérez,5
565,negodīgu,8
3093,konkurenci,10
7,autoskolu,9
6340,starpā,6
37242,kuras,5
18,subsidē,7
16,galisijas,9
2519,valdība,7
335,tamás,5
1,benocz,6
23,kvadriciklu,11
907,laišanu,7
15350,tirgū,5
16313,izmantošanu,11
4,gewerkschaft,12
3,nahrung,7
3,genuss,6
2,gaststätten,11
878,markus,6
2,sonnenschein,12
591,neatbilstību,12
39045,starp,5
1188,šveices,7
5312,sociālā,7
1509,nodrošinājuma,13
11697,aktiem,6
9840,rada,4
2201,kaitējumu,9
65,migrējošiem,11
2781,ņēmējiem,8
2618,dzīvo,5
2328,strādā,6
197,šveicē,6
5700,t,1
6549,s,1
365,nepieņemamu,11
602,izturēšanos,11
424,poļu,4
149,strādniekiem,12
844,apvienotajā,11
493,karalistē,9
5341,m,1
8956,krievijas,9
365,pilsoņa,7
4941,pieteikumu,10
1019,vīzas,5
1047,saņemšanai,10
51,braucienam,10
252,vāciju,6
8,dimitri,7
1,tchernitchenko,14
539,atteikumu,9
6074,ilgtermiņa,10
3892,vīzu,4
8209,viņa,4
49,mātei,5
17512,kura,4
482841,ir,2
2439,ukrainas,8
28,pilsone,7
3062,r,1
15199,līmeņa,6
222786,vai,3
927,līdzvērtīgu,11
2766,profesionālo,12
1995,kvalifikāciju,13
1311,national,8
65,vocational,10
70,qualifications,14
3,nvq,3
2604,atzīšanu,8
978,apstiprinājusi,14
8152,sistēma,7
894,framework,9
1367,brian,5
3,cave,4
159,diskriminējošu,14
3323,dažu,4
1596,kategoriju,10
87,pensionāriem,12
675,francijā,8
2,ekaterina,9
2,gedeonova,9
1286,iespējamu,9
3061,sniedzot,8
1674,finansiālu,10
16585,atbalstu,8
670,studentiem,10
6567,trešām,6
24858,valstīm,7
2,eglantina,9
2,kazanxhi,8
35528,//ek,4
30,sia,3
6,funke,5
750,identitātes,11
2017,dokumenta,9
3791,ieviešanu,9
16391,rīcības,7
42518,grupas,6
2,sophienhütte,12
3,harz,4
7,jochen,6
3,bremer,6
3207,iekārtu,7
211,cieto,5
20,nebīstamo,9
6809,atkritumu,9
46,pārstrādāšanai,14
308,kapacitāti,10
8550,trīs,4
458,tonnas,6
94,stundā,6
9005,p,1
17385,pasākumiem,10
405,aizliegtu,9
22,ekstrēmi,8
16,labējā,6
27,spārna,6
853,simbolu,7
1667,izplatīšanu,11
73,holokausta,10
24,noliegšanu,10
1090,tiešsaistē,10
714,ernst,5
2,johannsson,10
1498,zviedrijas,10
2741,veikto,6
1960,kompensāciju,12
304,noziegumos,10
784,cietušajiem,11
5618,martin,6
4,formosa,7
672,pārmērīgu,9
4041,administratīvo,14
2080,slogu,5
1917,saskaras,8
46458,dalībvalstu,11
1879,pilsoņi,7
2794,iegūt,5
2323,uzturēšanās,11
2,sondrio,7
191,mēra,4
179,veronica,8
6,dini,4
1910,integrētu,9
6264,ūdens,5
963,apsaimniekošanu,15
1526,ioannis,7
2,karadimitropoulos,17
14234,palīdzību,9
895,ierēdņu,7
578,ģimeņu,6
3324,locekļiem,9
1219,īpašām,6
7541,vajadzībām,10
755,karjeras,8
969,grūtībām,8
335,kļūdām,6
79,nolaidību,9
2756,lietas,6
2051,izskatīšanu,11
2999,padomē,6
31,steffen,7
5,beier,5
2937,elektroenerģijas,16
1543,cenām,5
3365,hans,4
2,molter,6
2741,kopēju,6
22072,sistēmu,7
211,vienlīdzīgai,12
301,attieksmei,10
3418,nodarbinātību,13
832,profesiju,9
561,ekt,3
903,sprieduma,9
27955,regulu,6
19746,direktīvu,9
57,vertikālā,9
1627,tiešā,5
541,iedarbība,9
11,rapšu,5
100,audzētāju,9
2,krajowe,7
5,zrzeszenie,10
5,producentów,11
2,rzepaku,7
251,mariusz,7
2,olejnik,7
875,neievēro,8
19655,kuriem,6
1635,balstās,7
3238,nozaru,6
6080,programma,9
9350,nozares,7
37,restrukturizācija,17
330,modernizācija,13
9932,lauku,5
4542,attīstība,9
18863,gadam,5
365,raffaele,8
11,mancuso,7
452,nediskriminācijas,17
2955,principa,8
400,pārkāpšanu,10
83,plaušu,6
10301,fonda,5
3892,david,5
2,buckle,6
957,šķēršļiem,9
14308,cilvēku,7
1352,slimībām,8
8939,gaisa,5
595,transportam,11
3,gerriet,7
2,biehle,6
292,sīku,4
3,iespiedumu,10
250,aizliegšanu,11
1063,reklāmas,8
231,paziņojumos,11
422,brigitte,8
5,maille,6
4,calgaro,7
480,iegūtās,7
3769,juridiskās,10
1515,kvalifikācijas,14
2715,iestādēs,8
2,andon,5
2,iliev,5
6413,jaunas,6
50,metro,5
225,stacijas,8
311,būvniecību,10
19,sofijā,6
24039,e,1
911,nepilngadīgo,12
37,dēlu,4
498,stokholmas,10
6220,v,1
1683,skolu,5
21,minhenē,7
1186,austrijas,9
3,drago,5
2,jurcic,6
1953,pasta,5
424,sūtījumu,8
537,tarifiem,8
9694,eiropā,6
3,hansjoerg,9
2,zingler,7
8518,nodokļu,7
1783,nepiemēro,9
4248,principus,9
10758,brīvību,7
4751,kopienā,7
3,cheryl,6
5,collier,7
3616,diskrimināciju,14
2316,ārvalstu,8
3,namīpašniekiem,14
699,pašvaldības,11
110,maksāšanu,9
4,gunther,7
4,ettrich,7
5418,atļaujas,8
168,anulēšanu,9
2382,vecuma,6
5562,iv,2
1043,portugāles,10
1484,marco,5
526,neves,5
1570,da,2
861,silva,5
42,neatbilstošiem,14
35816,drošības,8
5296,standartiem,11
306,valstspiederīgie,16
874,rosa,4
2,montilla,8
9,diaz,4
693,juan,4
2,gavira,6
1,menédez,7
31,civildienestā,13
2,guiseppe,8
2,sirianni,8
318,atklāto,7
478,konkursu,8
522,amatam,6
7,prefektūras,11
1339,ierobežojumu,12
14491,g,1
43768,c,1
2411,reģistrācijas,13
817,nodevu,6
10525,viņš,4
55,samaksājis,10
19619,savu,4
85,motociklu,9
296,maltā,5
4,stozher,7
24,ciemata,7
8308,iniciatīvas,11
643,dimitar,7
3,platikanov,10
92,izgāztuves,10
8296,izveidi,7
30,ciematā,7
39,ziemeļaustrumos,15
4,pam,3
2970,brīvu,5
1141,pārvietošanos,13
454,ján,3
