repetitions,orthographic_form,length
2987,odpowiedź,9
1483,udzielona,9
208194,przez,5
240,mariann,7
287,fischer,7
264,boel,4
1659570,w,1
38055,imieniu,7
191731,komisji,7
12018,września,8
192500,r,1
82364,jak,3
737,zauważył,8
317,szanowny,8
1476,pan,3
6109,poseł,5
68970,wniosek,7
256192,o,1
543,rejestrację,11
1316,nazwy,5
14,kiełbasa,8
12,lisiecka,8
11427,został,6
456,przekazany,10
86912,dnia,4
14281,marca,5
124198,komisja,7
971,zwróciła,8
299105,się,3
3583,przedstawienie,14
5413,dodatkowych,11
40116,informacji,10
1168525,i,1
555,otrzymała,9
8078,je,2
36955,przy,4
5413,czym,4
1779,ostatnie,8
4248,przekazanie,11
12234,władze,6
532,polskie,7
2128,miało,5
8388,miejsce,7
1872,grudniu,7
1048,udzielone,9
10635,odpowiedzi,10
83198,są,2
12231,obecnie,7
140,analizowane,11
86789,komisję,7
115244,celu,4
1080,stwierdzenia,12
31279,czy,3
164368,jest,4
1403,zgodny,6
689580,z,1
2151,wymogami,8
68935,rozporządzenia,14
83313,we,2
60351,nr,2
36125,dzu,3
26488,l,1
178296,sprawie,7
51796,ochrony,7
852,oznaczeń,8
1241,geograficznych,14
1521,nazw,4
8147,pochodzenia,11
21884,produktów,9
3811,rolnych,7
58374,środków,7
2922,spożywczych,11
1644,analiza,7
18314,ta,2
24683,powinna,7
623,zakończyć,9
1065,wrześniu,8
19466,jeśli,5
8157,wyniku,6
5680,analizy,7
3884,uzna,4
319590,że,2
1937,warunkami,9
704,wymienionego,12
242,opublikuje,10
490,streszczenie,12
658,specyfikacji,12
5259,produktu,8
6494,dzienniku,9
6806,urzędowym,9
747,wszczęcia,9
23391,procedury,9
1530,sprzeciwu,9
2000,przyznaje,9
174756,nie,3
1848,miała,5
19411,możliwości,10
253,potraktowania,13
486,omawianego,10
31739,wniosku,7
31844,sposób,6
18366,bardziej,8
357,priorytetowy,12
794,stało,5
19518,tak,3
47621,między,6
12806,innymi,6
12593,uwagi,5
673037,na,2
1348,dużą,4
3927,liczbę,6
6475,ponad,5
9529,wniosków,8
1681,oznaczenia,10
664,geograficznego,14
210,rozpatrywanych,14
77377,od,2
12378,stycznia,8
1699,pragnie,7
7698,jednocześnie,12
12606,zapewnić,8
262,szanownego,10
938,pana,4
5216,posła,5
333,czyni,5
927,wszystko,8
54514,co,2
39791,jej,3
17415,mocy,4
43410,by,2
1390,rozpatrywanie,13
