repetitions,orthographic_form,length
199558,návrh,5
25929,uznesenia,9
65867,ktorý,5
1023333,v,1
70175,súlade,6
388486,s,1
22046,článkom,7
32509,rokovacieho,11
36338,poriadku,8
3991,predkladá,9
1037,cristiana,9
1638,muscardini,10
492639,o,1
8272,európskom,9
178,stredisku,9
303727,pre,3
4789,monitorovanie,13
1768617,a,1
9834,boj,3
40543,proti,5
24,zmrzačovaniu,12
665,ženských,8
553,pohlavných,10
16586,orgánov,7
28614,uznesenie,9
101428,európskeho,10
117563,parlamentu,10
48406,európsky,8
55978,parlament,9
145320,so,2
95713,zreteľom,8
889128,na,2
142205,článok,6
89960,keďže,5
12,lombardia,9
231629,je,2
1227,región,6
12884,ktorom,6
25671,majú,4
3503,regionálne,10
24645,orgány,6
4677,úmysle,6
2263,navrhnúť,8
5999,vykonávať,9
522,pilotný,7
2635,projekt,7
62153,rámci,5
12940,ktorého,7
559,vypracujú,9
788,preventívne,11
48982,opatrenia,9
7438,zamerané,8
5238,regionálnej,11
30442,úrovni,6
343,zriadili,8
8747,príslušný,9
542,stály,5
87668,výbor,5
44476,b,1
3205,problém,7
65,zmrzačovania,12
626018,sa,2
9394,týka,4
3575,približne,9
8648,miliónov,8
17679,žien,4
2281,každoročne,10
102115,sú,2
2902,ním,3
914,ohrozené,8
4469,dva,3
248,miliónoch,9
4232,mladých,7
681,dievčat,7
43569,c,1
9764,dôsledku,8
967,prisťahovalectva,16
49,zmrzačovanie,12
120,rozšírilo,9
209320,z,1
786,afrických,9
24652,krajín,6
149357,do,2
4106,mnohých,7
22639,európskych,10
10469,navrhuje,8
259094,aby,3
12348,záujme,6
19939,ochrany,7
25945,ľudských,8
39633,práv,4
588,integrity,9
220,osobnosti,9
54,zriadilo,8
10553,európske,8
1166,stredisko,9
2265,úlohou,6
40860,bude,4
1321,nemu,4
161896,ako,3
103172,aj,2
5688,poskytovanie,12
747,poradenstva,11
6701,ženy,4
809,podvýbor,8
19012,bezpečnosť,10
732,obranu,6
12,sede_oj,7
24529,programu,8
9731,schôdze,7
4595,schôdza,7
3666,pondelok,8
11365,septembra,9
68078,od,2
29118,h,1
2531,brusel,6
1628,miestnosť,9
485,asp,3
440,g-,2
11940,prijatie,8
10541,oznámenia,9
438,predsedajúceho,14
193,civilno,7
204,vojenská,8
8477,spolupráca,10
26176,rozvoj,6
1278,vojenských,10
287,spôsobilostí,12
581,afet//,6
15139,/ini,4
26407,spravodajca,11
725,christian,9
832,ehler,5
14217,ppe,3
5223,pr,2
23247,pev-,4
21208,gestorský,9
3249,afet,4
8252,preskúmanie,11
46857,návrhu,6
25637,správy,6
5153,termín,6
5718,predkladanie,12
11472,pozmeňujúcich,13
11055,doplňujúcich,12
14451,návrhov,7
683,september,9
124,pozorovateľská,14
614,misia,5
165342,eú,2
3580,delegácie,9
428,podvýboru,9
264,sede,4
850,gruzínsku,9
9869,júla,4
5098,výmena,6
4859,názorov,7
5606,rôzne,5
15742,otázky,6
26897,dátum,5
6992,konania,7
2392,nasledujúcej,12
3928,bruseli,7
96,medziparlamentná,16
8188,výborov,7
140407,za,2
1248,zatvorenými,11
1231,dverami,7
204,rozšíreného,11
5331,predsedníctva,13
4124,pozri,5
563,samostatný,10
18398,program,7
22970,b-/,3
29977,predložený,10
41261,základe,7
7896,vyhlásenia,10
79533,komisie,7
71418,ods,3
225,zákone,6
713,médiách,7
469,maďarsku,8
234,lothar,6
484,bisky,5
603,rui,3
851,tavares,7
2508,eva,3
1072,britt,5
1989,svensson,8
855,patrick,7
7918,le,2
604,hyaric,6
728,willy,5
1244,meyer,5
6935,jean,4
543,luc,3
246,mélenchon,9
1023,jürgen,6
499,klute,5
1325,nikolaos,8
801,chountis,8
5215,marie,5
873,christine,9
780,vergiat,7
18461,mene,4
28167,skupiny,7
6280,gue,3
6295,ngl,3
4482,b‑/,3
3936,zmluvu,6
84130,európskej,9
13419,únii,4
59135,najmä,5
546,zeú,3
7147,články,6
24093,týkajúce,8
3636,dodržiavania,12
10775,podpory,7
12060,základných,10
23543,tiež,4
42579,zmluvy,6
63909,es,2
1050,chartu,6
58870,únie,4
4968,dohovor,7
8431,právach,7
83033,ich,3
1064,dodržiavaní,11
4985,podpore,7
7925,ochrane,7
12000,slobody,7
2476,prejavu,7
20835,informácií,10
12594,predovšetkým,12
39856,práva,5
189,pluralitu,9
3183,médií,5
4660,smernicu,8
102159,rady,4
595,//eú,4
13396,marca,5
1486,koordinácii,11
6256,určitých,8
8583,ustanovení,10
1564,upravených,10
976,zákonom,7
4843,iným,4
1948,právnym,7
813,predpisom,9
194942,alebo,5
726,správnym,8
489,opatrením,9
53897,členských,9
15797,štátoch,7
13086,týkajúcich,10
4210,poskytovania,12
1054,audiovizuálnych,15
923,mediálnych,10
24795,služieb,7
22024,smernica,8
3152,službách,8
3869,pracovný,8
5885,dokument,8
120,pluralite,9
2503,sek,3
29,trojstupňový,12
27796,prístup,7
153071,k,1
514,určila,6
68457,komisia,7
288,nezávislú,9
1592,štúdiu,6
194,vypracovanú,11
10,dokončenú,9
50989,roku,4
30784,svoje,5
178,koncentrácií,12
10480,apríla,6
560,rizikách,8
4290,porušenia,9
3656,osobitne,8
819,taliansku,9
199164,ktoré,5
2952,predložil,9
2352,diskusie,8
1280,uskutočnili,11
5929,parlamente,10
11820,októbra,7
11061,januára,7
82933,vo,2
10079,výbore,6
4268,libe,4
18958,európska,8
8287,únia,4
818,zaručuje,8
414,presadzuje,10
3675,slobodu,7
15463,právo,5
29227,informácie,10
630,zakotvené,9
70259,článku,6
2339,charty,6
6954,dohovoru,8
1764,sloboda,7
186,pluralizmus,11
759,základnou,9
2417,podmienkou,10
42929,tieto,5
2126,zahŕňajú,8
1341,vyjadriť,8
1610,názory,6
384,získavať,8
92,odovzdávať,10
31409,bez,3
275,zasahovania,11
218,nátlaku,7
50442,zo,2
19377,strany,6
9068,verejných,9
118,pluralita,9
535,vyvoláva,8
36413,jej,3
11296,naďalej,7
4396,vážne,5
3635,obavy,5
251,dokázala,8
208,nedávna,7
127,kritika,7
114,maďarských,10
1712,zákonov,7
306,zavedených,10
4554,období,6
409,jún,3
19810,až,2
868,december,8
16506,ktorú,5
1415,vyjadrili,9
6341,medzinárodné,12
14119,organizácie,11
2060,obse,4
701,komisár,7
9953,európy,6
10929,ľudské,6
2561,odborné,7
1890,združenia,9
1403,novinárov,9
31,redaktorov,10
52,vydavateľov,11
965,mimovládne,10
5625,občianske,9
64551,členské,7
67412,štáty,5
899,vyjadrila,9
848,pochybnosti,11
614,požiadala,9
55,maďarskú,8
4004,vládu,5
39572,čo,2
2896,súladu,6
4628,smernicou,9
