repetitions,orthographic_form,length
11348,p_ta,4
3815,viitorul,8
1435,summit,6
98888,ue,2
5947,sua,3
471514,şi,2
24881,consiliul,9
9942,economic,8
683,transatlantic,13
418,b-,2
9867,rezoluţia,9
85355,parlamentului,13
144918,european,8
352328,din,3
12340,noiembrie,9
38315,referitoare,11
548232,la,2
653463,și,2
56900,parlamentul,11
80670,având,5
1218569,în,2
89147,vedere,6
10466,rezoluția,9
20497,sa,2
13070,martie,6
193541,privind,7
6897,situația,8
1797,relațiilor,10
566,transatlantice,14
11249,urma,4
2639,alegerilor,10
5306,texte,5
14010,adoptate,8
1709,rezoluțiile,11
20033,sale,4
11312,octombrie,9
1871,reuniunea,9
93199,consiliului,11
5222,concluziile,11
922,summitului,10
503,desfășurat,10
265,washington,10
24588,raportul,8
3219,progresele,10
3554,înregistrate,12
10810,adoptat,7
11868,cea,3
1829788,de,2
965139,a,1
777,patra,5
4372,reuniune,8
4884,declarația,10
17695,comună,6
8045,adoptată,8
331979,cu,2
2887,ocazia,6
2357,dialogului,10
183816,al,2
105,legislatorilor,14
56,dtl,3
1845,reuniunile,10
1241,desfășurate,11
6056,new,3
334,york,4
39907,între,5
16270,decembrie,9
341,madrid,6
10355,perioada,8
14137,iunie,5
1611,intensificarea,14
6188,cooperării,10
37330,domeniul,8
1002,justiției,9
1293,libertății,10
2759,securității,11
194,contracararea,13
2702,terorismului,12
4438,urilor,6
8039,g,1
38,toronto,7
71,seul,4
1446,plenară,7
29847,nivel,5
4567,înalt,5
11095,onu,3
8049,obiectivele,11
30918,dezvoltare,10
120582,ale,3
1483,mileniului,10
11130,septembrie,10
57467,precum,6
11912,acesteia,8
160218,articolul,9
81252,alineatul,9
54068,regulamentul,12
19017,său,3
32972,procedură,9
65419,întrucât,8
542,relația,7
231,transatlantică,14
24391,are,3
164997,un,2
6116,caracter,8
3899,unic,4
1163,acoperă,7
231295,o,1
723,gamă,4
4169,largă,5
4141,domenii,7
27706,inclusiv,8
3845,angajamentul,12
1330,reciproc,8
8201,față,4
1158,democrație,10
10202,statul,6
15637,drept,5
24401,drepturile,10
25095,omului,6
6819,combaterea,10
1358,evitarea,8
173,proliferării,12
1142,armelor,7
294,distrugere,10
1897,masă,4
7,reliefând,9
2352,interesele,10
2234,valorile,8
175933,pe,2
317063,care,4
31987,le,2
67,împărtășesc,11
11708,necesitatea,11
77259,ca,2
399884,să,2
189228,se,2
36,asculte,7
1506,disponibilitatea,16
55,asculta,7
167,vocea,5
8088,președintelui,13
277,congresului,11
30418,b,1
22253,uniunea,7
46203,europeană,9
65688,statele,7
8422,unite,5
1013,americii,8
25,conlucrează,11
5562,mondial,7
449376,pentru,6
178,impulsiona,10
6147,program,7
12034,comun,5
1477,bazat,5
370,istoria,7
753,cultura,7
17671,comune,6
2974,relațiile,9
36098,dintre,6
62632,trebuie,7
2043,îndeplinească,13
6478,rol,3
742,crucial,7
6642,garanta,7
3245,abordarea,9
211,problematicii,13
3336,mondiale,8
3153,noilor,6
2329,provocări,9
59401,cadrul,6
7304,dreptului,9
7157,internațional,13
4305,instituțiilor,13
1421,multilaterale,13
8456,existente,9
2219,îndeosebi,9
1684,osce,4
1311,nato,4
30800,c,1
4863,cei,3
3656,doi,3
1374,parteneri,9
60,transatlantici,14
14905,reprezintă,10
6044,împreună,8
1770,jumătate,8
2387,economia,8
2916,mondială,8
6068,condițiile,10
1675,parteneriatul,13
499,volum,5
31,trilioane,9
528,usd,3
8531,constituie,10
13702,economică,9
144925,mai,3
2116,cuprinzătoare,13
2250,integrată,9
250,îndelungată,11
57,vector,6
3200,esențial,8
178,prosperității,13
19077,economice,9
88,soliditatea,11
135,relației,8
652,asumat,6
