repetitions,orthographic_form,length
24053,a-/,3
35453,доклад,6
160031,относно,7
2031,бюджетния,9
20068,контрол,7
33800,върху,5
15256,финансовата,11
16299,помощ,5
2702374,на,2
108802,ес,2
1070530,за,2
1990,афганистан,10
11659,/ini,4
68007,комисия,7
383749,по,2
5767,бюджетен,8
23362,докладчик,9
966,jens,4
617,geier,5
5558,pe,2
2296,v-,2
5336,съдържание,10
56005,предложение,11
38689,резолюция,9
124872,европейския,11
85503,парламент,9
3236,изложение,9
3530,мотивите,8
16812,становище,9
221906,комисията,9
6397,външни,6
12201,работи,6
34122,развитие,8
13543,резултат,8
711039,от,2
16426,окончателното,13
37283,гласуване,9
701738,в,1
21917,европейският,12
250705,като,4
66408,взе,3
145207,предвид,7
1112,предишните,10
47019,си,2
6015,резолюции,9
1141793,и,1
33635,специално,9
13557,своите,6
8973,юли,3
225820,г,1
49,стабилизацията,14
19806,ов,2
339133,с,1
6123,e,1
24016,стр,3
10103,януари,6
4525,средствата,10
9300,април,5
34656,правата,7
17012,жените,6
15740,декември,8
10106,нова,4
11125,стратегия,9
10001,приети,6
6900,текстове,8
11243,p_ta,4
13633,своята,6
3861,освобождаването,15
17804,отговорност,11
19293,изпълнението,12
6313,общия,5
11142,бюджет,6
45280,съюз,4
22532,година,6
16913,l,1
69083,както,5
13741,май,3
2782,бъдещето,8
4208,бюджетната,10
15297,подкрепа,8
5056,развиващите,11
401243,се,2
30473,страни,6
1158,prov,4
1690,конференцията,13
83,кабул,5
1178,проведена,9
42390,която,5
452,донорите,8
186,споразумяха,11
651231,да,2
231,приведат,8
3060,тясно,5
38299,съответствие,12
10559,програми,8
815,ангажират,9
6118,принципите,10
6758,ефективност,11
4471,помощта,7
291,лондон,6
2125,създадат,8
940,независима,10
4292,служба,6
1767,върховен,8
5071,надзор,6
161,отпуснат,8
9599,голяма,6
210,преминава,9
41101,през,4
5298,правителството,14
333,ислямска,8
13266,република,9
666,подкрепена,10
38446,със,3
1586,структурни,10
8339,бюджетни,8
3371,реформи,7
1893,отговорите,10
67,зададените,10
33657,въпроси,7
10773,септември,9
13540,юни,3
2048,специален,9
41995,№,1
36787,европейската,12
1436,сметна,6
9460,палата,6
1229,озаглавен,9
870,ефикасност,10
1180,приноса,7
7,насочван,8
32399,чрез,4
4053,организацията,13
2041,обединените,11
2174,нации,5
81104,към,3
2786,засегнати,9
2420,конфликти,9
2063,докладите,9
367,проведен,8
2591,одит,4
1211,специалния,10
449,главен,6
103,инспектор,9
1873,възстановяването,16
7,sigar,5
48,правителствената,16
6690,сащ,3
1709,отчетност,9
24,gao,3
266,главния,7
9638,агенцията,9
3699,международно,12
9,usaid,5
2323,окончателния,12
14235,пред,4
314,конгреса,8
55,трансформиране,14
3374,сключването,11
4151,договори,8
23456,време,5
596,война,5
226,войната,7
958,ирак,4
7277,проекта,7
1933,закон,5
86,върховната,10
3534,декларацията,12
637,мексико,7
5944,международната,14
5663,организация,11
98,върховните,10
405,одитни,6
14126,институции,10
14,intosai,7
1672,независимостта,14
620,одобрена,8
2688,плана,5
12522,действие,8
1524,пакистан,8
3207,приет,5
105706,съвета,6
10985,октомври,8
63,публикуваните,13
12644,всеки,5
6371,две,3
14776,години,6
5600,доклади,7
4281,неговото,8
11130,изпълнение,10
46652,решение,7
1286,изпълнителния,13
19192,съвет,5
7545,програмата,10
15281,оон,3
1924,фонда,5
3905,населението,11
3616,службата,8
112,проектни,8
22326,услуги,6
1746,прието,6
276,годишното,9
14411,му,2
15166,заседание,9
188384,член,4
22000,своя,4
10817,правилник,9
16476,доклада,7
1648,становищата,11
45142,a,1
81295,има,3
269859,че,2
5532,резолюцията,11
42558,парламента,10
6799,бяха,4
11639,посочени,8
4879,няколко,7
7067,въпроса,7
107,предизвикващи,13
790,безпокойство,12
2454,що,2
6511,отнася,6
100398,до,2
29266,б,1
33947,съгласно,8
36788,информация,10
60,integrity,9
86,watch,5
104292,са,2
6901,били,4
336,платени,7
6165,над,3
14711,един,4
264,милиард,7
667,долара,6
21,подкупи,7
5340,отговаря,8
3178,контрола,8
166,разходната,10
76501,при,3
5331,прозрачност,11
2837,публичните,10
22740,средства,8
2936,основно,7
11887,значение,8
5051,демокрацията,12
9088,д,1
196867,е,1
6147,сред,4
9280,страните,8
403,бенефициенти,12
122282,които,5
2243,получават,9
41385,най,3
13287,много,5
1713,гражданска,10
4,заделила,8
2023,милиарда,8
12611,евро,4
24,изплатила,9
16194,повече,6
1641,хуманитарна,11
1390,досега,6
652,положителни,11
717,отрицателни,11
7687,различните,10
458,канали,6
11481,финансиране,11
55570,във,3
37866,връзка,6
5644,предоставянето,14
1919,заявява,7
1727,повторно,8
53189,може,4
3212,разгледа,8
6332,възможността,12
8547,различни,8
75,разходването,12
9234,припомня,8
110576,не,2
1315,получава,8
623,пряка,5
140,секторна,8
2677,бюджетна,8
20135,отбелязва,9
98,каналите,8
1165,свои,4
4852,специфични,10
49294,отношение,9
1120,конкретните,11
14850,цели,4
155,изразходването,14
3230,посочено,8
371,таблицата,9
224,изложението,11
1943,поддържа,8
8546,становището,11
573,никой,5
1122,бива,4
622,изключва,8
12220,възможност,10
1449,защото,6
58306,всички,6
19749,те,2
14376,имат,4
34278,счита,5
16969,необходимо,10
27,диверсифицира,13
3917,отговори,8
466,индивидуалните,14
2037,потребности,11
224,подходящия,10
13715,тях,3
264,канал,5
64703,призовава,9
725,обмисли,7
3916,въвеждане,9
1684,строги,6
1759,правилно,8
11960,определени,10
15899,условия,7
7274,положение,9
587,докаже,6
1924,необходимата,12
79436,това,4
114,макроикономическа,17
4825,стабилност,10
3206,наличието,9
5264,достатъчно,10
201,надеждно,8
4990,финансово,9
22424,управление,10
11996,тъй,3
9708,тя,2
299,добрият,7
6449,инструмент,10
2652,изграждане,10
4191,капацитет,9
1118,администрацията,15
5635,биха,4
3365,могли,5
3195,постигнат,9
232,трайни,6
369,ориентирани,11
995,дългосрочна,11
974,перспектива,11
11180,резултати,9
73943,следва,6
2407,извърши,7
16696,оценка,6
1649,капацитета,10
73,министерствата,14
16714,би,2
2386,могло,5
2295,започне,7
639,отпускането,11
878,ограничени,10
1922,суми,4
108,прилагано,9
218,примера,7
31451,други,5
783,донори,6
4362,въвеждането,11
47904,тези,4
51,афганистански,13
154,министерства,12
1687,изпълнени,9
602,целевите,8
2886,показатели,10
17807,само,4
466,централно,9
16671,но,2
5304,регионално,10
3172,местно,6
22285,равнище,7
2964,доколкото,9
2714,налице,6
7122,необходимите,12
304,предпоставки,12
125,нужните,7
5187,критерии,8
10,ускорило,8
2965,изграждането,12
1620,държавни,8
2502,равнища,7
2064,смята,5
100,съгласуваното,13
64,диверсифициране,15
3273,административни,15
27531,също,4
36450,така,4
54576,ще,2
2575,засили,6
6953,позицията,9
5943,спрямо,6
33646,органи,6
9340,й,1
7669,осигури,7
2253,независимост,12
33163,ако,3
6201,отношения,9
17262,една,4
4938,институция,10
146612,или,3
21830,орган,5
52040,трябва,6
388,подкопава,9
6097,ролята,6
2626,отговорността,13
207,централното,11
4444,правителство,12
9440,следователно,12
5412,то,2
978,нуждае,6
1440,одобрението,11
6254,същевременно,12
116,обвърже,7
3418,бъдеще,6
266,евентуална,10
46830,бъдат,5
2159,ясни,4
406,измерими,8
4027,насочени,8
6499,постигането,11
31640,могат,5
665,оценяват,8
3795,предварително,13
543,референтни,10
36104,подчертава,10
664,самото,6
829,начало,6
5907,определят,9
155,началните,9
2040,стойности,9
2241,извършването,12
510,бъдещия,7
5366,напредък,8
34082,този,4
3312,контекст,8
4009,изключително,12
2901,важни,5
1284,механизмите,11
9142,борба,5
1923,корупцията,10
1725,измамите,8
7621,посочва,7
4415,ефективността,13
9045,мерките,7
13237,политиката,10
80700,държавите,9
5505,партньори,9
806,проверява,9
11348,въз,3
15268,основа,6
2382,местни,6
1269,смисъл,6
1772,подготовката,12
720,публичната,10
1874,администрация,13
300,полицейските,12
2713,сили,4
21346,сигурност,9
8450,отново,6
12642,изисква,7
1908,въведе,6
40676,мерки,5
1139,прозрачен,9
19324,начин,5
5203,предостави,10
2838,разположение,12
2525,обществеността,14
2363,споразуменията,14
855,сключени,8
633,показателите,12
14596,целите,6
959,методите,8
929,изчисляване,11
424,източниците,11
2,сверка,6
43881,цел,3
2814,извършване,10
3790,напредъка,9
472,избиране,8
12804,решения,7
1246,отпускане,9
675,основаващи,10
574,постигнатите,12
418,променливи,10
36,траншове,8
566,бъдеща,6
152,стандартизирани,15
1732,оценява,7
315,обективно,9
495,прозрачно,9
502,напредъкът,10
1129,определените,12
53884,а,1
1825,причините,9
1955,евентуално,10
125,позволили,9
3823,постигне,8
989,първоначално,12
34,планираният,11
9094,финансовите,11
212,отчетени,8
184,одиторите,9
887,слабости,8
765,неотдавна,9
66,изготвения,10
86,одитен,6
241,предавани,9
40765,който,5
2046,обхваща,7
17819,изразява,8
6403,съжаление,9
306,слабостите,10
7660,управлението,12
2412,проектите,9
751,открити,7
392,посочат,7
9262,следните,8
3888,разработването,14
879,водещи,6
94,неустойчиви,11
95,неефективни,11
10350,проекти,7
8508,предоставяне,12
27696,страна,6
3825,агенциите,9
699,предават,8
18435,срок,4
916,прекалено,9
8336,общи,4
2678,скоро,5
4582,дейностите,10
1776,отколкото,9
7391,резултатите,11
1570,позволяват,10
670,провери,7
2587,подходящ,8
1314,ефикасността,12
3738,даден,5
13188,проект,6
151,чести,5
227,забавяния,9
1057,причинени,9
22,нереалистично,13
2886,срокове,7
5839,загриженост,11
14874,например,8
2552,сключване,9
1420,висок,5
5453,риск,4
790,корупция,8
1265,измами,6
5442,страната,8
231,видно,5
26,скандала,8
4,банк,4
136,близкото,8
98,минало,6
36757,което,5
473,свидетелства,12
307,окончателният,13
12,изчислила,9
61978,между,5
920,процента,8
13824,общата,6
28,изразходвана,12
3115,предмет,7
15196,освен,5
3995,трета,5
2458,била,4
839,използвана,10
1240,заплащане,9
201,някаква,7
689,публична,8
2228,услуга,6
806,документация,12
7791,образование,11
2135,здравеопазване,14
747,полицията,9
3,корумпираният,13
89,неспособност,12
2266,повечето,8
130,афганистанските,15
576,организират,11
116,тръжна,6
29231,процедура,9
656,управляват,10
4015,договорите,10
15173,поради,6
1962,процент,7
52,неграмотност,12
19,недобре,7
97,обучен,6
3186,персонал,8
17,ненадеждни,10
476,бази,4
21249,данни,5
68,афганистанската,15
1316,национална,10
246,полиция,7
8,анп,3
113,цифрите,7
197,варират,7
1026,полицейски,10
4960,служители,9
624,поражда,7
693,съмнение,8
253,законността,11
522,редовността,11
304,заплатите,9
87,плащани,7
1916,основната,9
603,големия,7
191,финансиран,10
22,доверителния,12
9689,фонд,4
3,lotfa,5
1126,загуба,6
238,доказва,7
38,похарчени,9
8,напразно,8
5,каскади,7
287,подизпълнители,14
2172,водят,5
5394,увеличаване,11
8,режийните,9
11742,разходи,7
943,ограничават,11
1995,упражняването,13
128,изпълнител,10
2607,дела,4
116,афганистанското,15
2982,население,9
554,възползва,9
333,краткосрочни,12
1102,малък,5
183,шанс,4
1602,устойчивост,11
1865,дългосрочен,11
9397,план,4
2517,липса,5
2965,пълна,5
4,ско,3
5215,вземе,5
360,пропуските,10
4021,установени,10
6352,другите,7
37,неевропейски,12
236,одитори,7
1160,показват,8
369,рискови,7
2273,фактори,7
1466,финансирани,11
731,еднакви,7
3300,поне,4
662,сходни,6
5939,характер,8
2425,справяне,8
916,установените,12
5094,признава,8
97,трудните,8
3015,обстоятелства,13
8727,предоставя,10
285,засегната,9
1342,продължение,11
581,десетилетия,11
1021,проверките,10
7780,място,5
3162,извършват,9
287,трудни,6
10391,прилага,7
2072,алтернативни,12
3078,проверки,8
14532,все,3
13227,още,3
267,сегашните,9
218,отстрани,8
871,финансира,9
3529,отговарят,9
10363,финансова,9
1156,оперативна,10
10453,насърчаване,11
339,ангажираността,14
11281,възможно,8
2521,висока,6
10502,степен,6
2353,ограничаване,12
102,рисковия,8
1426,фактор,6
1600,свързан,7
3314,установи,8
227,рисковите,9
24292,свързани,8
5680,източници,9
880,злоупотреба,11
4241,продължи,8
1367,предприема,10
844,адекватни,9
9127,споразумения,12
168,безвъзмездна,12
5860,търговски,9
1868,следи,5
694,отблизо,7
19820,прилагането,11
14288,правила,7
37,решаващото,10
20,върховна,8
114,одитна,6
3814,напълно,7
462,оперативно,10
457,изпълнителната,14
1390,власт,5
2682,разполага,9
815,достатъчен,10
11527,финансови,9
4722,извършва,8
4895,финансов,8
1933,съответствието,14
5479,международните,14
11426,стандарти,9
1090,надеждни,8
2669,независими,10
10514,според,6
7020,високо,6
733,възпрепятстват,14
1434,разследвания,12
23463,срещу,5
667,провеждани,10
