"","language","eta","psi","omega","t"
"1","Abkhazian",0.99075720978538,0.149634047517483,0.0238095238095238,8
"2","Abkhazian",0.984670194156271,0.349075414822022,0.221570958372201,16
"3","Abkhazian",0.966928456401655,0.3495114378442,0.264645709783514,32
"4","Abkhazian",0.941787196791448,0.425809077348518,0.342192226327542,64
"5","Abkhazian",0.90876290818216,0.464482826283823,0.372152893601651,128
"6","Abkhazian",NA,NA,NA,256
"7","Abkhazian",NA,NA,NA,512
"8","Abkhazian",NA,NA,NA,1024
"9","Abkhazian",NA,NA,NA,2048
"10","Abkhazian",NA,NA,NA,4096
"11","Abkhazian",NA,NA,NA,8192
"12","Abkhazian",NA,NA,NA,16384
"13","Abkhazian",NA,NA,NA,32768
"14","Abkhazian",NA,NA,NA,65536
"15","Abkhazian",NA,NA,NA,131072
"16","Abkhazian",NA,NA,NA,262144
"17","Abkhazian",NA,NA,NA,524288
"18","Abkhazian",NA,NA,NA,1048576
"19","Abkhazian",NA,NA,NA,2097152
"20","Abkhazian",NA,NA,NA,4194304
"21","Abkhazian",NA,NA,NA,8388608
"22","Arabic",0.999150757982647,0.862204373967458,0.777777777777778,8
"23","Arabic",0.997519369900141,0.803995129978959,0.756075808249721,16
"24","Arabic",0.992676557030024,0.751485961479414,0.7427747528904,32
"25","Arabic",0.985938414786139,0.716457839523191,0.701524673476432,64
"26","Arabic",0.977222312565941,0.734207574311695,0.669339299332518,128
"27","Arabic",0.964060508917943,0.726273108956766,0.586305750500538,256
"28","Arabic",0.94865251363638,0.709901689233151,0.498499890196308,512
"29","Arabic",0.927107295686798,0.679019484489742,0.394132094197982,1024
"30","Arabic",0.900824431327602,0.64272154301257,0.309450775034812,2048
"31","Arabic",0.87027316153992,0.608435634514257,0.249055654446224,4096
"32","Arabic",0.834917666034825,0.574303257787015,0.199393664850772,8192
"33","Arabic",0.798972304783158,0.5460848549149,0.166622589328662,16384
"34","Arabic",0.766688247991823,0.524251648054602,0.140489709688406,32768
"35","Arabic",NA,NA,NA,65536
"36","Arabic",NA,NA,NA,131072
"37","Arabic",NA,NA,NA,262144
"38","Arabic",NA,NA,NA,524288
"39","Arabic",NA,NA,NA,1048576
"40","Arabic",NA,NA,NA,2097152
"41","Arabic",NA,NA,NA,4194304
"42","Arabic",NA,NA,NA,8388608
"43","Assamese",0.998350677384663,0.567279159744985,0.395833333333333,8
"44","Assamese",0.995955822322473,0.536788854365221,0.428809523809524,16
"45","Assamese",0.990216796992223,0.52575937365889,0.474964119243116,32
"46","Assamese",0.981078104460808,0.532418449624687,0.491093102469162,64
"47","Assamese",0.967609824342276,0.557340823119432,0.496234858388954,128
"48","Assamese",0.946916530482146,0.56674763976108,0.470933986174523,256
"49","Assamese",0.917002070785623,0.546888693817082,0.418458746721933,512
"50","Assamese",0.87934159604237,0.527738315817912,0.360179143540935,1024
"51","Assamese",NA,NA,NA,2048
"52","Assamese",NA,NA,NA,4096
"53","Assamese",NA,NA,NA,8192
"54","Assamese",NA,NA,NA,16384
"55","Assamese",NA,NA,NA,32768
"56","Assamese",NA,NA,NA,65536
"57","Assamese",NA,NA,NA,131072
"58","Assamese",NA,NA,NA,262144
"59","Assamese",NA,NA,NA,524288
"60","Assamese",NA,NA,NA,1048576
"61","Assamese",NA,NA,NA,2097152
"62","Assamese",NA,NA,NA,4194304
"63","Assamese",NA,NA,NA,8388608
"64","Breton",0.993767693962061,0.640387551860573,0.525757575757576,8
"65","Breton",0.991683670934007,0.715875063955515,0.650421888590785,16
"66","Breton",0.984986345886873,0.754999508177918,0.71690362905753,32
"67","Breton",0.976578277448739,0.784669921470991,0.7184657165816,64
"68","Breton",0.96406159318972,0.793437813640462,0.687349887997363,128
"69","Breton",0.945481919006541,0.78585839524114,0.632222111687197,256
"70","Breton",0.924659459811065,0.781151451673703,0.579716448211636,512
"71","Breton",0.901434788192487,0.77531300549785,0.532542966848922,1024
"72","Breton",0.875920628795691,0.767442295340125,0.484744826099515,2048
"73","Breton",0.844537579236362,0.754536033574962,0.438232019229352,4096
"74","Breton",0.808871803045975,0.739967996788507,0.389612106208026,8192
"75","Breton",0.769921588691486,0.724423685478341,0.342498435060313,16384
"76","Breton",0.73104026223475,0.710490071721658,0.294162370695736,32768
"77","Breton",NA,NA,NA,65536
"78","Breton",NA,NA,NA,131072
"79","Breton",NA,NA,NA,262144
"80","Breton",NA,NA,NA,524288
"81","Breton",NA,NA,NA,1048576
"82","Breton",NA,NA,NA,2097152
"83","Breton",NA,NA,NA,4194304
"84","Breton",NA,NA,NA,8388608
"85","Catalan",0.99780910327256,0.880322637723413,0.777777777777778,8
"86","Catalan",0.994635890533556,0.868967831368911,0.780524758889609,16
"87","Catalan",0.990207939800201,0.864410916836547,0.79137972152253,32
"88","Catalan",0.984669069964968,0.88041210632102,0.827802718252164,64
"89","Catalan",0.979768313715761,0.897967431493574,0.839531251027016,128
"90","Catalan",0.972404543517372,0.899459493731779,0.822560853113075,256
"91","Catalan",0.963171699628887,0.894657939750126,0.774215396387414,512
"92","Catalan",0.949958348334119,0.881917103073753,0.694305903633505,1024
"93","Catalan",0.936050359169358,0.871241137792098,0.617005625998458,2048
"94","Catalan",0.917999193547313,0.855144871311135,0.530975517451161,4096
"95","Catalan",0.896131104230684,0.837257656704366,0.455704185772727,8192
"96","Catalan",0.872287496495688,0.820175306456597,0.396520829192158,16384
"97","Catalan",0.845218342228655,0.802733488603627,0.348447412508789,32768
"98","Catalan",0.817009162605442,0.786961829969021,0.311339195324984,65536
"99","Catalan",0.787685389972884,0.772399505965786,0.280651995844616,131072
"100","Catalan",0.75943006571419,0.760181845928411,0.258158192489651,262144
"101","Catalan",0.731720278306553,0.749525676927076,0.240750912613721,524288
"102","Catalan",0.705320175597955,0.740760114683627,0.230545613461011,1048576
"103","Catalan",0.683699461153127,0.735729216712712,0.22777584481277,2097152
"104","Catalan",NA,NA,NA,4194304
"105","Catalan",NA,NA,NA,8388608
"106","Czech",0.998535222805436,0.870802805995388,0.774305555555555,8
"107","Czech",0.997212025717154,0.894345231306919,0.816963239287654,16
"108","Czech",0.991425641048166,0.796114586716003,0.732922079116538,32
"109","Czech",0.98646081904098,0.803268462935246,0.766695802817471,64
"110","Czech",0.978619598913399,0.820169651107549,0.784721113811278,128
"111","Czech",0.970479940344002,0.825263005031153,0.771802359143062,256
"112","Czech",0.959676538986765,0.821385169351235,0.733302222224229,512
"113","Czech",0.948808600412102,0.820574148289751,0.682298155814814,1024
"114","Czech",0.936239955073219,0.817460355348769,0.617300548833881,2048
"115","Czech",0.919771032181646,0.806879140312641,0.531372915509726,4096
