"","language","corr","pvalue","hb_pvalue"
"1","Catalan",-0.154863699460219,0,0
"2","German",-0.117044775241893,0,0
"3","English",-0.0740436914758706,0,0
"4","Esperanto",-0.176119453388572,0,0
"5","Estonian",-0.239396248587449,0,0
"6","Kinyarwanda",-0.190140954008969,0,0
"7","Dutch",-0.276222878057102,0,0
"8","Tatar",-0.239913150693811,0,0
"9","Czech",-0.224624879322532,4.59978588112077e-297,1.74791863482589e-295
"10","Polish",-0.169053510322281,2.17144072918405e-293,8.034330697981e-292
"11","Mongolian",-0.226384206087584,4.8083171491315e-265,1.73099417368734e-263
"12","Basque",-0.162898835295361,7.6584477877512e-264,2.68045672571292e-262
"13","Western Frisian",-0.286731403446673,3.5094462275305e-246,1.19321171736037e-244
"14","Persian",-0.205835147657087,7.22353772517159e-231,2.38376744930662e-229
"15","Russian",-0.131669085757558,2.42190504935521e-226,7.75009615793668e-225
"16","Welsh",-0.205462279567555,7.74420148156886e-187,2.40070245928635e-185
"17","Yakut",-0.264211275957099,1.82709462730276e-186,5.48128388190828e-185
"18","Romansh",-0.235578176545751,2.03881670309425e-185,5.91256843897332e-184
"19","Portuguese",-0.194302758813034,2.3766982293158e-170,6.65475504208424e-169
"20","Latvian",-0.258059606048768,2.15337376389832e-161,5.81410916252547e-160
"21","Turkish",-0.216687642118965,5.07599851621606e-160,1.31975961421617e-158
"22","Kirghiz",-0.193523449302584,5.80936372126204e-143,1.45234093031551e-141
"23","Ukrainian",-0.161137323519785,1.254448653665e-137,3.01067676879601e-136
"24","Swedish",-0.278444270479301,3.00411417276988e-130,6.90946259737072e-129
"25","Modern Greek",-0.244319384974949,1.69694881555674e-125,3.73328739422482e-124
"26","Maltese",-0.195051438816701,1.10253626394095e-108,2.31532615427599e-107
"27","Interlingua",-0.238282099503252,4.47557974491436e-102,8.95115948982873e-101
"28","Romanian",-0.209594492329517,1.72329001093441e-98,3.27425102077537e-97
"29","Slovenian",-0.206922083582794,8.17468246015942e-90,1.4714428428287e-88
"30","Breton",-0.235382364772545,2.9016975025421e-87,4.93288575432157e-86
"31","French",-0.0378605709275793,2.22836181020559e-86,3.56537889632895e-85
"32","Chuvash",-0.220761156287047,3.66185907574173e-75,5.4927886136126e-74
"33","Hakha Chin",-0.286836423996373,3.0809287556825e-73,4.31330025795549e-72
"34","Italian",-0.0562355482440451,1.72246215765794e-68,2.23920080495532e-67
"35","Indonesian",-0.202323907569665,5.1492462465222e-61,6.17909549582663e-60
"36","Arabic",-0.137030957110257,4.83360364569563e-44,5.3169640102652e-43
"37","Irish",-0.214588223078247,2.37754706288194e-42,2.37754706288194e-41
"38","Tamil",-0.281620444965843,1.30289942956747e-36,1.17260948661072e-35
"39","Spanish",-0.0325683915025093,7.44273286241321e-33,5.95418628993057e-32
"40","Georgian",-0.119567157750104,5.24771672395142e-32,3.673401706766e-31
"41","Assamese",-0.312954010437923,7.88403614034958e-32,4.73042168420975e-31
"42","Oriya",-0.33013750512015,4.98004116865602e-29,2.49002058432801e-28
"43","Vietnamese",-0.19186132732636,7.46195796316728e-06,2.98478318526691e-05
"44","Abkhazian",-0.322538328694188,1.49408783015471e-05,4.48226349046414e-05
"45","Panjabi",-0.323788286062625,0.00043442100233517,0.000868842004670341
"46","Dhivehi",-0.161794947908429,0.016530111537959,0.016530111537959
