"","language","corr","pvalue","hb_pvalue"
"14","Korean",-0.161803496673837,1.52976182682847e-48,3.67142838438832e-47
"25","Czech",-0.151101595598545,1.07402614169865e-37,2.4702601259069e-36
"15","Polish",-0.12729689669566,1.17842044937089e-27,2.59252498861597e-26
"17","Russian",-0.127056391047336,2.7316841908583e-27,5.73653680080244e-26
"10","Italian",-0.136296199945246,5.88500872239082e-25,1.17700174447816e-23
"5","Finnish",-0.121905230073873,1.0960019181597e-24,2.08240364450343e-23
"21","Turkish",-0.123702324786612,3.50768279658142e-24,6.31382903384655e-23
"2","Arabic",-0.122924883775113,6.25261348106642e-24,1.06294429178129e-22
"3","German",-0.122922823429192,2.51097471772974e-22,4.01755954836758e-21
"19","Swedish",-0.127540819627072,3.92725517819608e-22,5.89088276729411e-21
"20","Thai",-0.15908234360454,3.93937521729647e-22,5.89088276729411e-21
"6","French",-0.126559997210955,2.29240686853124e-20,2.98012892909061e-19
"7","Hindi",-0.131119553809178,7.75792227029914e-20,9.30950672435897e-19
"12","Japanese-romaji",-0.128824254694425,1.06970252121128e-19,1.17667277333241e-18
"16","Portuguese",-0.118096528177291,2.4437877739412e-19,2.4437877739412e-18
"18","Spanish",-0.114032685696135,2.09738414308952e-18,1.88764572878057e-17
"9","Icelandic",-0.110978719919085,2.65877246391786e-18,2.12701797113429e-17
"4","English",-0.119392223156174,1.21278056063959e-17,8.48946392447713e-17
"23","Chinese-pinyin",-0.118557162408675,2.52432753239224e-17,1.51459651943535e-16
"13","Japanese-strokes",-0.112912117523997,1.53226163975316e-15,7.6613081987658e-15
"8","Indonesian",-0.117024103170941,1.69040185030807e-15,7.6613081987658e-15
"22","Chinese",-0.11035519796334,3.05328033717167e-15,9.15984101151502e-15
"24","Chinese-strokes",-0.10834873754454,9.36723654346105e-15,1.87344730869221e-14
"11","Japanese",-0.0803337503323005,1.05113394130717e-08,1.05113394130717e-08
