"","language","tau","tau_min","tau_pval","r","r_min","r_pval","Lmin","L","Lrand","eta","psi","omega","length_def"
"1","Abkhazian",-0.322538328694188,-0.54839779029046,4.48226349046414e-05,-0.289020778252537,-0.495611158792115,0.00143317125649471,5.58974358974359,5.93589743589744,6.42016806722689,0.941684665226782,0.583160352880124,0.588146659969864,"characters"
"2","Arabic",-0.137030957110257,-0.86720873201494,5.3169640102652e-43,-0.139743731541682,-0.261376331326004,2.03714953169417e-28,3.25699945444626,4.09531914893617,5.05846490542442,0.795298079587357,0.534645699680381,0.158013811498264,"characters"
"3","Assamese",-0.312954010437923,-0.676515518235052,4.73042168420975e-31,-0.271667956993071,-0.43487007017322,3.09080496290426e-17,4.10148924434639,4.57473800330943,5.36251287332647,0.896551724137931,0.624710633419447,0.462596942719633,"characters"
"4","Basque",-0.162898835295361,-0.911551696214194,2.68045672571292e-262,-0.112255690723632,-0.20072439915241,6.95289075818314e-69,4.44446384949058,6.40539348703585,8.89356715694197,0.693862735909343,0.559252842193821,0.178704988397151,"characters"
"5","Breton",-0.235382364772545,-0.898220950024397,4.93288575432157e-86,-0.191247406520854,-0.278568364977053,4.08689261806521e-35,2.89701074875121,3.96806757852342,6.31385998107852,0.730081000744759,0.686536701813243,0.262053968754739,"characters"
"6","Catalan",-0.154863699460219,-0.919503454540009,0,-0.0538950687362323,-0.0818252956789988,9.5318559417524e-51,2.98830977783417,4.89553506975581,8.5757786429366,0.610415355064188,0.658660238120777,0.168421008856015,"characters"
"7","Chuvash",-0.220761156287047,-0.82781408853505,5.4927886136126e-74,-0.210223992027358,-0.398574760888165,3.80489841383573e-43,4.79246116469116,6.00139880733269,7.35073068893528,0.798557356134303,0.527439297859464,0.266679631748862,"characters"
"8","Czech",-0.224624879322532,-0.91867588827942,1.74791863482589e-295,-0.130362832147629,-0.187795364045797,1.69422987851958e-58,3.80578254800721,4.83407190578797,7.16812733599691,0.787282982582539,0.694174921782617,0.244509388118622,"characters"
"9","Dhivehi",-0.161794947908429,-0.843321063597472,0.016530111537959,-0.31282044622649,-0.411194610039497,0.00124421446670087,1.97429906542056,3.32320872274143,7.61261261261261,0.594094211389735,0.760760084370858,0.191854508196721,"characters"
"10","Dutch",-0.276370786424195,-0.948150680645763,0,-0.102749670172582,-0.145713457358094,1.35181768358173e-24,3.23949106136254,4.72057955087334,8.26266379816155,0.686248590125594,0.70514880393012,0.291484035254782,"characters"
