"","language","family","script","A","n","T"
"1","Arabic","Afro-Asiatic","Arabic",31,6397,45825
"2","Maltese","Afro-Asiatic","Latin",31,8058,44112
"3","Vietnamese","Austroasiatic","Latin",41,370,938
"4","Indonesian","Austronesian","Latin",21,3768,44210
"5","Esperanto","Conlang","Latin",27,27759,406261
"6","Interlingua","Conlang","Latin",20,5126,30504
"7","Tamil","Dravidian","Tamil",29,1210,6439
"8","Persian","Indo-European","Arabic",38,13115,1662508
"9","Assamese","Indo-European","Assamese",43,971,1813
"10","Russian","Indo-European","Cyrillic",32,31827,637686
"11","Ukrainian","Indo-European","Cyrillic",34,14337,120760
"12","Panjabi","Indo-European","Devanagari",37,84,98
"13","Modern Greek","Indo-European","Greek",33,5813,37880
"14","Breton","Indo-European","Latin",28,4228,38237
"15","Catalan","Indo-European","Latin",39,79112,3294206
"16","Czech","Indo-European","Latin",33,15518,147582
"17","Dutch","Indo-European","Latin",23,10225,316498
"18","English","Indo-European","Latin",28,173023,9828713
"19","French","Indo-European","Latin",49,160243,3729370
"20","German","Indo-European","Latin",30,148436,4230565
"21","Irish","Indo-European","Latin",23,2251,22593
"22","Italian","Indo-European","Latin",34,54996,811783
"23","Latvian","Indo-European","Latin",27,7251,29456
"24","Polish","Indo-European","Latin",32,25340,595411
"25","Portuguese","Indo-European","Latin",27,11509,283048
"26","Romanian","Indo-European","Latin",29,6423,33341
"27","Romansh","Indo-European","Latin",26,9614,43792
"28","Slovenian","Indo-European","Latin",24,5937,26304
"29","Spanish","Indo-European","Latin",32,75010,1842474
"30","Swedish","Indo-European","Latin",25,4371,62951
"31","Welsh","Indo-European","Latin",22,11143,539621
"32","Western Frisian","Indo-European","Latin",30,8383,63073
"33","Oriya","Indo-European","Odia",41,764,1700
"34","Dhivehi","Indo-European","Thaana",27,111,1284
"35","Georgian","Kartvelian","Georgian",25,6505,12958
"36","Basque","Language isolate","Latin",21,24748,458071
"37","Mongolian","Mongolic","Mongolian",31,14608,70217
"38","Kinyarwanda","Niger-Congo","Latin",26,133815,1939810
"39","Abkhazian","Northwest Caucasian","Cyrillic",28,119,156
"40","Hakha Chin","Sino-Tibetan","Latin",23,2499,17776
"41","Chuvash","Turkic","Cyrillic",22,4311,13583
"42","Kirghiz","Turkic","Cyrillic",30,10130,61844
"43","Tatar","Turkic","Cyrillic",34,21823,144356
"44","Yakut","Turkic","Cyrillic",28,7904,22577
"45","Turkish","Turkic","Latin",31,8926,107686
"46","Estonian","Uralic","Latin",23,28691,121549
