"language","A"
"Abkhazian",28
"Arabic",31
"Assamese",43
"Breton",28
"Catalan",39
"Czech",33
"Chuvash",22
"Hakha Chin",23
"Welsh",22
"German",30
"Dhivehi",27
"Modern Greek",33
"English",28
"Esperanto",27
"Estonian",23
"Basque",21
"Persian",38
"French",49
"Western Frisian",30
"Irish",23
"Interlingua",20
"Indonesian",21
"Italian",34
"Georgian",25
"Kinyarwanda",26
"Kirghiz",30
"Latvian",27
"Maltese",31
"Mongolian",31
"Dutch",23
"Oriya",41
"Panjabi",37
"Polish",32
"Portuguese",27
"Romansh",26
"Romanian",29
"Russian",32
"Yakut",28
"Slovenian",24
"Spanish",32
"Swedish",25
"Tamil",29
"Tatar",34
"Turkish",31
"Ukrainian",34
"Vietnamese",41
