"","language","tau","tau_min","tau_pval","r","r_min","r_pval","Lmin","L","Lrand","eta","psi","omega","length_def"
"1","Arabic",-0.130768286698302,-0.735829376721451,8.31755390812464e-32,-0.126885075454831,-0.191827529076099,1.11990987198223e-20,3.26402938342967,4.03492292870906,5.54110078627591,0.808944666626873,0.661453942851419,0.177715501494315,"characters"
"2","Chinese",-0.239638558813247,-0.547380480297194,8.85943194365406e-80,-0.11035519796334,-0.15269919603128,9.15984101151502e-15,1.4685346035304,1.66674138414122,2.18329979879276,0.881081262818142,0.72269665349603,0.437791568093803,"characters"
"3","Chinese-pinyin",-0.175611003673819,-0.766232129265029,3.17798309245355e-52,-0.118557162408675,-0.193044336623425,1.51459651943535e-16,3.85374054356963,4.88467357803306,6.52555331991952,0.788945357761538,0.614144732150039,0.229187731715538,"characters"
"4","Chinese-strokes",-0.18454455861895,-0.77376614352281,4.04033736684287e-63,-0.10834873754454,-0.182669752500707,1.87344730869221e-14,10.473858223592,14.9963014850098,21.5893360160966,0.698429425019338,0.593140002990482,0.238501723245157,"characters"
"5","Czech",-0.224426295737173,-0.667213231867714,1.19731594651442e-113,-0.151101595598545,-0.212352848400938,2.4702601259069e-36,4.69447524623312,5.43676211597417,7.26792026014421,0.863468944583748,0.7115590713116,0.336363676584982,"characters"
"6","English",-0.196378503010885,-0.758974910672499,2.51518756379388e-66,-0.119156466378477,-0.180228100915129,6.97785595333418e-17,3.78246215051387,4.87180903967289,6.99722662440571,0.776397867755472,0.661142550875509,0.258741758455337,"characters"
"7","Finnish",-0.233663420606477,-0.595918023414209,1.71918012392889e-122,-0.121905230073873,-0.187008480884671,2.1920038363194e-23,6.55121643965042,7.51114085505078,9.30859037186509,0.872199918238137,0.651870062240935,0.392106651293651,"characters"
"8","French",-0.160477515719468,-0.747830171698883,2.43899017735791e-49,-0.121777243749924,-0.172813538122604,4.24417855379809e-19,3.69173110678875,4.80800797001755,7.47154617036507,0.767829656233966,0.704674211713251,0.214590854705559,"characters"
"9","German",-0.229112631712732,-0.680923824062264,1.24637198747402e-108,-0.122283548156385,-0.175194093495755,3.85405657616635e-21,4.52830700754492,5.74472127232264,8.55602195673232,0.788255303066093,0.697988988763185,0.336473220081931,"characters"
"10","Hindi",-0.186446802040289,-0.775783454215055,1.57486103524706e-56,-0.131119553809178,-0.204411660787888,9.30950672435897e-19,3.1089632621658,4.09179649932679,5.85008481764207,0.759803979175725,0.641448503005104,0.240333563479951,"characters"
"11","Icelandic",-0.263081131005378,-0.66157251507748,5.59722640026436e-137,-0.110978719919085,-0.148365656171684,2.12701797113429e-17,4.44031093836757,5.31531865013264,7.91267605633803,0.835380008356934,0.7480081494781,0.397660309353341,"characters"
"12","Indonesian",-0.112773466948233,-0.802442190648694,6.37152622969836e-21,-0.119180787761329,-0.274492681723145,6.53294161876726e-15,4.14966398256342,5.96318944118181,7.35482395976223,0.695879952078299,0.43418566576407,0.140537808533057,"characters"
"13","Italian",-0.163983107272194,-0.745306186765777,4.08862645998565e-54,-0.130095246377449,-0.178782192437483,8.45437544563896e-23,3.80275418866192,4.84764746385127,7.63968227142133,0.784453534837036,0.727674521739304,0.22002112713406,"characters"
"14","Japanese",-0.211728124824806,-0.600410041132663,3.76924008409713e-66,-0.0803337503323005,-0.103558272750391,1.05113394130717e-08,1.44762905768687,1.73096980232041,2.71104699093157,0.83631098344193,0.775734745266858,0.352639213736973,"characters"
"15","Japanese-romaji",-0.153738076558639,-0.797308072952686,2.86617598929916e-39,-0.128824254694425,-0.191622009430685,1.17667277333241e-18,2.74682623109889,3.83464057572572,6.06619921633326,0.716319085675727,0.672283184364706,0.192821422200453,"characters"
"16","Japanese-strokes",-0.091057006010317,-0.778322839215615,1.38495293528439e-16,-0.112912117523997,-0.159395091072403,6.53294161876726e-15,5.14589481343736,7.70077212273113,13.9068425391591,0.668231020399593,0.708378888987916,0.116991306720593,"characters"
"17","Korean",-0.243813436006336,-0.637149966425433,8.87526247812886e-135,-0.161803496673837,-0.270491596856469,3.67142838438832e-47,2.42189982728843,2.75205526770294,3.24355621964886,0.880033135857014,0.598183080562367,0.382662558038242,"characters"
"18","Polish",-0.185767861380303,-0.64426172124936,1.11737134893681e-80,-0.126933185840836,-0.185477428790741,2.78115679989414e-26,5.17940482433141,6.06843209229156,7.99598393574297,0.85349967595593,0.684359205690977,0.288342229955957,"characters"
"19","Portuguese",-0.201276091354586,-0.744306596515898,9.96062122270821e-67,-0.124865904728683,-0.161234586920155,1.11579932404421e-17,3.43725192335963,4.3474298034988,7.47237625795851,0.790640005410401,0.774436224347559,0.270420942521213,"characters"
"20","Russian",-0.194668134865511,-0.643447659409581,4.57543073500198e-88,-0.126972036014218,-0.180001324311609,4.85048169702169e-26,5.18979644091666,6.04128792728204,8.08007839843203,0.859054642550621,0.705395010285652,0.3025391918344,"characters"
"21","Spanish",-0.161379808299184,-0.73929357672891,4.09984458895222e-51,-0.114032685696135,-0.159120345893454,1.88764572878057e-17,3.73327953671619,4.82607870128637,7.58991304347826,0.773563749741814,0.716644279874116,0.218289206587223,"characters"
"22","Swedish",-0.232284682303946,-0.682222738215909,3.98760688222158e-101,-0.127540819627072,-0.182174057790738,6.28360828511372e-21,4.30021980705825,5.40774209305166,7.99324324324324,0.795196910848162,0.700104181538173,0.340482175823394,"characters"
"23","Thai",-0.229132297331906,-0.818059942292596,5.0402118105834e-68,-0.15908234360454,-0.252634827421537,6.28360828511372e-21,3.15837318308792,4.33298612755078,6.33036954709642,0.728913753728815,0.629692846501727,0.280092308015678,"characters"
"24","Turkish",-0.237691151404319,-0.664931621705822,4.25960043053314e-124,-0.123137596972363,-0.211399636544967,4.19565805268601e-23,5.35294117647059,6.43335001072118,7.94066785927251,0.832061238320613,0.582487269064772,0.357467059236173,"characters"
