repetitions,orthographic_form,meanDuration,medianDuration,stDevDuration
1134,sil,0.7853968253968255,0.78,0.3221871511135346
4507,i,0.07757710228533392,0.06999999999999984,0.042747191461508564
4127,n,0.08558759389386963,0.08000000000000007,0.04249075238208292
3050,t,0.09088524590163934,0.08000000000000007,0.04351449668398847
8027,a,0.09130061043976581,0.07000000000000028,0.05747676162760752
4850,s,0.10859175257731958,0.10000000000000009,0.05281026468113333
2713,u,0.07407666789531883,0.0600000000000005,0.037573430026619455
1225,m,0.08943673469387754,0.08999999999999986,0.03373741757218261
834,ü,0.09826139088729015,0.08999999999999986,0.05699487772838947
2217,d,0.07399188092016237,0.06999999999999984,0.030573910932447955
2501,sp,0.5575009996001599,0.3799999999999999,0.4943794778019934
3728,e,0.08732296137339055,0.07999999999999985,0.05216165024265562
3457,r,0.0672722013306335,0.06000000000000005,0.036070259190581815
375,q,0.07989333333333333,0.07000000000000006,0.02786614353575957
973,v,0.07431654676258993,0.06999999999999995,0.03366405739242333
2251,c,0.0779564637938694,0.07000000000000028,0.03904001144670848
1255,h,0.05565737051792828,0.04999999999999982,0.03438975884481526
1136,,0.020304595070422538,0.020000000000000462,0.0025817138328841287
3185,l,0.06799686028257457,0.06000000000000005,0.04222917206000762
1574,p,0.08963786531130877,0.08999999999999986,0.03693716618820258
1705,o,0.10349560117302053,0.08999999999999986,0.05548805698034344
1013,g,0.07036525172754195,0.06000000000000005,0.04954646085920829
527,f,0.10624288425047437,0.10999999999999988,0.041735612021943376
101,ö,0.15099009900990099,0.1299999999999999,0.07312683881746662
626,z,0.11373801916932907,0.10999999999999999,0.045931137425647216
39,è,0.17333333333333334,0.16999999999999993,0.10269030696857007
62,x,0.14887096774193548,0.14500000000000002,0.04819666829301946
500,’,0.03278,0.030000000000000027,0.007160418982154618
268,à,0.2030223880597015,0.1900000000000004,0.09235419863892202
479,b,0.08256784968684759,0.08000000000000007,0.03726398365499345
151,j,0.09390728476821189,0.08999999999999986,0.04244160007741021
47,ò,0.14,0.1299999999999999,0.07808887462645071
27,k,0.08666666666666666,0.08999999999999986,0.03691832827963593
2,ï,0.05999999999999961,0.05999999999999961,0.03000000000000025
7,',0.2642857142857143,0.030000000000000027,0.5698084174993042
84,spn,0.5739285714285715,0.5699999999999997,0.2861818347082966
1,–,0.03000000000000025,0.03000000000000025,0.0
7,y,0.09857142857142845,0.06999999999999995,0.06104531605491854
4,â,0.06250000000000011,0.03000000000000025,0.0562916512459884
11,w,0.11,0.04999999999999982,0.1066003581778052
1,ì,0.029999999999999805,0.029999999999999805,0.0
2,ä,0.030000000000000027,0.030000000000000027,2.220446049250313e-16
1,ê,0.03000000000000025,0.03000000000000025,0.0
